,regulator,gene_id,effect
0,FMN,STM14_3869,-
3,TPP,STM14_0125,-
4,TPP,STM14_0126,-
5,TPP,STM14_0127,-
6,TPP,STM14_2647,-
7,TPP,STM14_2648,-
8,TPP,STM14_5000,-
9,TPP,STM14_5001,-
10,TPP,STM14_5003,-
11,TPP,STM14_5004,-
12,TPP,STM14_5005,-
13,TPP,STM14_5002,-
14,acrR,STM14_0559,-
15,acrR,STM14_0560,-
16,acrR,STM14_0561,-
17,acrR,STM14_1838,-
18,acrR,STM14_1837,-
19,acrR,STM14_1836,-
20,acrR,STM14_2340,-
21,acrR,STM14_2341,-
22,acrR,STM14_5127,-
23,acrR,STM14_5128,-
24,ada,STM14_2621,+
25,ada,STM14_2794,+-
26,ada,STM14_2795,+-
27,ada,STM14_5259,+
28,adenosylcobalamin,STM14_4965,-
29,adenosylcobalamin,STM14_4966,-
32,adiY,STM14_4020,+
33,adiY,STM14_4021,+
34,adiY,STM14_5495,+
37,adiY,STM14_5169,+
44,alaS,STM14_3413,-
45,allR,STM14_0604,-
46,allR,STM14_0605,-
47,allR,STM14_0607,-
48,allR,STM14_0608,-
49,allR,STM14_0609,-
50,allR,STM14_0612,-
51,allR,STM14_0613,-
52,allR,STM14_0614,-
53,allR,STM14_0615,-
54,allS,STM14_0616,+
55,allS,STM14_0617,+
56,allS,STM14_0618,+
63,appY,STM14_2161,+
64,appY,STM14_2162,+
65,appY,STM14_2163,+
66,appY,STM14_2164,+
67,appY,STM14_2165,+
68,appY,STM14_2166,+
69,appY,STM14_2167,+
70,appY,STM14_2168,+
72,araC,STM14_0120,+-
73,araC,STM14_0121,+-
74,araC,STM14_0122,+-
75,araC,STM14_0123,+-
76,araC,STM14_0466,+
78,araC,STM14_0044,-
81,araC,STM14_3640,+
82,araC,STM14_3641,+
83,araC,STM14_4413,-
84,araC,STM14_4414,-
87,arcA,STM14_0002,-
88,arcA,STM14_0003,-
89,arcA,STM14_0004,-
90,arcA,STM14_0052,+
91,arcA,STM14_0054,+
92,arcA,STM14_0055,+
93,arcA,STM14_0056,+
94,arcA,STM14_0058,+
95,arcA,STM14_0059,+
96,arcA,STM14_0077,+
97,arcA,STM14_0078,+
98,arcA,STM14_0082,+-
99,arcA,STM14_0083,+-
100,arcA,STM14_0084,+-
101,arcA,STM14_0085,+-
102,arcA,STM14_0087,+-
103,arcA,STM14_0088,+-
104,arcA,STM14_0131,+
105,arcA,STM14_0132,+
106,arcA,STM14_0133,+
107,arcA,STM14_0134,+
108,arcA,STM14_0135,+
