,gene_id,database,kegg_id
2874,STM14_5534,KEGG_pathway,map02020
2884,STM14_0002,KEGG_pathway,map00260
2885,STM14_0002,KEGG_pathway,map00261
2886,STM14_0002,KEGG_pathway,map00270
2887,STM14_0002,KEGG_pathway,map00300
2888,STM14_0002,KEGG_pathway,map01100
2889,STM14_0002,KEGG_pathway,map01110
2890,STM14_0002,KEGG_pathway,map01120
2891,STM14_0002,KEGG_pathway,map01130
2892,STM14_0002,KEGG_pathway,map01230
2898,STM14_0003,KEGG_pathway,map00260
2899,STM14_0003,KEGG_pathway,map01100
2900,STM14_0003,KEGG_pathway,map01110
2901,STM14_0003,KEGG_pathway,map01120
2902,STM14_0003,KEGG_pathway,map01230
2909,STM14_0004,KEGG_pathway,map00260
2910,STM14_0004,KEGG_pathway,map00750
2911,STM14_0004,KEGG_pathway,map01100
2912,STM14_0004,KEGG_pathway,map01110
2913,STM14_0004,KEGG_pathway,map01120
2914,STM14_0004,KEGG_pathway,map01230
2922,STM14_0007,KEGG_pathway,map00030
2923,STM14_0007,KEGG_pathway,map01100
2924,STM14_0007,KEGG_pathway,map01110
2925,STM14_0007,KEGG_pathway,map01120
2926,STM14_0007,KEGG_pathway,map01130
2927,STM14_0007,KEGG_pathway,map01200
2928,STM14_0007,KEGG_pathway,map01230
2932,STM14_0008,KEGG_pathway,map00790
2933,STM14_0008,KEGG_pathway,map01100
2934,STM14_0008,KEGG_pathway,map04122
2938,STM14_0013,KEGG_pathway,map03018
2939,STM14_0013,KEGG_pathway,map04212
2940,STM14_0013,KEGG_pathway,map05152
2942,STM14_0030,KEGG_pathway,map05133
2946,STM14_0054,KEGG_pathway,map00740
2947,STM14_0054,KEGG_pathway,map01100
2948,STM14_0054,KEGG_pathway,map01110
2950,STM14_0055,KEGG_pathway,map00970
2952,STM14_0056,KEGG_pathway,map03060
2957,STM14_0059,KEGG_pathway,map00900
2958,STM14_0059,KEGG_pathway,map01100
2959,STM14_0059,KEGG_pathway,map01110
2960,STM14_0059,KEGG_pathway,map01130
2962,STM14_0062,KEGG_pathway,map02020
2964,STM14_0063,KEGG_pathway,map02020
2967,STM14_0065,KEGG_pathway,map00620
2968,STM14_0065,KEGG_pathway,map01100
2971,STM14_0066,KEGG_pathway,map00620
2972,STM14_0066,KEGG_pathway,map01100
2974,STM14_0069,KEGG_pathway,map02020
2976,STM14_0070,KEGG_pathway,map02020
2978,STM14_0071,KEGG_pathway,map02020
2980,STM14_0072,KEGG_pathway,map02020
2982,STM14_0073,KEGG_pathway,map02020
2984,STM14_0074,KEGG_pathway,map02020
2992,STM14_0075,KEGG_pathway,map00261
2993,STM14_0075,KEGG_pathway,map00300
2994,STM14_0075,KEGG_pathway,map01100
2995,STM14_0075,KEGG_pathway,map01110
2996,STM14_0075,KEGG_pathway,map01120
2997,STM14_0075,KEGG_pathway,map01130
2998,STM14_0075,KEGG_pathway,map01230
3002,STM14_0077,KEGG_pathway,map00240
3003,STM14_0077,KEGG_pathway,map00250
3004,STM14_0077,KEGG_pathway,map01100
3008,STM14_0078,KEGG_pathway,map00240
3009,STM14_0078,KEGG_pathway,map00250
3010,STM14_0078,KEGG_pathway,map01100
3015,STM14_0106,KEGG_pathway,map00670
3016,STM14_0106,KEGG_pathway,map00790
3017,STM14_0106,KEGG_pathway,map01100
3018,STM14_0106,KEGG_pathway,map01523
3020,STM14_0107,KEGG_pathway,map00230
3023,STM14_0110,KEGG_pathway,map00750
3024,STM14_0110,KEGG_pathway,map01100
3029,STM14_0120,KEGG_pathway,map00040
3030,STM14_0120,KEGG_pathway,map00053
3031,STM14_0120,KEGG_pathway,map01100
3032,STM14_0120,KEGG_pathway,map01120
3035,STM14_0121,KEGG_pathway,map00040
3036,STM14_0121,KEGG_pathway,map01100
3039,STM14_0122,KEGG_pathway,map00040
3040,STM14_0122,KEGG_pathway,map01100
3042,STM14_0125,KEGG_pathway,map02010
3044,STM14_0126,KEGG_pathway,map02010
3046,STM14_0127,KEGG_pathway,map02010
3053,STM14_0131,KEGG_pathway,map00290
3054,STM14_0131,KEGG_pathway,map00660
3055,STM14_0131,KEGG_pathway,map01100
3056,STM14_0131,KEGG_pathway,map01110
3057,STM14_0131,KEGG_pathway,map01210
3058,STM14_0131,KEGG_pathway,map01230
3066,STM14_0132,KEGG_pathway,map00290
3067,STM14_0132,KEGG_pathway,map00660
3068,STM14_0132,KEGG_pathway,map00966
3069,STM14_0132,KEGG_pathway,map01100
3070,STM14_0132,KEGG_pathway,map01110
3071,STM14_0132,KEGG_pathway,map01210
3072,STM14_0132,KEGG_pathway,map01230
3079,STM14_0133,KEGG_pathway,map00290
3080,STM14_0133,KEGG_pathway,map00660
3081,STM14_0133,KEGG_pathway,map01100
3082,STM14_0133,KEGG_pathway,map01110
3083,STM14_0133,KEGG_pathway,map01210
3084,STM14_0133,KEGG_pathway,map01230
3091,STM14_0134,KEGG_pathway,map00290
3092,STM14_0134,KEGG_pathway,map00620
3093,STM14_0134,KEGG_pathway,map01100
3094,STM14_0134,KEGG_pathway,map01110
3095,STM14_0134,KEGG_pathway,map01210
3096,STM14_0134,KEGG_pathway,map01230
3106,STM14_0139,KEGG_pathway,map00290
3107,STM14_0139,KEGG_pathway,map00650
3108,STM14_0139,KEGG_pathway,map00660
3109,STM14_0139,KEGG_pathway,map00770
3110,STM14_0139,KEGG_pathway,map01100
3111,STM14_0139,KEGG_pathway,map01110
3112,STM14_0139,KEGG_pathway,map01130
3113,STM14_0139,KEGG_pathway,map01210
3114,STM14_0139,KEGG_pathway,map01230
3124,STM14_0140,KEGG_pathway,map00290
3125,STM14_0140,KEGG_pathway,map00650
3126,STM14_0140,KEGG_pathway,map00660
3127,STM14_0140,KEGG_pathway,map00770
3128,STM14_0140,KEGG_pathway,map01100
3129,STM14_0140,KEGG_pathway,map01110
3130,STM14_0140,KEGG_pathway,map01130
3131,STM14_0140,KEGG_pathway,map01210
3132,STM14_0140,KEGG_pathway,map01230
3135,STM14_0148,KEGG_pathway,map00550
3136,STM14_0148,KEGG_pathway,map01501
3139,STM14_0149,KEGG_pathway,map00300
3140,STM14_0149,KEGG_pathway,map00550
