,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
SRX7514165,1/7/20 14:27,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843524,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810545,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,100_Novobiocin_60min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,3.0,1,100_N_60min_3,,,True,True,True,novobiocin:100_Novobiocin_60min,True,True
SRX974437,4/7/15 12:49,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR1950133;SRR1950135;SRR1950137,SRP056892,PRJNA280002,280002,SRS889654,SAMN03453225,SRA249497,RNA-Seq,size fractionation,TRANSCRIPTOMIC,,VACCINE AND INFECTIOUS DISEASE ORGANIZATION,75,0,1416844,,,25824832,3453225,ATCC 14028s,wild type,NC_016856.1;NC_016855.1,csgD,WT_planktonic_TP1,WT_planktonic_TP1,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. ATCC 14028s,,WT,,1.0,3 total,WT_planktonic_TP1,,,True,True,True,csgD:WT_planktonic_TP1,False,True
SRX1816875,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621140,SRP076025,PRJNA324247,324247,SRS1479634,SAMN05199052,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597738,GSE82167,GSM2185225,30201777,5199052,14028S,rtcB,NC_016856.1;NC_016855.1,MMC,del_rtcB_No treatment,WT_No_treatment,del_rtcB,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,rtcB,,1.0,1,del_rtcB_1,,,True,True,True,MMC:del_rtcB_No treatment,True,True
SRX3456073,2/13/19 18:02,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRR6360011,SRP126360,PRJNA421560,421560,SRS2744770,SAMN08146649,SRA637071,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4814940,GSE107835,GSM2881320,30682134,8146649,14028s,csrA:: (markerless deletion of CDS after 51st codon),NC_016856.1;NC_016855.1,csrA,10min_LB_csrA,0min_LB_WT,csrA mutant,LB,,,Aerobic,,37C,,mid-log,0.5,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,csrA mutant,,1.0,1,10min_LB_csrA_1,,,True,True,True,csrA:10min_LB_csrA,True,True
ERX1045682,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968699,ERP011094,PRJEB9939,293185,ERS795653,SAMEA3488504,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681372,,,27601571,3998233,delta STM14_3465,pBAD24-STM14_3465,NC_016856.1;NC_016855.1,7TF,hilC,WT,hilC,LB,,,Aerobic,,37C,,,,hilC deletion and overexpression,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,hilC,ChIP-Seq,1.0,1,hilC_1,,,True,True,True,7TF:hilC,True,True
SRX7514167,1/7/20 14:27,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10843522,SRP239815,PRJNA599397,599397,SRS5919903,SAMN02604137,SRA1021457,RNA-Seq,cDNA,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9810547,,,32140513,2604137,14028S,wild type,NC_016856.1;NC_016855.1,novobiocin,500_Novobiocin_60min,0_Novobiocin_0min,WT,LB,,,Aerobic,,37C,,mid-log,0.6(A600),,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,2.0,1,500_N_60min_2,,,True,True,True,novobiocin:500_Novobiocin_60min,True,True
ERX321085,10/16/13 0:49,1114957,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,1114957,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR348250,ERP003981,PRJEB4670,222541,ERS353269,SAMEA2201298,ERA252206,RNA-Seq,cDNA,TRANSCRIPTOMIC,,University at Buffalo,0,0,515458,,,24272778,2371137,14028s,delta araC,NC_016856.1;NC_016855.1,araC,delta_araC_LB,WT_LB,del_araC,LB,,,Aerobic,,37C,,,0.6-0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028s Wu,,araC,ChIP-Seq,2.0,1,delta_araC_LB_2,,,True,True,True,araC:delta_araC_LB,True,True
ERX2173642,9/20/17 2:59,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR2116784,ERP104253,PRJEB22568,407910,ERS1913028,SAMEA104288050,ERA1087704,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,4503919,,,29476659,7673647,,rpoF deletion,NC_016856.1;NC_016855.1,fliA,del_rpoF,WT,del_rpoF,LB,,,Aerobic,,37C,,,0.5-0.7,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,rpoF,,2.0,1,del_rpoF_2,,,True,True,True,fliA:del_rpoF,True,True
SRX7476251,12/30/19 5:05,588858,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,588858,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10802362,SRP239035,PRJNA554270,554270,SRS5919903,SAMN02604137,SRA1017641,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,KAZAN INSTITUTE OF BIOCHEMISTRY AND BIOPHYSICS RAS,0,0,9771441,,,,2604137,14028S,wild type,NC_016856.1;NC_016855.1,starvation,Glucose_6h,Glucose_6h,WT,AB,Glucose,NH4Cl,Anaerobic,"mineral carbon  and  phosphorus  deficient  AB  medium  containing  1.0 g/L  NH4Cl;  0.62  g/L MgSO4 ×  7H2O;  0.15  g/L  KCl;  0.013  g/L  CaCl2 ×  2H2O;  0.005  g/L  FeSO4 ×  7H2O,  pH – 5.5",28C,5.5,growth,,https://www.sciencedirect.com/science/article/pii/S2352340920309021#tbl0002,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,WT,,2.0,1,Glucose_6h_2,,,True,True,True,starvation:Glucose_6h,True,True
SRX1816859,9/17/18 16:22,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR3621124,SRP076025,PRJNA324247,324247,SRS1479618,SAMN05199036,SRA430479,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,2597722,GSE82167,GSM2185209,30201777,5199036,14028S,wildtype,NC_016856.1;NC_016855.1,MMC,WT_No_treatment,WT_No_treatment,WT,MOPS,,,Aerobic,"ampicillin, 80/50; kanamycin, 50/50; tetracycline, 10/10",37C,,mid-log,0.4,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,Human,WT,,3.0,1,WT_3,,,True,True,True,MMC:WT_No_treatment,True,True
