,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,module_name
0,rpoS,M00027,1.746494267843215e-05,0.004337331639011314,1.0,0.02097902097902098,0.0410958904109589,3.0,3.0,143.0,GABA (gamma-Aminobutyrate) shunt
1,rpoS,M00209,2.8819479328978835e-05,0.004337331639011314,0.5,0.027972027972027972,0.05298013245033112,4.0,8.0,143.0,
2,rpoS,M00565,0.00032959349308664756,0.033069213806360305,0.5,0.02097902097902098,0.04026845637583893,3.0,6.0,143.0,"Trehalose biosynthesis, D-glucose 1P => trehalose"
3,arcA,M00230,6.355505467506512e-10,1.9130071457194602e-07,1.0,0.13793103448275862,0.2424242424242424,4.0,4.0,29.0,
4,fur,M00240,1.602267888995477e-10,4.822826345876386e-08,0.5,0.22727272727272727,0.3125,5.0,10.0,22.0,
5,fur,M00317,2.2486557563108856e-07,3.384226913247883e-05,0.75,0.13636363636363635,0.23076923076923075,3.0,4.0,22.0,
6,cysB,M00176,4.6048075627952644e-17,1.3860470764013746e-14,1.0,0.46153846153846156,0.631578947368421,6.0,6.0,13.0,"Assimilatory sulfate reduction, sulfate => H2S"
7,cysB,M00185,3.14796157013717e-14,4.737682163056441e-12,1.0,0.38461538461538464,0.5555555555555556,5.0,5.0,13.0,
8,cysB,M00596,5.207081283410901e-06,0.0005224438221022272,1.0,0.15384615384615385,0.2666666666666667,2.0,2.0,13.0,"Dissimilatory sulfate reduction, sulfate => H2S"
9,lsrR,M00219,1.957413266583387e-10,5.8918139324159946e-08,1.0,0.18181818181818182,0.3076923076923077,4.0,4.0,22.0,
10,13,M00007,0.00015726798709388,0.023668832057628937,0.2222222222222222,0.16666666666666666,0.1904761904761905,2.0,9.0,12.0,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
11,13,M00167,0.00012246873799859925,0.023668832057628937,0.25,0.16666666666666666,0.2,2.0,8.0,12.0,"Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P"
12,13,M00165,0.0002396855072097371,0.024048445890043624,0.18181818181818182,0.16666666666666666,0.17391304347826086,2.0,11.0,12.0,Reductive pentose phosphate cycle (Calvin cycle)
13,13,M00004,0.0003390899984980374,0.025516522386977315,0.15384615384615385,0.16666666666666666,0.16,2.0,13.0,12.0,Pentose phosphate pathway (Pentose phosphate cycle)
14,mlc,M00276,4.090717689012964e-08,1.231306024392902e-05,0.5,0.375,0.42857142857142855,3.0,6.0,8.0,
15,17,M00764,2.006330192319102e-12,6.039053878880497e-10,0.8,0.6666666666666666,0.7272727272727272,4.0,5.0,6.0,
