,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,pathway_name
0,rpoS,map00500,3.8273961809372914e-05,0.008228901789015176,0.1891891891891892,0.04895104895104895,0.07777777777777778,7.0,37.0,143.0,Starch and sucrose metabolism
1,rpoS,map00330,0.00020867513020134126,0.022432576496644187,0.22727272727272727,0.03496503496503497,0.06060606060606061,5.0,22.0,143.0,Arginine and proline metabolism
2,rpoS,map05014,0.0006777884137273097,0.048574836317123865,1.0,0.013986013986013986,0.027586206896551724,2.0,2.0,143.0,Amyotrophic lateral sclerosis
3,glpR,map00564,4.3253767790635706e-10,9.299560074986677e-08,0.16666666666666666,0.5555555555555556,0.2564102564102564,5.0,30.0,9.0,Glycerophospholipid metabolism
4,glpR,map01110,0.000872202623048132,0.09376178197767418,0.013422818791946308,0.4444444444444444,0.026058631921824105,4.0,298.0,9.0,Biosynthesis of secondary metabolites
5,arcA,map02010,0.00023690173137641714,0.025466936122964842,0.03468208092485549,0.20689655172413793,0.059405940594059396,6.0,173.0,29.0,ABC transporters
6,arcA,map02020,0.00016528823335223433,0.025466936122964842,0.037037037037037035,0.20689655172413793,0.06282722513089005,6.0,162.0,29.0,Two-component system
7,6,map05100,5.910636674467491e-16,1.2707868850105106e-13,0.7777777777777778,0.28,0.4117647058823529,7.0,9.0,25.0,Bacterial invasion of epithelial cells
8,6,map05131,1.2995431097173312e-12,1.397008842946131e-10,1.0,0.2,0.33333333333333337,5.0,5.0,25.0,Shigellosis
9,6,map05132,1.0282534861933132e-11,7.369149984385411e-10,0.2692307692307692,0.28,0.27450980392156865,7.0,26.0,25.0,Salmonella infection
10,csgD,map02026,1.5160643608896834e-09,3.2595383759128196e-07,0.13157894736842105,0.5555555555555556,0.2127659574468085,5.0,38.0,9.0,Biofilm formation - Escherichia coli
11,fur,map01053,6.796980275332586e-09,1.461350759196506e-06,0.5714285714285714,0.18181818181818182,0.27586206896551724,4.0,7.0,22.0,Biosynthesis of siderophore group nonribosomal peptides
12,fur,map02010,1.855635252554091e-07,1.994807896495648e-05,0.046242774566473986,0.36363636363636365,0.08205128205128205,8.0,173.0,22.0,ABC transporters
13,flhD;flhC,map02040,3.0991226548809317e-63,6.663113707994003e-61,0.7894736842105263,0.7317073170731707,0.7594936708860759,30.0,38.0,41.0,Flagellar assembly
14,flhD;flhC,map02030,1.7979356697500653e-05,0.0019327808449813202,0.18181818181818182,0.0975609756097561,0.12698412698412698,4.0,22.0,41.0,Bacterial chemotaxis
15,cysB,map00920,2.3470089391909103e-26,5.0460692192604576e-24,0.3157894736842105,0.9230769230769231,0.47058823529411764,12.0,38.0,13.0,Sulfur metabolism
16,cysB,map01120,5.031399002151604e-07,5.408753927312975e-05,0.028112449799196786,0.5384615384615384,0.053435114503816786,7.0,249.0,13.0,Microbial metabolism in diverse environments
17,cysB,map02010,3.117810369036939e-05,0.0022344307644764734,0.028901734104046242,0.38461538461538464,0.05376344086021506,5.0,173.0,13.0,ABC transporters
18,cysB,map00261,0.00014462993218050958,0.00777385885470239,0.25,0.15384615384615385,0.1904761904761905,2.0,8.0,13.0,Monobactam biosynthesis
19,cysB,map01100,0.0004232082929210735,0.018197956595606163,0.010144927536231883,0.5384615384615384,0.01991465149359886,7.0,690.0,13.0,Metabolic pathways
20,cysB,map00450,0.000537296125032951,0.019253111147014078,0.13333333333333333,0.15384615384615385,0.14285714285714288,2.0,15.0,13.0,Selenocompound metabolism
21,cysB,map00230,0.0006402193847703169,0.01966388110365973,0.04,0.23076923076923078,0.06818181818181819,3.0,75.0,13.0,Purine metabolism
22,lsrR,map02024,2.3746368271825207e-11,5.105469178442419e-09,0.14035087719298245,0.36363636363636365,0.20253164556962025,8.0,57.0,22.0,Quorum sensing
23,13,map01051,2.637157578286811e-05,0.005669888793316644,0.5,0.16666666666666666,0.25,2.0,4.0,12.0,Biosynthesis of ansamycins
24,13,map00710,0.0007379731755304855,0.0793321163695272,0.10526315789473684,0.16666666666666666,0.12903225806451615,2.0,19.0,12.0,Carbon fixation in photosynthetic organisms
25,mlc,map00051,3.22440198070016e-05,0.0035178460200275337,0.06382978723404255,0.375,0.1090909090909091,3.0,47.0,8.0,Fructose and mannose metabolism
26,mlc,map00520,4.3795420565690465e-05,0.0035178460200275337,0.057692307692307696,0.375,0.09999999999999999,3.0,52.0,8.0,Amino sugar and nucleotide sugar metabolism
27,mlc,map02060,4.908622353526791e-05,0.0035178460200275337,0.05555555555555555,0.375,0.09677419354838708,3.0,54.0,8.0,Phosphotransferase system (PTS)
28,17,map02060,1.250883504263641e-07,2.6893995341668283e-05,0.07407407407407407,0.6666666666666666,0.13333333333333333,4.0,54.0,6.0,Phosphotransferase system (PTS)
29,argR,map00220,4.38356328014227e-12,9.42466105230588e-10,0.2777777777777778,0.7142857142857143,0.4,5.0,18.0,7.0,Arginine biosynthesis
30,argR,map01230,1.0703132740164599e-07,1.1505867695676944e-05,0.04065040650406504,0.7142857142857143,0.07692307692307693,5.0,123.0,7.0,Biosynthesis of amino acids
31,argR,map01130,1.3868987478522238e-06,9.93944102627427e-05,0.024390243902439025,0.7142857142857143,0.04716981132075472,5.0,205.0,7.0,
32,argR,map01210,3.2887502405631605e-06,0.0001767703254302699,0.11538461538461539,0.42857142857142855,0.18181818181818182,3.0,26.0,7.0,2-Oxocarboxylic acid metabolism
33,argR,map01110,8.877193301969178e-06,0.0003817193119846747,0.016778523489932886,0.7142857142857143,0.03278688524590164,5.0,298.0,7.0,Biosynthesis of secondary metabolites
34,argR,map01100,0.0005294665710244537,0.018972552128376258,0.007246376811594203,0.7142857142857143,0.014347202295552365,5.0,690.0,7.0,Metabolic pathways
35,mraZ,map00540,1.6165055636383732e-08,3.4754869618225025e-06,0.1935483870967742,0.1875,0.19047619047619047,6.0,31.0,32.0,Lipopolysaccharide biosynthesis
36,mraZ,map04112,3.0855155941257073e-07,3.3169292636851356e-05,0.36363636363636365,0.125,0.18604651162790697,4.0,11.0,32.0,Cell cycle - Caulobacter
37,mraZ,map00550,0.00038253742564333445,0.027415182171105636,0.12,0.09375,0.10526315789473684,3.0,25.0,32.0,Peptidoglycan biosynthesis
38,mraZ,map01502,0.00090699672741888,0.0487510740987648,0.25,0.0625,0.1,2.0,8.0,32.0,Vancomycin resistance
39,cdaR,map00053,1.6522843517477743e-07,3.552411356257715e-05,0.17391304347826086,0.3076923076923077,0.2222222222222222,4.0,23.0,13.0,Ascorbate and aldarate metabolism
40,cdaR,map00630,3.313454065812071e-05,0.0035619631207479763,0.10714285714285714,0.23076923076923078,0.14634146341463414,3.0,28.0,13.0,Glyoxylate and dicarboxylate metabolism
41,cdaR,map00561,0.0002829540948387201,0.02027837679677494,0.18181818181818182,0.15384615384615385,0.16666666666666669,2.0,11.0,13.0,Glycerolipid metabolism
42,rpoH,map05152,9.003472192381035e-06,0.0019357465213619225,0.6666666666666666,0.2,0.30769230769230765,2.0,3.0,10.0,Tuberculosis
43,rpoH,map04212,4.48858555555386e-05,0.004825229472220399,0.3333333333333333,0.2,0.25,2.0,6.0,10.0,Longevity regulating pathway - worm
44,rpoH,map03018,0.00031145523651330393,0.022320958616786783,0.13333333333333333,0.2,0.16,2.0,15.0,10.0,RNA degradation
45,rpoH,map04141,0.0018268176836005736,0.03273048349784361,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,Protein processing in endoplasmic reticulum
46,rpoH,map04151,0.0018268176836005736,0.03273048349784361,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,PI3K-Akt signaling pathway
47,rpoH,map04612,0.0018268176836005736,0.03273048349784361,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,Antigen processing and presentation
48,rpoH,map04657,0.0018268176836005736,0.03273048349784361,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,IL-17 signaling pathway
49,rpoH,map04659,0.0018268176836005736,0.03273048349784361,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,Th17 cell differentiation
50,rpoH,map04914,0.0018268176836005736,0.03273048349784361,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,Progesterone-mediated oocyte maturation
51,rpoH,map04915,0.0018268176836005736,0.03273048349784361,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,Estrogen signaling pathway
52,rpoH,map04940,0.0018268176836005736,0.03273048349784361,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,Type I diabetes mellitus
53,rpoH,map05215,0.0018268176836005736,0.03273048349784361,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,Prostate cancer
54,fnr-1,map03010,3.198149888180321e-10,6.87602225958769e-08,0.2857142857142857,0.23076923076923078,0.25531914893617025,6.0,21.0,26.0,Ribosome
55,27,map00250,9.279761670140927e-05,0.019951487590802994,0.06451612903225806,0.6666666666666666,0.1176470588235294,2.0,31.0,3.0,"Alanine, aspartate and glutamate metabolism"
56,27,map00240,0.00029548407548906914,0.03176453811507493,0.03636363636363636,0.6666666666666666,0.06896551724137931,2.0,55.0,3.0,Pyrimidine metabolism
57,cra,map00190,2.5630670024121023e-09,5.51059405518602e-07,0.11904761904761904,0.5555555555555556,0.196078431372549,5.0,42.0,9.0,Oxidative phosphorylation
58,narL,map00910,2.5954918501420154e-07,5.580307477805333e-05,0.18181818181818182,0.26666666666666666,0.21621621621621623,4.0,22.0,15.0,Nitrogen metabolism
59,narL,map02010,6.909088079308985e-05,0.0074272696852571585,0.028901734104046242,0.3333333333333333,0.05319148936170213,5.0,173.0,15.0,ABC transporters
60,narL,map02020,0.0007817022088997405,0.05602199163781474,0.024691358024691357,0.26666666666666666,0.04519774011299435,4.0,162.0,15.0,Two-component system
61,33,map03070,2.663137830728496e-12,5.725746336066267e-10,0.2647058823529412,0.20454545454545456,0.23076923076923078,9.0,34.0,44.0,Bacterial secretion system
62,33,map05132,3.869826422697999e-08,4.160063404400349e-06,0.23076923076923078,0.13636363636363635,0.1714285714285714,6.0,26.0,44.0,Salmonella infection
63,purR,map00230,5.593993255559173e-16,1.202708549945222e-13,0.12,0.8181818181818182,0.20930232558139536,9.0,75.0,11.0,Purine metabolism
64,purR,map01130,6.2867003092120754e-12,6.758202832402981e-10,0.04390243902439024,0.8181818181818182,0.08333333333333333,9.0,205.0,11.0,
65,purR,map01110,1.866827667640334e-10,1.337893161808906e-08,0.030201342281879196,0.8181818181818182,0.05825242718446602,9.0,298.0,11.0,Biosynthesis of secondary metabolites
66,purR,map01100,3.32741284095938e-07,1.788484402015667e-05,0.013043478260869565,0.8181818181818182,0.025677603423680456,9.0,690.0,11.0,Metabolic pathways
67,purR,map00670,0.0002829540948417577,0.012167026078195581,0.15384615384615385,0.18181818181818182,0.16666666666666669,2.0,13.0,11.0,One carbon pool by folate
68,fliA-1,map02030,3.737919057566966e-25,8.036525973768977e-23,0.6818181818181818,0.23076923076923078,0.3448275862068966,15.0,22.0,65.0,Bacterial chemotaxis
69,fliA-1,map02020,2.4217748727878566e-12,2.603407988246946e-10,0.10493827160493827,0.26153846153846155,0.14977973568281938,17.0,162.0,65.0,Two-component system
70,fliA-1,map02040,7.493597230704984e-05,0.005370411348671905,0.13157894736842105,0.07692307692307693,0.0970873786407767,5.0,38.0,65.0,Flagellar assembly
