Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	GEO Series	GEO Sample	PMID	Biosample ID	biosample_strain	biosample_genotype	reference_sequence	project_name	condition_name	reference_condition	strain_description	base_media	carbon_source	nitrogen_source	aerobicity	supplement	temperature	pH	growth_phase	OD	additional_notes	ScientificName_curated	Host	Knockout	Other_available_omics	Biological_replicate	Technical_replicate	SampleID	R1	R2
ERX2173639	9/20/17 2:59	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2116781	ERP104253	PRJEB22568	407910	ERS1913025	SAMEA104288047	ERA1087704	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UB Next-Generation Sequencing and Expression Analysis Core	0	0	4503916			29476659	7673644		wild type genotype	NC_016856.1;NC_016855.1	fliA	WT	WT	WT	LB			Aerobic		37C			0.5-0.7		Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S		WT		1	1	WT_1		
ERX2173640	9/20/17 2:59	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2116782	ERP104253	PRJEB22568	407910	ERS1913026	SAMEA104288048	ERA1087704	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UB Next-Generation Sequencing and Expression Analysis Core	0	0	4503917			29476659	7673645		wild type genotype	NC_016856.1;NC_016855.1	fliA	WT	WT	WT	LB			Aerobic		37C			0.5-0.7		Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S		WT		2	1	WT_2		
ERX2173641	9/20/17 2:59	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2116783	ERP104253	PRJEB22568	407910	ERS1913027	SAMEA104288049	ERA1087704	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UB Next-Generation Sequencing and Expression Analysis Core	0	0	4503918			29476659	7673646		rpoF deletion	NC_016856.1;NC_016855.1	fliA	del_rpoF	WT	del_rpoF	LB			Aerobic		37C			0.5-0.7		Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S		rpoF		1	1	del_rpoF_1		
ERX2173642	9/20/17 2:59	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2116784	ERP104253	PRJEB22568	407910	ERS1913028	SAMEA104288050	ERA1087704	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UB Next-Generation Sequencing and Expression Analysis Core	0	0	4503919			29476659	7673647		rpoF deletion	NC_016856.1;NC_016855.1	fliA	del_rpoF	WT	del_rpoF	LB			Aerobic		37C			0.5-0.7		Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S		rpoF		2	1	del_rpoF_2		
ERX1043603	7/23/15 4:06	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 2000	ERR966625	ERP001508	PRJEB3087	290587	ERS092446	SAMEA1986527	ERA459614	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	1628704				3209475			NC_016856.1;NC_016855.1	WSI	80h_pi_B	80h_pi_B												Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S				1	1	80h_pi_B		
ERX321079	10/16/13 0:49	1114957	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	1114957	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR348248	ERP003981	PRJEB4670	222541	ERS353269	SAMEA2201298	ERA252206	RNA-Seq	cDNA	TRANSCRIPTOMIC		University at Buffalo	0	0	515452			24272778	2371137	14028s	delta araC	NC_016856.1;NC_016855.1	araC	delta_araC_arabinose	WT_LB	del_araC	LB			Aerobic	0.2% arabinose	37C			0.6-0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. 14028s Wu		araC	ChIP-Seq	2	1	delta_araC_arabinose_2		
ERX321080	10/16/13 0:49	1114957	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	1114957	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR348245	ERP003981	PRJEB4670	222541	ERS353270	SAMEA2201299	ERA252206	RNA-Seq	cDNA	TRANSCRIPTOMIC		University at Buffalo	0	0	515453			24272778	2371138	14028s	wild type	NC_016856.1;NC_016855.1	araC	WT_arabinose	WT_LB	WT	LB			Aerobic	0.2% arabinose	37C			0.6-0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. 14028s Wu		WT	ChIP-Seq	2	1	WT_arabinose_2		
ERX321081	10/16/13 0:49	1114957	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	1114957	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR348246	ERP003981	PRJEB4670	222541	ERS353271	SAMEA2201300	ERA252206	RNA-Seq	cDNA	TRANSCRIPTOMIC		University at Buffalo	0	0	515454			24272778	2371139	14028s	delta araC	NC_016856.1;NC_016855.1	araC	delta_araC_LB	WT_LB	del_araC	LB			Aerobic		37C			0.6-0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. 14028s Wu		araC	ChIP-Seq	1	1	delta_araC_LB_1		
ERX321082	10/16/13 0:49	1114957	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	1114957	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR348247	ERP003981	PRJEB4670	222541	ERS353272	SAMEA2201301	ERA252206	RNA-Seq	cDNA	TRANSCRIPTOMIC		University at Buffalo	0	0	515455			24272778	2371140	14028s	wild type	NC_016856.1;NC_016855.1	araC	WT_arabinose	WT_LB	WT	LB			Aerobic	0.2% arabinose	37C			0.6-0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. 14028s Wu		WT	ChIP-Seq	1	1	WT_arabinose_1		
ERX321083	10/16/13 0:49	1114957	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	28901	1236	1114957	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR348249	ERP003981	PRJEB4670	222541	ERS353270	SAMEA2201299	ERA252206	RNA-Seq	cDNA	TRANSCRIPTOMIC		University at Buffalo	0	0	515456			24272778	2371138	14028s	wild type	NC_016856.1;NC_016855.1	araC	WT_LB	WT_LB	WT	LB			Aerobic		37C			0.6-0.8		Salmonella enterica subsp. enterica serovar Typhimurium str. 14028s Wu		WT	ChIP-Seq	2	1	WT_LB_2		
