	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX1043603	105815008	1357	9862	105803654	0	0	0	0	49	0	0	0	0	0	12	74	0.0012824267801406772	105815008.0	11354.0	0.01	105803654.0	99.99	ERX1043603_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	105815008.0	0.0	20-75	53.0	13.303510393252887	73.47804842579609	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		107203785	30194240	107203785	8040283875	43525493	7953570354	1.0784883015091304					
ERX1045658	31116500	14638002	391387	3416613	0	0	0	0	0	0	0	0	0	12014315	603515	52668	47.04257226873202	31116500.0	27699887.0	89.02	3416613.0	10.98	ERX1045658_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31116500.0	0.0	20-51	53.0	12.70384022894316	50.100983561775905	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	31335791	11219487	31335791	1598125341	11389198	1560257332	2.369526846768147	0.4429	0.0746	0.4825		
ERX1045659	32572084	15494208	329367	8212827	0	0	0	0	0	0	0	0	0	8175787	329678	30217	47.56897962070833	32572084.0	24359257.0	74.79	8212827.0	25.21	ERX1045659_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32572084.0	0.0	20-51	47.0	8.858376126725979	50.311200566718426	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	32773172	11395155	32773172	1671431772	6752141	1639863551	1.8886933663003265	0.4301	0.0718	0.4981		
ERX1045660	39377311	21620318	525513	3368591	0	0	0	0	0	0	0	0	0	12863589	929393	69907	54.90552160862381	39377311.0	36008720.0	91.45	3368591.0	8.55	ERX1045660_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39377311.0	0.0	20-51	52.0	17.427302227614348	49.76936672999332	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	39621074	14028744	39621074	2020674774	25914384	1961474060	2.9297497430925024	0.43200000000000005	0.0698	0.4982		
ERX1045661	25922619	13923882	302342	2143975	0	0	0	0	0	0	0	0	0	8941082	561607	49731	53.713253278922174	25922619.0	23778644.0	91.73	2143975.0	8.27	ERX1045661_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25922619.0	0.0	20-51	53.0	16.430795580381936	50.04923167678388	pass	pass	pass	fail	warn	warn	warn	fail	fail	pass	fail	26087786	9430456	26087786	1330477086	10632383	1298303285	2.418215340839023	0.44299999999999995	0.0611	0.4959		
ERX1045662	46069826	27338920	389631	7182587	0	0	0	0	0	0	0	0	0	10551605	555336	51747	59.3423556668089	46069826.0	38887239.0	84.41	7182587.0	15.59	ERX1045662_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46069826.0	0.0	20-51	49.0	11.498105496619024	49.98435672407359	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail	46692824	19083203	46692824	2381334024	5754934	2307502808	3.1004141063748563	0.3841	0.0994	0.5165		
ERX1045663	20862203	10094129	169490	1428307	0	0	0	0	0	0	0	0	0	8637102	492088	41087	48.3847702948725	20862203.0	19433896.0	93.15	1428307.0	6.85	ERX1045663_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20862203.0	0.0	20-51	53.0	15.782175893991608	50.07138431161848	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	21142623	8001625	21142623	1078273773	7402392	1046233075	2.9714807873751368	0.4446	0.0739	0.4815		
ERX1045664	39022853	21344356	373080	4115670	0	0	0	0	0	0	0	0	0	12308221	817307	64219	54.69706687002101	39022853.0	34907183.0	89.45	4115670.0	10.55	ERX1045664_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39022853.0	0.0	20-51	53.0	12.457348943474535	50.06931702302751	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	39310283	13816114	39310283	2004824433	13477799	1955473133	2.4616270226790484	0.4294	0.0672	0.5034		
ERX1045665	33881067	20849773	450071	2768715	0	0	0	0	0	0	0	0	0	9266997	490275	55236	61.53812393216542	33881067.0	31112352.0	91.83	2768715.0	8.17	ERX1045665_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33881067.0	0.0	20-51	50.0	12.10425552657108	49.83517895112335	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	35270563	14434510	35270563	1798798713	9278525	1696279329	5.699324958322894	0.4116	0.0713	0.5171		
ERX1045666	23584181	12968158	266717	2173494	0	0	0	0	0	0	0	0	0	7568465	565808	41539	54.98667941871714	23584181.0	21410687.0	90.78	2173494.0	9.22	ERX1045666_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23584181.0	0.0	20-51	52.0	21.29097612398505	49.590156215303814	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	23959223	8819024	23959223	1221920373	15949002	1172069900	4.079682612837488	0.4142	0.0753	0.5106		
