,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,module_name
0,fur-1,M00317,3.225464282162978e-10,9.579628918024045e-08,1.0,0.2222222222222222,0.3636363636363636,4.0,4.0,18.0,
1,rstA,M00529,5.71909003744047e-08,1.6985697411198196e-05,0.375,0.6,0.4615384615384615,3.0,8.0,5.0,"Denitrification, nitrate => nitrogen"
2,rstA,M00530,1.6831348246546198e-07,2.4994552146121103e-05,0.2727272727272727,0.6,0.37499999999999994,3.0,11.0,5.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
3,rstA,M00804,7.940356792558186e-06,0.0007860953224632603,0.5,0.4,0.4444444444444445,2.0,4.0,5.0,"Complete nitrification, comammox, ammonia => nitrite => nitrate"
4,4,M00280,2.044112125761178e-08,6.071013013510699e-06,0.5,0.6,0.5454545454545454,3.0,6.0,5.0,
5,narP,M00530,1.2794184842120062e-11,3.799872898109658e-09,0.5454545454545454,0.25,0.34285714285714286,6.0,11.0,24.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
6,narP,M00259,2.0710411015396566e-07,3.07549603578639e-05,1.0,0.125,0.2222222222222222,3.0,3.0,24.0,
7,narP,M00529,1.1364548930069131e-05,0.0011250903440768439,0.375,0.125,0.1875,3.0,8.0,24.0,"Denitrification, nitrate => nitrogen"
8,gutM,M00280,8.181189877806501e-09,2.429813393708531e-06,0.5,0.75,0.6,3.0,6.0,4.0,
9,purR-1,M00048,1.7938204884059637e-26,5.3276468505657125e-24,1.0,0.4782608695652174,0.6470588235294118,11.0,11.0,23.0,"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP"
10,purR-1,M00532,0.0001996511623337534,0.02964819760656238,0.5,0.08695652173913043,0.14814814814814817,2.0,4.0,23.0,Photorespiration
11,fliA,M00506,5.519127771711193e-09,1.6391809481982244e-06,1.0,0.11428571428571428,0.20512820512820512,4.0,4.0,35.0,
12,fliA,M00189,6.614594129312648e-06,0.0009822672282029283,0.6,0.08571428571428572,0.15,3.0,5.0,35.0,
13,12,M00080,0.00010687161584041123,0.031740869904602134,0.3,0.07692307692307693,0.12244897959183675,3.0,10.0,39.0,
14,13,M00473,3.3516348493136125e-05,0.00995435550246143,1.0,0.08695652173913043,0.16,2.0,2.0,23.0,
15,13,M00299,0.0001996511623337534,0.02964819760656238,0.5,0.08695652173913043,0.14814814814814817,2.0,4.0,23.0,
16,cra,M00273,2.221009611444733e-05,0.006596398545990857,0.5,0.25,0.3333333333333333,2.0,4.0,8.0,
17,17,M00283,5.71909003744047e-08,1.6985697411198196e-05,0.375,0.6,0.4615384615384615,3.0,8.0,5.0,
18,17,M00550,4.634191823177943e-07,6.881774857419246e-05,0.2,0.6,0.3,3.0,15.0,5.0,"Ascorbate degradation, ascorbate => D-xylulose-5P"
19,17,M00007,4.751954142162501e-05,0.0035283259505556573,0.2222222222222222,0.4,0.2857142857142857,2.0,9.0,5.0,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
20,17,M00167,3.6978699590333205e-05,0.0035283259505556573,0.25,0.4,0.3076923076923077,2.0,8.0,5.0,"Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P"
21,17,M00165,7.252447892977633e-05,0.004307954048428714,0.18181818181818182,0.4,0.25000000000000006,2.0,11.0,5.0,Reductive pentose phosphate cycle (Calvin cycle)
22,17,M00004,0.00010274687045127974,0.005085970087338346,0.15384615384615385,0.4,0.2222222222222222,2.0,13.0,5.0,Pentose phosphate pathway (Pentose phosphate cycle)
23,20,M00721,1.552131139024557e-16,4.609829482902934e-14,0.7,0.5,0.5833333333333334,7.0,10.0,14.0,
24,20,M00761,1.0551273681218826e-10,1.5668641416609956e-08,1.0,0.2857142857142857,0.4444444444444445,4.0,4.0,14.0,"Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N"
25,20,M00722,3.724599609488413e-08,3.6873536133935284e-06,1.0,0.21428571428571427,0.35294117647058826,3.0,3.0,14.0,
26,20,M00451,1.2055287402693836e-05,0.0008951050896500174,1.0,0.14285714285714285,0.25,2.0,2.0,14.0,
27,phoB,M00222,1.438810047441413e-10,2.1366329204504984e-08,1.0,0.26666666666666666,0.4210526315789474,4.0,4.0,15.0,
28,phoB,M00302,1.438810047441413e-10,2.1366329204504984e-08,1.0,0.26666666666666666,0.4210526315789474,4.0,4.0,15.0,
29,phoB,M00434,1.3909947003064303e-05,0.0013770847533033659,1.0,0.13333333333333333,0.23529411764705882,2.0,2.0,15.0,
30,phoB,M00198,8.308765370096201e-05,0.00616925828729643,0.5,0.13333333333333333,0.2105263157894737,2.0,4.0,15.0,
31,27,M00178,3.10912581553254e-08,9.234103672131645e-06,0.25,0.25,0.25,5.0,20.0,20.0,
32,appY,M00153,0.00015183122002563265,0.0450938723476129,0.2857142857142857,0.18181818181818182,0.2222222222222222,2.0,7.0,11.0,Cytochrome bd ubiquinol oxidase
33,30,M00330,4.0929666038154707e-10,1.2156110813331947e-07,1.0,0.75,0.8571428571428571,3.0,3.0,4.0,
34,arcA-1,M00457,7.431885970206106e-05,0.022072701331512137,1.0,0.058823529411764705,0.1111111111111111,2.0,2.0,34.0,
35,arcA-1,M00149,0.00044102936089032013,0.043661906728141686,0.5,0.058823529411764705,0.10526315789473684,2.0,4.0,34.0,"Succinate dehydrogenase, prokaryotes"
36,arcA-1,M00230,0.00044102936089032013,0.043661906728141686,0.5,0.058823529411764705,0.10526315789473684,2.0,4.0,34.0,
37,arcA-1,M00087,0.000731015615387041,0.054277909442487796,0.4,0.058823529411764705,0.10256410256410256,2.0,5.0,34.0,beta-Oxidation
38,cysB,M00176,3.601721886712907e-16,1.0697114003537335e-13,1.0,0.46153846153846156,0.631578947368421,6.0,6.0,13.0,"Assimilatory sulfate reduction, sulfate => H2S"
39,cysB,M00185,1.747285330301689e-13,2.5947187154980084e-11,1.0,0.38461538461538464,0.5555555555555556,5.0,5.0,13.0,
40,cysB,M00596,1.033310348801996e-05,0.001022977245313976,1.0,0.15384615384615385,0.2666666666666667,2.0,2.0,13.0,"Dissimilatory sulfate reduction, sulfate => H2S"
41,zur,M00242,3.972224089024946e-06,0.0011797505544404092,0.6666666666666666,0.4,0.5,2.0,3.0,5.0,
42,40,M00149,0.0002977796181920564,0.08844054660304075,0.5,0.07142857142857142,0.125,2.0,4.0,28.0,"Succinate dehydrogenase, prokaryotes"
43,leu-tRNA,M00570,1.6493016965686415e-18,4.898426038808865e-16,0.7272727272727273,0.5,0.5925925925925926,8.0,11.0,16.0,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine"
44,leu-tRNA,M00019,1.5531821405415832e-16,2.3064754787042512e-14,0.7777777777777778,0.4375,0.56,7.0,9.0,16.0,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"
45,leu-tRNA,M00432,1.9184133965895437e-10,1.899229262623648e-08,1.0,0.25,0.4,4.0,4.0,16.0,"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate"
46,leu-tRNA,M00535,5.730153245351642e-08,4.2546387846735945e-06,1.0,0.1875,0.3157894736842105,3.0,3.0,16.0,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate"
47,leu-tRNA,M00018,1.1374191206154982e-06,6.756269576456059e-05,0.5,0.1875,0.2727272727272727,3.0,6.0,16.0,"Threonine biosynthesis, aspartate => homoserine => threonine"
48,44,M00189,3.575813604174954e-08,1.0620166404399613e-05,0.6,0.42857142857142855,0.5,3.0,5.0,7.0,
49,44,M00240,4.2744156948371505e-07,6.347507306833168e-05,0.3,0.42857142857142855,0.3529411764705882,3.0,10.0,7.0,
50,purR-2,M00051,3.586152151400842e-13,1.0650871889660501e-10,0.5555555555555556,0.7142857142857143,0.6250000000000001,5.0,9.0,7.0,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
51,crp,M00214,8.595229868029463e-09,2.5527832708047508e-06,1.0,0.3333333333333333,0.5,3.0,3.0,9.0,
52,crp,M00149,2.8546026125454157e-05,0.004239084879629942,0.5,0.2222222222222222,0.30769230769230765,2.0,4.0,9.0,"Succinate dehydrogenase, prokaryotes"
53,crp,M00376,0.00013257561073138293,0.013124985462406908,0.25,0.2222222222222222,0.23529411764705882,2.0,8.0,9.0,3-Hydroxypropionate bi-cycle
54,crp,M00374,0.0002594785488533789,0.019266282252363386,0.18181818181818182,0.2222222222222222,0.19999999999999998,2.0,11.0,9.0,Dicarboxylate-hydroxybutyrate cycle
55,crp,M00011,0.0005627405228056058,0.03342678705465299,0.125,0.2222222222222222,0.16,2.0,16.0,9.0,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
56,crp,M00009,0.0008867285529675689,0.03762262574733828,0.1,0.2222222222222222,0.13793103448275865,2.0,20.0,9.0,"Citrate cycle (TCA cycle, Krebs cycle)"
57,crp,M00173,0.0008867285529675689,0.03762262574733828,0.1,0.2222222222222222,0.13793103448275865,2.0,20.0,9.0,Reductive citrate cycle (Arnon-Buchanan cycle)
58,lrp,M00237,9.696943541129882e-17,2.879992231715575e-14,1.0,0.5454545454545454,0.7058823529411764,6.0,6.0,11.0,
59,metJ,M00017,4.351305700477049e-09,1.2923377930416836e-06,0.4444444444444444,0.36363636363636365,0.39999999999999997,4.0,9.0,11.0,"Methionine biosynthesis, aspartate => homoserine => methionine"
60,metJ,M00238,0.0001086186650422699,0.01612987175877708,0.3333333333333333,0.18181818181818182,0.23529411764705885,2.0,6.0,11.0,
61,58,M00239,0.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,
62,rpoS,M00565,5.270379934145427e-06,0.0015653028404411919,0.6666666666666666,0.041237113402061855,0.07766990291262137,4.0,6.0,97.0,"Trehalose biosynthesis, D-glucose 1P => trehalose"
63,rpoS,M00209,2.3662787318468953e-05,0.0035139239167926396,0.5,0.041237113402061855,0.0761904761904762,4.0,8.0,97.0,
64,62,M00332,2.0220312691478746e-20,6.005432869369188e-18,0.7857142857142857,0.2619047619047619,0.39285714285714285,11.0,14.0,42.0,
65,62,M00542,1.923359833525406e-18,2.8561893527852276e-16,0.7692307692307693,0.23809523809523808,0.36363636363636365,10.0,13.0,42.0,"EHEC/EPEC pathogenicity signature, T3SS and effectors"
66,62,M00660,4.083559740037898e-15,4.042724142637519e-13,0.8,0.19047619047619047,0.3076923076923077,8.0,10.0,42.0,"Xanthomonas spp. pathogenicity signature, T3SS and effectors"
67,62,M00663,0.00011406156542505333,0.00846907123281021,1.0,0.047619047619047616,0.0909090909090909,2.0,2.0,42.0,
68,64,M00724,1.0907755999169275e-06,0.00016198017658766373,1.0,0.07317073170731707,0.13636363636363635,3.0,3.0,41.0,
69,64,M00744,1.0907755999169275e-06,0.00016198017658766373,1.0,0.07317073170731707,0.13636363636363635,3.0,3.0,41.0,"Cationic antimicrobial peptide (CAMP) resistance, protease PgtE"
70,64,M00444,0.00010863006230971198,0.010754376168661485,1.0,0.04878048780487805,0.09302325581395349,2.0,2.0,41.0,
71,64,M00723,0.0003237086357292378,0.024035366202895907,0.6666666666666666,0.04878048780487805,0.0909090909090909,2.0,3.0,41.0,
72,64,M00709,0.0006430861928590339,0.03819931985582661,0.5,0.04878048780487805,0.08888888888888888,2.0,4.0,41.0,
73,rbsR,M00212,5.730153245344531e-09,1.7018555138673256e-06,1.0,0.375,0.5454545454545454,3.0,3.0,8.0,
74,malT,M00194,1.3281323514799893e-11,3.944553083895568e-09,1.0,0.4444444444444444,0.6153846153846153,4.0,4.0,9.0,
75,69,M00208,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,
76,arcA-2,M00324,1.2453156699591432e-08,3.698587539778655e-06,0.8,0.13793103448275862,0.2352941176470588,4.0,5.0,29.0,
77,arcA-2,M00226,1.488059408578119e-06,0.00022097682217385068,0.75,0.10344827586206896,0.18181818181818182,3.0,4.0,29.0,
78,arcA-2,M00027,0.00016060760023659036,0.015900152423422444,0.6666666666666666,0.06896551724137931,0.125,2.0,3.0,29.0,GABA (gamma-Aminobutyrate) shunt
79,arcA-2,M00225,0.00031972714106435666,0.023739740224028482,0.5,0.06896551724137931,0.1212121212121212,2.0,4.0,29.0,
80,arcA-2,M00087,0.0005304109225856897,0.031506408801589975,0.4,0.06896551724137931,0.1176470588235294,2.0,5.0,29.0,beta-Oxidation
81,arcA-2,M00439,0.000791933498585046,0.03920070817995977,0.3333333333333333,0.06896551724137931,0.1142857142857143,2.0,6.0,29.0,
82,birA,M00123,2.6346401802651107e-12,2.6082937784624595e-10,0.8,0.8,0.8000000000000002,4.0,5.0,5.0,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"
83,birA,M00573,2.6346401802651107e-12,2.6082937784624595e-10,0.8,0.8,0.8000000000000002,4.0,5.0,5.0,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin"
84,birA,M00577,2.6346401802651107e-12,2.6082937784624595e-10,0.8,0.8,0.8000000000000002,4.0,5.0,5.0,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin"
85,his-tRNA,M00026,0.0,0.0,1.0,1.0,1.0,8.0,8.0,8.0,"Histidine biosynthesis, PRPP => histidine"
86,74,M00764,7.902291370307241e-12,2.3469805369812507e-09,0.8,0.6666666666666666,0.7272727272727272,4.0,5.0,6.0,
87,arcA-3,M00144,2.838214218038118e-23,8.429496227573212e-21,0.8333333333333334,0.5263157894736842,0.6451612903225806,10.0,12.0,19.0,"NADH:quinone oxidoreductase, prokaryotes"
88,arcA-3,M00011,5.3335374755774044e-05,0.0067084105329203465,0.1875,0.15789473684210525,0.17142857142857143,3.0,16.0,19.0,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
89,arcA-3,M00620,6.776172255475098e-05,0.0067084105329203465,0.6666666666666666,0.10526315789473684,0.18181818181818182,2.0,3.0,19.0,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate"
90,arcA-3,M00009,0.00010723967851322574,0.007962546129607012,0.15,0.15789473684210525,0.15384615384615385,3.0,20.0,19.0,"Citrate cycle (TCA cycle, Krebs cycle)"
91,arcA-3,M00417,0.0001351280623214777,0.008026606901895775,0.5,0.10526315789473684,0.17391304347826086,2.0,4.0,19.0,Cytochrome o ubiquinol oxidase
92,arcA-3,M00374,0.0012136151951088708,0.0600739521578891,0.18181818181818182,0.10526315789473684,0.13333333333333333,2.0,11.0,19.0,Dicarboxylate-hydroxybutyrate cycle
93,78,M00332,0.0002086456714016715,0.030983882203148218,0.21428571428571427,0.08823529411764706,0.125,3.0,14.0,34.0,
94,78,M00542,0.00016492140126467766,0.030983882203148218,0.23076923076923078,0.08823529411764706,0.12765957446808512,3.0,13.0,34.0,"EHEC/EPEC pathogenicity signature, T3SS and effectors"
95,lsrR,M00219,1.3281323514799893e-11,3.944553083895568e-09,1.0,0.4444444444444444,0.6153846153846153,4.0,4.0,9.0,
96,80,M00153,3.575813604174423e-08,1.0620166404398038e-05,0.42857142857142855,0.6,0.5,3.0,7.0,5.0,Cytochrome bd ubiquinol oxidase
97,82,M00245,4.655749511855417e-08,6.9137880251052945e-06,1.0,0.2,0.33333333333333337,3.0,3.0,15.0,
98,82,M00246,4.655749511855417e-08,6.9137880251052945e-06,1.0,0.2,0.33333333333333337,3.0,3.0,15.0,
99,82,M00122,0.00020679337010654075,0.02047254364054753,0.3333333333333333,0.13333333333333333,0.19047619047619044,2.0,6.0,15.0,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"
100,fnr-1,M00178,1.9437784334032857e-21,5.773021947207759e-19,0.65,0.2708333333333333,0.3823529411764705,13.0,20.0,48.0,
101,fnr-1,M00179,2.9469489306428406e-16,4.3762191620046184e-14,1.0,0.16666666666666666,0.2857142857142857,8.0,8.0,48.0,
102,argR-2,M00028,1.1054084563707771e-10,1.641531557710604e-08,0.8,0.4,0.5333333333333333,4.0,5.0,10.0,"Ornithine biosynthesis, glutamate => ornithine"
103,argR-2,M00845,1.1054084563707771e-10,1.641531557710604e-08,0.8,0.4,0.5333333333333333,4.0,5.0,10.0,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
104,argR-2,M00029,4.904919262788126e-08,3.6419025526201837e-06,0.75,0.3,0.4285714285714285,3.0,4.0,10.0,Urea cycle
105,argR-2,M00844,4.904919262788126e-08,3.6419025526201837e-06,0.75,0.3,0.4285714285714285,3.0,4.0,10.0,"Arginine biosynthesis, ornithine => arginine"
106,fur-3,M00240,3.980851164790482e-14,1.1823127959427732e-11,0.7,0.25925925925925924,0.37837837837837834,7.0,10.0,27.0,
107,fur-3,M00317,0.0002766049584082576,0.041075836323626255,0.5,0.07407407407407407,0.12903225806451613,2.0,4.0,27.0,
108,90,M00324,1.710628994702502e-14,5.080568114266431e-12,1.0,0.5555555555555556,0.7142857142857143,5.0,5.0,9.0,
109,TPP,M00127,1.7367120139376935e-10,5.15803468139495e-08,0.8,0.36363636363636365,0.5000000000000001,4.0,5.0,11.0,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP"
110,TPP,M00123,7.252447892970354e-05,0.005384942560530488,0.4,0.18181818181818182,0.25000000000000006,2.0,5.0,11.0,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"
111,TPP,M00573,7.252447892970354e-05,0.005384942560530488,0.4,0.18181818181818182,0.25000000000000006,2.0,5.0,11.0,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin"
112,TPP,M00577,7.252447892970354e-05,0.005384942560530488,0.4,0.18181818181818182,0.25000000000000006,2.0,5.0,11.0,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin"
113,rpoN,M00227,2.2511316320990633e-08,6.6858609473342186e-06,1.0,0.25,0.4,3.0,3.0,12.0,
114,rpoN,M00230,8.988873539938707e-08,1.334847720680898e-05,0.75,0.25,0.375,3.0,4.0,12.0,
115,rpoN,M00497,8.74339525905109e-06,0.0008655961306460578,1.0,0.16666666666666666,0.2857142857142857,2.0,2.0,12.0,
116,lexA,M00729,3.656328926520951e-05,0.010859296911767225,1.0,0.08333333333333333,0.15384615384615385,2.0,2.0,24.0,
117,fnr-2,M00150,2.853639927419718e-08,8.475310584436563e-06,1.0,0.07692307692307693,0.14285714285714288,4.0,4.0,52.0,"Fumarate reductase, prokaryotes"
118,fnr-2,M00011,4.6102182124591124e-05,0.006846174045501782,0.25,0.07692307692307693,0.11764705882352941,4.0,16.0,52.0,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
119,fnr-2,M00009,0.00011795699778239686,0.008758307085342967,0.2,0.07692307692307693,0.1111111111111111,4.0,20.0,52.0,"Citrate cycle (TCA cycle, Krebs cycle)"
120,fnr-2,M00173,0.00011795699778239686,0.008758307085342967,0.2,0.07692307692307693,0.1111111111111111,4.0,20.0,52.0,Reductive citrate cycle (Arnon-Buchanan cycle)
121,fnr-2,M00530,0.00034583262833285435,0.02054245812297155,0.2727272727272727,0.057692307692307696,0.09523809523809523,3.0,11.0,52.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
122,fnr-2,M00582,0.0005224655497943154,0.025862044714818608,0.6666666666666666,0.038461538461538464,0.07272727272727274,2.0,3.0,52.0,
123,fnr-2,M00239,0.0017118269466007,0.07263037187720113,0.4,0.038461538461538464,0.07017543859649124,2.0,5.0,52.0,
124,102,M00721,8.383619719781488e-05,0.02489935056775102,0.3,0.08333333333333333,0.13043478260869565,3.0,10.0,36.0,
125,102,M00349,0.0004949319628564549,0.07349739648418356,0.5,0.05555555555555555,0.09999999999999999,2.0,4.0,36.0,
126,102,M00739,0.0008200778599636038,0.08118770813639677,0.4,0.05555555555555555,0.09756097560975609,2.0,5.0,36.0,
127,narL,M00150,5.42471969704963e-07,0.00016111417500237402,0.75,0.14285714285714285,0.24,3.0,4.0,21.0,"Fumarate reductase, prokaryotes"
128,narL,M00011,7.283802629678578e-05,0.010816446905072689,0.1875,0.14285714285714285,0.16216216216216214,3.0,16.0,21.0,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
129,narL,M00009,0.00014622693778328005,0.010857350130408543,0.15,0.14285714285714285,0.14634146341463414,3.0,20.0,21.0,"Citrate cycle (TCA cycle, Krebs cycle)"
130,narL,M00173,0.00014622693778328005,0.010857350130408543,0.15,0.14285714285714285,0.14634146341463414,3.0,20.0,21.0,Reductive citrate cycle (Arnon-Buchanan cycle)
131,110,M00663,0.0001557914064345678,0.04627004771106664,1.0,0.04081632653061224,0.07843137254901959,2.0,2.0,49.0,
