Experiment,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,Host,ScientificNameCurated,Biosample,R1,R2
ERX1043600,7/23/15 4:06,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina Genome Analyzer II,ERR966622,ERP001508,PRJEB3087,290587,ERS091618,SAMEA1985914,ERA459614,RNA-Seq,cDNA,TRANSCRIPTOMIC,,THE WELLCOME TRUST SANGER INSTITUTE,200,0,1628701,,,,3208994,,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,
ERX1043601,7/23/15 4:06,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina Genome Analyzer II,ERR966623,ERP001508,PRJEB3087,290587,ERS091617,SAMEA1988052,ERA459614,RNA-Seq,cDNA,TRANSCRIPTOMIC,,THE WELLCOME TRUST SANGER INSTITUTE,200,0,1628702,,,,3208993,,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,
ERX1043602,7/23/15 4:06,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina Genome Analyzer II,ERR966624,ERP001508,PRJEB3087,290587,ERS091618,SAMEA1985914,ERA459614,RNA-Seq,cDNA,TRANSCRIPTOMIC,,THE WELLCOME TRUST SANGER INSTITUTE,200,0,1628703,,,,3208994,,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,
ERX1043603,7/23/15 4:06,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 2000,ERR966625,ERP001508,PRJEB3087,290587,ERS092446,SAMEA1986527,ERA459614,RNA-Seq,cDNA,TRANSCRIPTOMIC,,THE WELLCOME TRUST SANGER INSTITUTE,200,0,1628704,,,,3209475,,,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045658,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968690,ERP011094,PRJEB9939,293185,ERS795629,SAMEA3488480,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681348,,,,3998209,14028s wild type,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045659,8/18/15 5:44,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968681,ERP011094,PRJEB9939,293185,ERS795630,SAMEA3488481,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681349,,,,3998210,delta STM14_3465,pBAD24-STM14_3465,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045660,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968708,ERP011094,PRJEB9939,293185,ERS795631,SAMEA3488482,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681350,,,,3998211,delta STM14_3463,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045661,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968694,ERP011094,PRJEB9939,293185,ERS795632,SAMEA3488483,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681351,,,,3998212,delta STM14_3465,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045662,8/18/15 5:45,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968702,ERP011094,PRJEB9939,293185,ERS795633,SAMEA3488484,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681352,,,,3998213,delta STM14_3474,pBAD24-STM14_3474,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
ERX1045663,8/18/15 5:44,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR968683,ERP011094,PRJEB9939,293185,ERS795634,SAMEA3488485,ERA459745,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,UB Next-Generation Sequencing and Expression Analysis Core,0,0,1681353,,,,3998214,14028s wild type,pBAD24,,,,,,,,,,,,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,,
