,regulator,gene_id,effect
44,alaS,STMMW_27891,-
45,allR,STMMW_05841,-
46,allR,STMMW_05851,-
47,allR,STMMW_05871,-
48,allR,STMMW_05881,-
49,allR,STMMW_05891,-
52,allR,STMMW_05921,-
53,allR,STMMW_05931,-
54,allS,STMMW_05941,+
55,allS,STMMW_05951,+
56,allS,STMMW_05961,+
63,appY,STMMW_17781,+
64,appY,STMMW_17791,+
65,appY,STMMW_17801,+
66,appY,STMMW_17811,+
67,appY,STMMW_17821,+
68,appY,STMMW_17831,+
69,appY,STMMW_17841,+
70,appY,STMMW_17851,+
72,araC,STMMW_01071,+-
73,araC,STMMW_01081,+-
74,araC,STMMW_01091,+-
75,araC,STMMW_01101,+-
76,araC,STMMW_04641,+
78,araC,STMMW_00361,-
81,araC,STMMW_29771,+
82,araC,STMMW_29781,+
83,araC,STMMW_36481,-
84,araC,STMMW_36491,-
87,arcA,STMMW_00011,-
88,arcA,STMMW_00021,-
89,arcA,STMMW_00031,-
90,arcA,STMMW_00441,+
91,arcA,STMMW_00461,+
92,arcA,STMMW_00471,+
93,arcA,STMMW_00481,+
94,arcA,STMMW_00491,+
95,arcA,STMMW_00501,+
96,arcA,STMMW_00681,+
97,arcA,STMMW_00691,+
98,arcA,STMMW_00711,+-
99,arcA,STMMW_00721,+-
100,arcA,STMMW_00731,+-
101,arcA,STMMW_00741,+-
102,arcA,STMMW_00751,+-
103,arcA,STMMW_00761,+-
104,arcA,STMMW_01161,+
105,arcA,STMMW_01171,+
106,arcA,STMMW_01181,+
107,arcA,STMMW_01191,+
108,arcA,STMMW_01201,+
109,arcA,STMMW_01581,-
110,arcA,STMMW_01591,-
111,arcA,STMMW_01601,-
113,arcA,STMMW_01641,-
114,arcA,STMMW_03201,-
124,arcA,STMMW_11151,-
127,arcA,STMMW_05101,-
128,arcA,STMMW_05111,-
129,arcA,STMMW_05121,-
130,arcA,STMMW_05131,-
131,arcA,STMMW_05141,-
133,arcA,STMMW_06701,+
134,arcA,STMMW_06841,-
135,arcA,STMMW_06851,-
136,arcA,STMMW_06861,-
137,arcA,STMMW_06871,-
138,arcA,STMMW_06881,-
139,arcA,STMMW_06891,-
140,arcA,STMMW_06901,+
141,arcA,STMMW_06911,+
142,arcA,STMMW_06921,+
143,arcA,STMMW_07621,+-
144,arcA,STMMW_07631,+-
145,arcA,STMMW_07641,+-
146,arcA,STMMW_07651,+
147,arcA,STMMW_07871,-
148,arcA,STMMW_07891,+-
149,arcA,STMMW_07901,+-
150,arcA,STMMW_07911,+-
151,arcA,STMMW_07921,+-
152,arcA,STMMW_07931,+-
153,arcA,STMMW_07941,+-
154,arcA,STMMW_07951,+-
155,arcA,STMMW_07961,+-
156,arcA,STMMW_07971,+-
157,arcA,STMMW_07981,+-
158,arcA,STMMW_08531,+
159,arcA,STMMW_08541,-
160,arcA,STMMW_08551,-
161,arcA,STMMW_08561,-
162,arcA,STMMW_08571,-
163,arcA,STMMW_08581,-
166,arcA,STMMW_08921,+-
167,arcA,STMMW_08941,+-
168,arcA,STMMW_08951,+-
170,arcA,STMMW_08961,+
171,arcA,STMMW_08971,+
172,arcA,STMMW_08981,+
173,arcA,STMMW_08991,+
174,arcA,STMMW_09001,+
175,arcA,STMMW_09011,+
176,arcA,STMMW_09021,+
177,arcA,STMMW_09031,+
178,arcA,STMMW_09041,-
179,arcA,STMMW_09281,-
180,arcA,STMMW_09291,-
181,arcA,STMMW_09301,-
182,arcA,STMMW_09311,-
183,arcA,STMMW_09531,+
184,arcA,STMMW_09541,-
186,arcA,STMMW_09571,-
187,arcA,STMMW_09581,-
189,arcA,STMMW_09651,+
190,arcA,STMMW_09681,+
191,arcA,STMMW_09691,+
192,arcA,STMMW_09841,+-
193,arcA,STMMW_09851,+-
194,arcA,STMMW_10151,+-
195,arcA,STMMW_10701,-
196,arcA,STMMW_10791,+-
197,arcA,STMMW_10981,+-
199,arcA,STMMW_17781,+
200,arcA,STMMW_17791,+
201,arcA,STMMW_17801,+
202,arcA,STMMW_17811,+
203,arcA,STMMW_17821,+
204,arcA,STMMW_17831,+
205,arcA,STMMW_17841,+
206,arcA,STMMW_17851,+
209,arcA,STMMW_11081,+-
215,arcA,STMMW_11311,+-
216,arcA,STMMW_11331,-
217,arcA,STMMW_11341,+-
219,arcA,STMMW_11651,+-
220,arcA,STMMW_11661,+-
221,arcA,STMMW_11991,+
222,arcA,STMMW_12001,+
223,arcA,STMMW_12011,+
224,arcA,STMMW_12021,+
225,arcA,STMMW_12031,+
226,arcA,STMMW_12041,+
227,arcA,STMMW_12051,+
228,arcA,STMMW_12061,+
229,arcA,STMMW_12121,+-
230,arcA,STMMW_12201,+-
231,arcA,STMMW_12451,+-
232,arcA,STMMW_12471,+-
233,arcA,STMMW_12481,-
234,arcA,STMMW_11201,+
235,arcA,STMMW_17991,+
240,arcA,STMMW_17691,+
241,arcA,STMMW_17681,+
242,arcA,STMMW_17671,+
243,arcA,STMMW_17411,+-
244,arcA,STMMW_17401,+-
245,arcA,STMMW_17391,+-
246,arcA,STMMW_17381,+-
247,arcA,STMMW_17371,+-
248,arcA,STMMW_17271,-
249,arcA,STMMW_17071,-
255,arcA,STMMW_30881,-
257,arcA,STMMW_16771,-
258,arcA,STMMW_16761,+-
259,arcA,STMMW_16581,-
260,arcA,STMMW_16561,-
262,arcA,STMMW_30891,+-
275,arcA,STMMW_15821,+-
276,arcA,STMMW_15811,+-
282,arcA,STMMW_15941,+-
284,arcA,STMMW_15221,-
285,arcA,STMMW_14801,+
286,arcA,STMMW_14791,+
287,arcA,STMMW_14761,+-
