,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
SRX3471976,12/17/17 19:11,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6377148,SRP126785,PRJNA422455,422455,SRS2758603,SAMN08178224,SRA638961,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4833540,GSE108104,GSM2889540,29487214,8178224,D23580,wildtype,NC_016854.1,pgtE,ESP_tex,Pooled,WT,LB,,,Aerobic,,37C,,Early-stationary,,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,dRNA-Seq,1.0,1.0,ESP_tex,,,True,True,True,pgtE:ESP_tex,False,True
SRX4665695,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814125,SRP160917,PRJNA490148,490148,SRS3760690,SAMN10026159,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323844,GSE119724,GSM3381707,30645593,10026159,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_NonSPI2,D23580_MEP,WT,PCN,,,Aerobic,,37C,7.4,,0.3,"Growth in PCN medium (pH 7.4, 25 mM Pi) at 37ºC,220 rpm (in a water bath),to OD600 nm0.3.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,2.0,1.0,NonSPI2-3,,,True,True,True,comparative_D23580:D23580_NonSPI2,True,True
SRX4665685,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814115,SRP160917,PRJNA490148,490148,SRS3760682,SAMN10026169,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323834,GSE119724,GSM3381697,30645593,10026169,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_InSPI2,D23580_MEP,WT,PCN,,,Aerobic,,37C,5.8,,0.3,"Growth in PCN medium (pH 5.8, 0.4 mM Pi) at 37ºC,220 rpm (in a water bath),to OD600 nm0.3.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,InSPI2,,,True,True,True,comparative_D23580:D23580_InSPI2,True,True
SRX4665673,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814103,SRP160917,PRJNA490148,490148,SRS3760671,SAMN10026153,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323822,GSE119724,GSM3381685,30645593,10026153,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_Anaerobic_growth,D23580_MEP,WT,LB,,,Anaerobic,,37C,,,0.3,"Growthin Lennox broth in a completely filled and closed 50 ml Falcon tube, incubated statically at 37ºC,to OD600 nm0.3.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,3.0,1.0,Anaerobic_growth-4,,,True,True,True,comparative_D23580:D23580_Anaerobic_growth,True,True
SRX3471978,12/17/17 19:11,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6377150,SRP126785,PRJNA422455,422455,SRS2758607,SAMN08178222,SRA638961,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4833542,GSE108104,GSM2889542,29487214,8178222,D23580,wildtype,NC_016854.1,pgtE,Pooled_tex,Pooled,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,dRNA-Seq,1.0,1.0,Pooled_tex,,,True,True,True,pgtE:Pooled_tex,False,True
SRX3471973,12/17/17 19:11,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6377145,SRP126785,PRJNA422455,422455,SRS2758604,SAMN08178227,SRA638961,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4833537,GSE108104,GSM2889537,29487214,8178227,D23580,wildtype,NC_016854.1,pgtE,ESP,Pooled,WT,LB,,,Aerobic,,37C,,Early-stationary,,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,dRNA-Seq,1.0,1.0,ESP,,,True,True,True,pgtE:ESP,False,True
SRX4665700,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814130,SRP160917,PRJNA490148,490148,SRS3760697,SAMN10026142,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323849,GSE119724,GSM3381712,30645593,10026142,D23580,pBT1 deletion,NC_016854.1,comparative_D23580,D23580_pBT1 deletion,D23580_MEP,del_pBT1,LB,,,Aerobic,,37C,,Early-stationary,2.0,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,pBT1,Proteomics,1.0,1.0,del_pBT1_1,,,True,True,True,comparative_D23580:D23580_pBT1 deletion,True,True
SRX4665682,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814112,SRP160917,PRJNA490148,490148,SRS3760679,SAMN10026172,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323831,GSE119724,GSM3381694,30645593,10026172,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_InSPI2,D23580_MEP,WT,PCN,,,Aerobic,,37C,5.8,,0.3,"Growth in PCN medium (pH 5.8, 0.4 mM Pi) at 37ºC,220 rpm (in a water bath),to OD600 nm0.3.",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,InSPI2-2,,,True,True,True,comparative_D23580:D23580_InSPI2,True,True
SRX4665670,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814100,SRP160917,PRJNA490148,490148,SRS3760669,SAMN10026156,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323819,GSE119724,GSM3381682,30645593,10026156,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_25C,D23580_MEP,WT,LB,,,Aerobic,,25C,,,0.3,"Growth in Lennox broth at 25ºC,220 rpm(in a water bath),to OD600 nm0.3",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,25C,,,True,True,True,comparative_D23580:D23580_25C,False,True
SRX4665701,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814131,SRP160917,PRJNA490148,490148,SRS3760698,SAMN10026140,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323850,GSE119724,GSM3381713,30645593,10026140,D23580,pBT1 deletion,NC_016854.1,comparative_D23580,D23580_pBT1 deletion,D23580_MEP,del_pBT1,LB,,,Aerobic,,37C,,Early-stationary,2.0,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,pBT1,Proteomics,2.0,1.0,del_pBT1_2,,,True,True,True,comparative_D23580:D23580_pBT1 deletion,True,True
SRX4665699,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814129,SRP160917,PRJNA490148,490148,SRS3760696,SAMN10026144,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323848,GSE119724,GSM3381711,30645593,10026144,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_Oxygen_shock,D23580_MEP,WT,LB,,,Anaerobic,,37C,,,,"Growth in Lennox broth in a completely filled and closed 50 ml Falcon tube, incubated statically at 37ºC,to OD600 nm0.3, then transfer into a baffled flask for 15 min at 37ºC,250 rpm(in a water bath).",Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,Oxygen_shock,,,True,True,True,comparative_D23580:D23580_Oxygen_shock,False,True
SRX7268193,2020-04-24 16:50:14,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR10588329,SRP160917,PRJNA490148,490148,SRS5762684,SAMN13482058,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,9542708,GSE119724,GSM4204390,30645593,13482058,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_Macrophage_dRNA_2,D23580_MEP,WT,DMEM,,,Aerobic,5% fetal bovine serum & L-glutamine (2 mM final concentration) and MEM non-essential amino acids without antibiotics,37C,,,,Bacteria from the intra-macrophage (RAW264.7) environment were recovered after 8 h post-infection,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,2.0,1.0,D23580_Macrophage_dRNA_2,,,True,True,True,comparative_D23580:D23580_Macrophage_dRNA_2,False,True
SRX3471974,12/17/17 19:11,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6377146,SRP126785,PRJNA422455,422455,SRS2758606,SAMN08178226,SRA638961,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4833538,GSE108104,GSM2889538,29487214,8178226,D23580,wildtype,NC_016854.1,pgtE,InSPI2,Pooled,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,dRNA-Seq,1.0,1.0,InSPI2,,,True,True,True,pgtE:InSPI2,False,True
SRX4665686,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR7814116,SRP160917,PRJNA490148,490148,SRS3760683,SAMN10026168,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323835,GSE119724,GSM3381698,30645593,10026168,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_LEP,D23580_MEP,WT,LB,,,Aerobic,,37C,,,0.1,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,1.0,1.0,LEP,,,True,True,True,comparative_D23580:D23580_LEP,False,True
SRX4665679,9/25/18 18:26,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,NextSeq 500,SRR7814109,SRP160917,PRJNA490148,490148,SRS3760677,SAMN10026147,SRA770554,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,6323828,GSE119724,GSM3381691,30645593,10026147,D23580,wildtype,NC_016854.1,comparative_D23580,D23580_ESP,D23580_MEP,WT,LB,,,Aerobic,,37C,,Early-stationary,2.0,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,Proteomics,3.0,1.0,ESP-3,,,True,True,True,comparative_D23580:D23580_ESP,True,True
SRX3471975,12/17/17 19:11,568708,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,28901,1236,568708,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6377147,SRP126785,PRJNA422455,422455,SRS2758602,SAMN08178225,SRA638961,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4833539,GSE108104,GSM2889539,29487214,8178225,D23580,wildtype,NC_016854.1,pgtE,Pooled,Pooled,WT,LB,,,Aerobic,,37C,,,,,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,,WT,dRNA-Seq,1.0,1.0,Pooled,,,True,True,True,pgtE:Pooled,False,True
