,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,module_name
0,2,M00332,1.8591511788068893e-17,5.5774535364206676e-15,0.7857142857142857,0.12941176470588237,0.22222222222222227,11.0,14.0,85.0,
1,2,M00542,8.784025367537607e-16,1.317603805130641e-13,0.7692307692307693,0.11764705882352941,0.2040816326530612,10.0,13.0,85.0,"EHEC/EPEC pathogenicity signature, T3SS and effectors"
2,2,M00660,4.882480240039955e-13,4.882480240039955e-11,0.8,0.09411764705882353,0.16842105263157894,8.0,10.0,85.0,"Xanthomonas spp. pathogenicity signature, T3SS and effectors"
3,2,M00236,2.5320291231442457e-05,0.0018990218423581842,0.75,0.03529411764705882,0.06741573033707865,3.0,4.0,85.0,
4,2,M00663,0.00034940190615274236,0.02096411436916454,1.0,0.023529411764705882,0.04597701149425288,2.0,2.0,85.0,
5,zur,M00178,0.00020380739814537108,0.06114221944361132,0.09523809523809523,0.4,0.15384615384615385,2.0,21.0,5.0,
6,13,M00208,1.1506799038941274e-07,3.452039711682382e-05,1.0,0.13043478260869565,0.23076923076923078,3.0,3.0,23.0,
7,13,M00209,6.337556073858362e-06,0.0009506334110787543,0.375,0.13043478260869565,0.19354838709677416,3.0,8.0,23.0,
8,cysB-1,M00185,1.1118551433591319e-09,3.3355654300773954e-07,0.8,0.21052631578947367,0.3333333333333333,4.0,5.0,19.0,
9,cysB-1,M00176,1.2491788559836518e-06,0.00018737682839754777,0.5,0.15789473684210525,0.23999999999999996,3.0,6.0,19.0,"Assimilatory sulfate reduction, sulfate => H2S"
10,cysB-1,M00259,9.991334079863607e-05,0.009991334079863606,0.5,0.10526315789473684,0.17391304347826086,2.0,4.0,19.0,
11,narL,M00530,1.4133717421637391e-14,4.240115226491217e-12,0.7272727272727273,0.16666666666666666,0.2711864406779661,8.0,11.0,48.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
12,narL,M00529,5.961556491350955e-09,8.942334737026432e-07,0.625,0.10416666666666667,0.1785714285714286,5.0,8.0,48.0,"Denitrification, nitrate => nitrogen"
13,narL,M00048,4.802152892448148e-08,4.1646794548476965e-06,0.45454545454545453,0.10416666666666667,0.1694915254237288,5.0,11.0,48.0,"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP"
14,narL,M00185,5.5529059397969294e-08,4.1646794548476965e-06,0.8,0.08333333333333333,0.1509433962264151,4.0,5.0,48.0,
15,narL,M00596,0.00011039925774124408,0.0066239554644746445,1.0,0.041666666666666664,0.07999999999999999,2.0,2.0,48.0,"Dissimilatory sulfate reduction, sulfate => H2S"
16,narL,M00259,0.0006534388784221737,0.028004523360950297,0.5,0.041666666666666664,0.07692307692307693,2.0,4.0,48.0,
17,narL,M00804,0.0006534388784221737,0.028004523360950297,0.5,0.041666666666666664,0.07692307692307693,2.0,4.0,48.0,"Complete nitrification, comammox, ammonia => nitrite => nitrate"
18,narL,M00176,0.0016115387055061349,0.060432701456480054,0.3333333333333333,0.041666666666666664,0.07407407407407407,2.0,6.0,48.0,"Assimilatory sulfate reduction, sulfate => H2S"
19,fur,M00240,2.7119610138999013e-12,8.135883041699703e-10,0.7,0.12962962962962962,0.21875,7.0,10.0,54.0,
20,fur,M00317,1.8192049933727673e-08,2.7288074900591507e-06,1.0,0.07407407407407407,0.13793103448275862,4.0,4.0,54.0,
21,cysB-2,M00176,2.5422117884241397e-11,7.626635365272419e-09,1.0,0.075,0.13953488372093023,6.0,6.0,80.0,"Assimilatory sulfate reduction, sulfate => H2S"
22,cysB-2,M00185,1.5307504581919642e-09,1.5307504581919642e-07,1.0,0.0625,0.11764705882352941,5.0,5.0,80.0,
23,cysB-2,M00324,1.5307504581919642e-09,1.5307504581919642e-07,1.0,0.0625,0.11764705882352941,5.0,5.0,80.0,
24,cysB-2,M00237,9.057392159693776e-09,6.793044119770331e-07,0.8333333333333334,0.0625,0.11627906976744186,5.0,6.0,80.0,
25,cysB-2,M00432,9.097894499636963e-08,4.5489472498184815e-06,1.0,0.05,0.09523809523809523,4.0,4.0,80.0,"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate"
26,cysB-2,M00300,9.097894499636963e-08,4.5489472498184815e-06,1.0,0.05,0.09523809523809523,4.0,4.0,80.0,
27,cysB-2,M00019,1.824201516094936e-07,7.818006497549725e-06,0.5555555555555556,0.0625,0.11235955056179775,5.0,9.0,80.0,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"
28,cysB-2,M00577,4.487717231425939e-07,1.3463151694277817e-05,0.8,0.05,0.09411764705882354,4.0,5.0,80.0,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin"
29,cysB-2,M00573,4.487717231425939e-07,1.3463151694277817e-05,0.8,0.05,0.09411764705882354,4.0,5.0,80.0,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin"
30,cysB-2,M00123,4.487717231425939e-07,1.3463151694277817e-05,0.8,0.05,0.09411764705882354,4.0,5.0,80.0,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"
31,cysB-2,M00570,6.505056029723095e-07,1.7741061899244805e-05,0.45454545454545453,0.0625,0.10989010989010987,5.0,11.0,80.0,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine"
32,cysB-2,M00535,5.3382191362897005e-06,0.00012318967237591615,1.0,0.0375,0.07228915662650602,3.0,3.0,80.0,"Isoleucine biosynthesis, pyruvate => 2-oxobutanoate"
33,cysB-2,M00208,5.3382191362897005e-06,0.00012318967237591615,1.0,0.0375,0.07228915662650602,3.0,3.0,80.0,
34,cysB-2,M00017,1.0712905536156645e-05,0.00022956226148907095,0.4444444444444444,0.05,0.08988764044943821,4.0,9.0,80.0,"Methionine biosynthesis, apartate => homoserine => methionine"
35,cysB-2,M00127,5.202669169010466e-05,0.0009755004691894624,0.6,0.0375,0.07058823529411765,3.0,5.0,80.0,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP"
36,cysB-2,M00028,5.202669169010466e-05,0.0009755004691894624,0.6,0.0375,0.07058823529411765,3.0,5.0,80.0,"Ornithine biosynthesis, glutamate => ornithine"
37,cysB-2,M00238,0.00010272518299507436,0.0018127973469719008,0.5,0.0375,0.06976744186046512,3.0,6.0,80.0,
38,cysB-2,M00596,0.00030927451636762206,0.0051545752727937015,1.0,0.025,0.04878048780487806,2.0,2.0,80.0,"Dissimilatory sulfate reduction, sulfate => H2S"
39,cysB-2,M00844,0.0018132142819546283,0.027198214229319426,0.5,0.025,0.047619047619047616,2.0,4.0,80.0,"Arginine biosynthesis, ornithine => arginine"
40,cysB-2,M00029,0.0018132142819546283,0.027198214229319426,0.5,0.025,0.047619047619047616,2.0,4.0,80.0,Urea cycle
41,cysB-2,M00845,0.002987339342100119,0.04267627631571598,0.4,0.025,0.04705882352941177,2.0,5.0,80.0,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
42,cysB-2,M00018,0.004429646421670978,0.06040426938642243,0.3333333333333333,0.025,0.046511627906976744,2.0,6.0,80.0,"Threonine biosynthesis, aspartate => homoserine => threonine"
43,crp,M00214,2.1285304151082405e-07,6.385591245324721e-05,1.0,0.10714285714285714,0.19354838709677416,3.0,3.0,28.0,
44,crp,M00194,8.478787490192804e-07,0.00012718181235289207,0.75,0.10714285714285714,0.1875,3.0,4.0,28.0,
45,crp,M00283,1.1674524911697486e-05,0.0011674524911697486,0.375,0.10714285714285714,0.16666666666666666,3.0,8.0,28.0,
46,crp,M00550,0.00011292836778638251,0.008469627583978689,0.1875,0.10714285714285714,0.13636363636363635,3.0,16.0,28.0,"Ascorbate degradation, ascorbate => D-xylulose-5P"
