,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,pathway_name
0,dpiA,map02020,4.5190338043638504e-05,0.009715922679382278,0.018518518518518517,1.0,0.03636363636363636,3.0,162.0,3.0,Two-component system
1,2,map03070,4.031752331030619e-10,4.3341337558579155e-08,0.2857142857142857,0.11764705882352941,0.16666666666666666,10.0,35.0,85.0,Bacterial secretion system
2,2,map05132,3.053580434015232e-10,4.3341337558579155e-08,0.36,0.10588235294117647,0.16363636363636364,9.0,25.0,85.0,Salmonella infection
3,zur,map03010,0.00020380739814537108,0.04381859060125478,0.09523809523809523,0.4,0.15384615384615385,2.0,21.0,5.0,Ribosome
4,glpR,map00564,0.0002533394825513876,0.054467988748548336,0.06666666666666667,0.5,0.11764705882352941,2.0,30.0,4.0,Glycerophospholipid metabolism
5,13,map02010,0.00014836731334253513,0.03189897236864506,0.03550295857988166,0.2608695652173913,0.0625,6.0,169.0,23.0,ABC transporters
6,cysB-1,map00920,9.433488726876416e-11,2.0282000762784293e-08,0.1794871794871795,0.3684210526315789,0.2413793103448276,7.0,39.0,19.0,Sulfur metabolism
7,cysB-1,map02010,3.106471875838358e-06,0.0003339457266526235,0.04142011834319527,0.3684210526315789,0.07446808510638299,7.0,169.0,19.0,ABC transporters
8,narL,map00910,3.493593464080719e-13,7.511225947773547e-11,0.4090909090909091,0.1875,0.2571428571428571,9.0,22.0,48.0,Nitrogen metabolism
9,narL,map00920,2.6005168025427386e-06,0.0002795555562733444,0.15384615384615385,0.125,0.13793103448275862,6.0,39.0,48.0,Sulfur metabolism
10,narL,map00230,1.215940266829379e-05,0.0008714238578943883,0.09210526315789473,0.14583333333333334,0.11290322580645162,7.0,76.0,48.0,Purine metabolism
11,narL,map01120,0.00021852463453329358,0.01174569910616453,0.040160642570281124,0.20833333333333334,0.06734006734006734,10.0,249.0,48.0,Microbial metabolism in diverse environments
12,fur,map01053,1.5155354436139498e-11,3.258401203769992e-09,0.8571428571428571,0.1111111111111111,0.19672131147540986,6.0,7.0,54.0,Biosynthesis of siderophore group nonribosomal peptides
13,fur,map02010,4.406228317605782e-07,4.7366954414262154e-05,0.07100591715976332,0.2222222222222222,0.10762331838565023,12.0,169.0,54.0,ABC transporters
14,nanR,map00640,1.2370021028669024e-07,2.65955452116384e-05,0.2222222222222222,0.10126582278481013,0.1391304347826087,8.0,36.0,79.0,Propanoate metabolism
15,nanR,map00053,3.7719213236554434e-05,0.004054815422929602,0.21739130434782608,0.06329113924050633,0.09803921568627452,5.0,23.0,79.0,Ascorbate and aldarate metabolism
16,23,map05100,1.2133593395879685e-11,2.6087225801141323e-09,0.7777777777777778,0.08974358974358974,0.16091954022988506,7.0,9.0,78.0,Bacterial invasion of epithelial cells
17,23,map05131,1.3442507979471133e-09,1.4450696077931467e-07,1.0,0.0641025641025641,0.12048192771084336,5.0,5.0,78.0,Shigellosis
18,23,map02040,9.216919973923644e-09,6.605459314645278e-07,0.23684210526315788,0.11538461538461539,0.15517241379310345,9.0,38.0,78.0,Flagellar assembly
19,23,map05132,1.2980457229041957e-07,6.976995760610052e-06,0.28,0.08974358974358974,0.13592233009708737,7.0,25.0,78.0,Salmonella infection
20,cysB-2,map01230,1.2689376904784482e-19,2.728216034528664e-17,0.1951219512195122,0.3,0.23645320197044334,24.0,123.0,80.0,Biosynthesis of amino acids
21,cysB-2,map02010,1.5571669738811548e-18,1.6739544969222414e-16,0.15384615384615385,0.325,0.20883534136546186,26.0,169.0,80.0,ABC transporters
22,cysB-2,map01210,5.25732048163196e-17,3.7677463451695716e-15,0.5,0.1625,0.24528301886792456,13.0,26.0,80.0,2-Oxocarboxylic acid metabolism
23,cysB-2,map01100,1.124057497847794e-15,6.041809050931893e-14,0.06169296987087518,0.5375,0.11068211068211069,43.0,697.0,80.0,Metabolic pathways
24,cysB-2,map00920,3.4255529170526744e-14,1.47298775433265e-12,0.3333333333333333,0.1625,0.2184873949579832,13.0,39.0,80.0,Sulfur metabolism
25,cysB-2,map00290,2.3314873726961092e-12,8.354496418827725e-11,0.5294117647058824,0.1125,0.18556701030927836,9.0,17.0,80.0,"Valine, leucine and isoleucine biosynthesis"
26,cysB-2,map01130,2.061326400941027e-10,6.3312168028902975e-09,0.0966183574879227,0.25,0.13937282229965156,20.0,207.0,80.0,
27,cysB-2,map01110,8.044932187890748e-10,2.1620755254956388e-08,0.07641196013289037,0.2875,0.12073490813648294,23.0,301.0,80.0,Biosynthesis of secondary metabolites
28,cysB-2,map00730,6.81757734673306e-08,1.62864347727512e-06,0.42857142857142855,0.075,0.1276595744680851,6.0,14.0,80.0,Thiamine metabolism
29,cysB-2,map00220,3.9828507878918927e-07,8.563129193967569e-06,0.3333333333333333,0.075,0.12244897959183673,6.0,18.0,80.0,Arginine biosynthesis
30,cysB-2,map00660,1.099739044688521e-06,2.149489950982109e-05,0.4166666666666667,0.0625,0.10869565217391304,5.0,12.0,80.0,C5-Branched dibasic acid metabolism
31,cysB-2,map00780,2.7036057962070162e-06,4.843960384870904e-05,0.35714285714285715,0.0625,0.10638297872340426,5.0,14.0,80.0,Biotin metabolism
32,cysB-2,map00261,6.032689809698104e-06,9.977140839116095e-05,0.5,0.05,0.09090909090909091,4.0,8.0,80.0,Monobactam biosynthesis
33,cysB-2,map00270,1.922766709685477e-05,0.000295282030415984,0.18181818181818182,0.075,0.10619469026548671,6.0,33.0,80.0,Cysteine and methionine metabolism
34,cysB-2,map00770,4.995355727703706e-05,0.0007160009876375312,0.20833333333333334,0.0625,0.09615384615384615,5.0,24.0,80.0,Pantothenate and CoA biosynthesis
35,cysB-2,map01120,0.00035894741603287946,0.004823355902941817,0.05220883534136546,0.1625,0.07902735562310029,13.0,249.0,80.0,Microbial metabolism in diverse environments
36,cysB-2,map02024,0.0005424517119586134,0.006860418710064816,0.1016949152542373,0.075,0.08633093525179855,6.0,59.0,80.0,Quorum sensing
37,cysB-2,map00450,0.00208267893477296,0.02487644283201036,0.2,0.0375,0.0631578947368421,3.0,15.0,80.0,Selenocompound metabolism
38,cysB-2,map00250,0.002243222382471916,0.025383832222708524,0.125,0.05,0.07142857142857144,4.0,32.0,80.0,"Alanine, aspartate and glutamate metabolism"
39,cysB-2,map00260,0.0025186715698812816,0.027075719376223776,0.12121212121212122,0.05,0.07079646017699116,4.0,33.0,80.0,"Glycine, serine and threonine metabolism"
40,cysB-2,map00910,0.006448243115159139,0.06601772713139119,0.13636363636363635,0.0375,0.0588235294117647,3.0,22.0,80.0,Nitrogen metabolism
41,crp,map00053,0.00034690616914111384,0.033964523995809445,0.13043478260869565,0.10714285714285714,0.11764705882352941,3.0,23.0,28.0,Ascorbate and aldarate metabolism
42,crp,map02010,0.00047392359063920156,0.033964523995809445,0.03550295857988166,0.21428571428571427,0.060913705583756354,6.0,169.0,28.0,ABC transporters
43,crp,map02030,0.00034690616914111384,0.033964523995809445,0.13043478260869565,0.10714285714285714,0.11764705882352941,3.0,23.0,28.0,Bacterial chemotaxis
