Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX339069	9242239	36577	415769	8784421	0	0	0	0	2358	0	0	0	0	1908	1120	86	0.3957590795909952	9242239.0	457818.0	4.95	8784421.0	95.05	ERX339069_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9242239.0	0.0	20-75	54.0	49.88212859245732	73.23365474534904	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass		9420541	3018747	9420541	706540575	16308504	685748291	2.942829433398075	0.1096	0.0947	0.7957		
ERX339070	12330309	4160	91676	11626270	0	0	0	0	3304	0	0	0	0	604241	648	10	0.03373800283512765	12330309.0	704039.0	5.71	11626270.0	94.29	ERX339070_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12330309.0	0.0	20-75	54.0	47.2189261218983	73.15397562218432	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass		12603207	3934273	12603207	945240525	10175009	929102487	1.707294341829028	0.1041	0.0283	0.8676		
ERX339085	5178318	31469	209734	4931840	0	0	0	0	426	0	0	0	0	3837	622	390	0.6077069813016505	5178318.0	246478.0	4.76	4931840.0	95.24	ERX339085_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5178318.0	0.0	20-75	55.0	54.030120681695536	73.31326851691999	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass		5246931	1651483	5246931	393519825	2147841	389095185	1.1243753729561148	0.1019	0.1593	0.7388		
ERX339086	6633285	45081	236880	6301942	0	0	0	0	596	0	0	0	0	47318	1006	462	0.6796180173172116	6633285.0	331343.0	5.0	6301942.0	95.0	ERX339086_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6633285.0	0.0	20-75	55.0	52.13184545202205	73.06007536235816	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass		6777109	2248217	6777109	508283175	14569729	490682264	3.462815978514339	0.0992	0.1995	0.7013		
SRX3471973	32685554	3444845	5878052	21908803	0	0	0	0	0	0	0	0	0	1132067	316239	5548	10.539350197337944	32685554.0	10776751.0	32.97	21908803.0	67.03	SRX3471973_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32685554.0	0.0	20-100	40.0	22.8199466067188	85.96151975885127	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	32691810	25791243	32691810	3269181000	413344241	2828827146	13.469852357517068			0.2958	0.6669	0.0374
SRX3471974	41398121	1409036	7867190	30897063	0	0	0	0	0	0	0	0	0	1035118	186485	3229	3.4036230774821883	41398121.0	10501058.0	25.37	30897063.0	74.63	SRX3471974_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41398121.0	0.0	20-100	41.0	13.868011010961665	86.00441445156412	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	41405375	35249271	41405375	4140537500	518119809	3586143717	13.38941581859843			0.2299	0.741	0.0291
SRX3471975	30721777	1325014	5183262	23314477	0	0	0	0	0	0	0	0	0	724922	171876	2226	4.312947131931853	30721777.0	7407300.0	24.11	23314477.0	75.89	SRX3471975_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30721777.0	0.0	20-100	40.0	18.891156947208408	83.13847730878328	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	pass	30725579	26420276	30725579	3072557900	472571741	2572696983	16.268559723479907			0.2684	0.7019	0.0298
SRX3471976	28736200	1829964	2568572	22742905	0	0	0	0	0	0	0	0	0	1313519	279560	1680	6.368148885378026	28736200.0	5993295.0	20.86	22742905.0	79.14	SRX3471976_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28736200.0	0.0	20-100	39.0	20.637340059250878	82.12158858860948	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	28745565	24417844	28745565	2874556500	472195697	2377166579	17.303188196161738			0.268	0.6388	0.0932
SRX3471977	41543676	2178303	4022834	30240269	0	0	0	0	0	0	0	0	0	4362833	733198	6239	5.243404555725882	41543676.0	11303407.0	27.21	30240269.0	72.79	SRX3471977_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41543676.0	0.0	20-100	39.0	10.430731430377323	87.79186213564729	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	41561187	34087022	41561187	4156118700	446200023	3674357614	11.591610364737658			0.2507	0.5869	0.1624
SRX3471978	28311241	2352933	2018904	18824178	0	0	0	0	0	0	0	0	0	4084770	1022230	8226	8.310949703688369	28311241.0	9487063.0	33.51	18824178.0	66.49	SRX3471978_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28311241.0	0.0	20-100	41.0	11.041260383685133	88.73240131013685	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	28321340	21970915	28321340	2832134000	279815558	2529178566	10.697072737377539			0.2948	0.5604	0.1448
