,gene_id,database,kegg_id
2888,PSLT009,KEGG_pathway,map02020
2898,STM0002,KEGG_pathway,map00260
2899,STM0002,KEGG_pathway,map00261
2900,STM0002,KEGG_pathway,map00270
2901,STM0002,KEGG_pathway,map00300
2902,STM0002,KEGG_pathway,map01100
2903,STM0002,KEGG_pathway,map01110
2904,STM0002,KEGG_pathway,map01120
2905,STM0002,KEGG_pathway,map01130
2906,STM0002,KEGG_pathway,map01230
2912,STM0003,KEGG_pathway,map00260
2913,STM0003,KEGG_pathway,map01100
2914,STM0003,KEGG_pathway,map01110
2915,STM0003,KEGG_pathway,map01120
2916,STM0003,KEGG_pathway,map01230
2923,STM0004,KEGG_pathway,map00260
2924,STM0004,KEGG_pathway,map00750
2925,STM0004,KEGG_pathway,map01100
2926,STM0004,KEGG_pathway,map01110
2927,STM0004,KEGG_pathway,map01120
2928,STM0004,KEGG_pathway,map01230
2936,STM0007,KEGG_pathway,map00030
2937,STM0007,KEGG_pathway,map01100
2938,STM0007,KEGG_pathway,map01110
2939,STM0007,KEGG_pathway,map01120
2940,STM0007,KEGG_pathway,map01130
2941,STM0007,KEGG_pathway,map01200
2942,STM0007,KEGG_pathway,map01230
2946,STM0008,KEGG_pathway,map00790
2947,STM0008,KEGG_pathway,map01100
2948,STM0008,KEGG_pathway,map04122
2952,STM0012,KEGG_pathway,map03018
2953,STM0012,KEGG_pathway,map04212
2954,STM0012,KEGG_pathway,map05152
2956,STM0023,KEGG_pathway,map05133
2960,STM0045,KEGG_pathway,map00740
2961,STM0045,KEGG_pathway,map01100
2962,STM0045,KEGG_pathway,map01110
2964,STM0046,KEGG_pathway,map00970
2966,STM0047,KEGG_pathway,map03060
2971,STM0049,KEGG_pathway,map00900
2972,STM0049,KEGG_pathway,map01100
2973,STM0049,KEGG_pathway,map01110
2974,STM0049,KEGG_pathway,map01130
2976,STM0052,KEGG_pathway,map02020
2978,STM0053,KEGG_pathway,map02020
2981,STM0055,KEGG_pathway,map00620
