,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
ERX3467881,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3445882,ERP116419,PRJEB33612,573440,ERS3589452,SAMEA5800835,ERA2043114,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065290,,,31589608.0,12810796,LT2,nusG under control of arabinose-inducible repressor,NC_003197.2;NC_003277.2,nusG,WT_OD08,WT_OD08,WT,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,WT,,1.0,1.0,nusg_wt_OD08_1,,,True,True,True,nusG:WT_OD08,True,True
ERX3467883,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3445884,ERP116419,PRJEB33612,573440,ERS3589454,SAMEA5800837,ERA2043114,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065292,,,31589608.0,12810798,LT2,nusG under control of arabinose-inducible repressor,NC_003197.2;NC_003277.2,nusG,WT_OD08,WT_OD08,WT,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,WT,,2.0,1.0,nusg_wt_OD08_2,,,True,True,True,nusG:WT_OD08,True,True
ERX3503512,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3481977,ERP116860,PRJEB34015,573444,ERS3655420,SAMEA5866928,ERA2091469,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065299,,,31589608.0,12810802,LT2,wild type genotype,NC_003197.2;NC_003277.2,Rho,WT,WT,WT,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,,1.0,1.0,rho_wt_1,,,True,True,True,Rho:WT,True,True
ERX3503513,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3481978,ERP116860,PRJEB34015,573444,ERS3655421,SAMEA5866929,ERA2091469,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065300,,,31589608.0,12810803,LT2,wild type genotype,NC_003197.2;NC_003277.2,Rho,WT,WT,WT,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,,2.0,1.0,rho_wt_2,,,True,True,True,Rho:WT,True,True
ERX3503514,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3481979,ERP116860,PRJEB34015,573444,ERS3655422,SAMEA5866930,ERA2091469,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065301,,,31589608.0,12810804,LT2,wild type genotype,NC_003197.2;NC_003277.2,Rho,WT,WT,WT,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,,3.0,1.0,rho_wt_3,,,True,True,True,Rho:WT,True,True
ERX3503515,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3481980,ERP116860,PRJEB34015,573444,ERS3655423,SAMEA5866931,ERA2091469,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065302,,,31589608.0,12810805,LT2,rho Y80C,NC_003197.2;NC_003277.2,Rho,rho_Y80C,WT,rho_Y80C,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,,1.0,1.0,rho_y80c_1,,,True,True,True,Rho:rho_Y80C,True,True
ERX3503516,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3481981,ERP116860,PRJEB34015,573444,ERS3655424,SAMEA5866932,ERA2091469,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065303,,,31589608.0,12810806,LT2,rho Y80C,NC_003197.2;NC_003277.2,Rho,rho_Y80C,WT,rho_Y80C,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,,2.0,1.0,rho_y80c_2,,,True,True,True,Rho:rho_Y80C,True,True
ERX3503517,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3481982,ERP116860,PRJEB34015,573444,ERS3655425,SAMEA5866933,ERA2091469,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065304,,,31589608.0,12810807,LT2,rho Y80C,NC_003197.2;NC_003277.2,Rho,rho_Y80C,WT,rho_Y80C,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,,3.0,1.0,rho_y80c_3,,,True,True,True,Rho:rho_Y80C,True,True
ERX3503518,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3481983,ERP116860,PRJEB34015,573444,ERS3655426,SAMEA5866934,ERA2091469,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065305,,,31589608.0,12810808,LT2,rho K130Q,NC_003197.2;NC_003277.2,Rho,rho_K130Q,WT,rho_K130Q,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,,1.0,1.0,rho_k130q_1,,,True,True,True,Rho:rho_K130Q,True,True
ERX3503519,9/23/19 10:41,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina MiSeq,ERR3481984,ERP116860,PRJEB34015,573444,ERS3655427,SAMEA5866935,ERA2091469,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"L. Bossi, N. Figueroa-Bossi",400,10,9065306,,,31589608.0,12810809,LT2,rho K130Q,NC_003197.2;NC_003277.2,Rho,rho_K130Q,WT,rho_K130Q,LB,,,Aerobic,,37C,,,0.8,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,,,,2.0,1.0,rho_k130q_2,,,True,True,True,Rho:rho_K130Q,True,True
