,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,module_name
0,2,M00194,5.787494208886687e-07,0.00017304607684571195,0.5,1.0,0.6666666666666666,2.0,4.0,2.0,
1,2,M00200,0.0004391743522201409,0.026262626262764426,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,
2,2,M00204,0.0004391743522201409,0.026262626262764426,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,
3,2,M00207,0.0004391743522201409,0.026262626262764426,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,
4,2,M00491,0.0004391743522201409,0.026262626262764426,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,
5,fur,M00240,9.191530975534265e-13,2.7482677616847453e-10,0.7,0.14893617021276595,0.24561403508771928,7.0,10.0,47.0,
6,fur,M00317,9.966005313827591e-09,1.4899177944172248e-06,1.0,0.0851063829787234,0.1568627450980392,4.0,4.0,47.0,
7,7,M00259,4.113900812747525e-06,0.00123005634301151,0.5,0.10714285714285714,0.17647058823529413,3.0,6.0,28.0,
8,nanR,M00276,7.327143535201618e-05,0.02190815917025284,0.5,0.041666666666666664,0.07692307692307693,3.0,6.0,72.0,
9,nanR,M00711,0.00024654725329819325,0.03685881436807989,1.0,0.027777777777777776,0.05405405405405406,2.0,2.0,72.0,
10,cysB,M00176,8.17520806018517e-15,2.444387209995366e-12,1.0,0.2608695652173913,0.41379310344827586,6.0,6.0,23.0,"Assimilatory sulfate reduction, sulfate => H2S"
11,cysB,M00185,2.066056748102183e-12,3.0887548384127637e-10,1.0,0.21739130434782608,0.3571428571428571,5.0,5.0,23.0,
12,cysB,M00123,1.118431439506563e-06,6.688220008249247e-05,0.6,0.13043478260869565,0.21428571428571427,3.0,5.0,23.0,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"
13,cysB,M00573,1.118431439506563e-06,6.688220008249247e-05,0.6,0.13043478260869565,0.21428571428571427,3.0,5.0,23.0,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin"
14,cysB,M00577,1.118431439506563e-06,6.688220008249247e-05,0.6,0.13043478260869565,0.21428571428571427,3.0,5.0,23.0,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin"
15,cysB,M00596,2.4403933914196577e-05,0.001216129373390796,1.0,0.08695652173913043,0.16,2.0,2.0,23.0,"Dissimilatory sulfate reduction, sulfate => H2S"
16,cysB,M00021,0.00014552441535683512,0.006215971455956243,0.5,0.08695652173913043,0.14814814814814817,2.0,4.0,23.0,"Cysteine biosynthesis, serine => cysteine"
17,cysB,M00115,0.000241795071301806,0.009037090789905,0.4,0.08695652173913043,0.14285714285714285,2.0,5.0,23.0,"NAD biosynthesis, aspartate => quinolinate => NAD"
18,14,M00332,1.0055036017748622e-16,3.0064557693068383e-14,0.7857142857142857,0.1111111111111111,0.19469026548672566,11.0,14.0,99.0,
19,14,M00542,4.0330316021262386e-15,6.029382245178727e-13,0.7692307692307693,0.10101010101010101,0.17857142857142855,10.0,13.0,99.0,"EHEC/EPEC pathogenicity signature, T3SS and effectors"
20,14,M00660,1.6299428692242886e-12,1.6245097263268743e-10,0.8,0.08080808080808081,0.1467889908256881,8.0,10.0,99.0,"Xanthomonas spp. pathogenicity signature, T3SS and effectors"
21,14,M00194,2.103315741277506e-07,1.5722285166049357e-05,1.0,0.04040404040404041,0.07766990291262137,4.0,4.0,99.0,
22,14,M00239,1.0340917171971311e-06,6.183868468838845e-05,0.8,0.04040404040404041,0.07692307692307693,4.0,5.0,99.0,
23,14,M00208,9.971031185944225e-06,0.0004968897207662205,1.0,0.030303030303030304,0.05882352941176471,3.0,3.0,99.0,
24,14,M00663,0.00046791890679079507,0.019986821875778247,1.0,0.020202020202020204,0.03960396039603961,2.0,2.0,99.0,
25,fnr-1,M00178,1.5443991197419056e-06,0.0004617753368028298,0.19047619047619047,0.2,0.1951219512195122,4.0,21.0,20.0,
26,cdaR,M00283,2.4734752924858403e-05,0.007395691124532663,0.375,0.08333333333333333,0.13636363636363638,3.0,8.0,36.0,
27,cdaR,M00550,0.00023680571585922328,0.035402454520953884,0.1875,0.08333333333333333,0.11538461538461539,3.0,16.0,36.0,"Ascorbate degradation, ascorbate => D-xylulose-5P"
28,appY,M00307,0.00014289923311106242,0.04272687070020766,0.6666666666666666,0.0625,0.11428571428571428,2.0,3.0,32.0,"Pyruvate oxidation, pyruvate => acetyl-CoA"
29,lsrR,M00219,1.8438492717581325e-11,5.513109322556816e-09,1.0,0.36363636363636365,0.5333333333333333,4.0,4.0,11.0,
30,lsrR,M00283,0.00014737476030453163,0.02203252666552748,0.25,0.18181818181818182,0.2105263157894737,2.0,8.0,11.0,
31,lsrR,M00550,0.0006249766417709616,0.062289338629839174,0.125,0.18181818181818182,0.14814814814814814,2.0,16.0,11.0,"Ascorbate degradation, ascorbate => D-xylulose-5P"
32,flhD;flhC,M00026,2.9688323992998875e-13,8.876808873906663e-11,0.875,0.1206896551724138,0.21212121212121213,7.0,8.0,58.0,"Histidine biosynthesis, PRPP => histidine"
33,flhD;flhC,M00149,0.0009410515619061624,0.09379147233664752,0.5,0.034482758620689655,0.06451612903225806,2.0,4.0,58.0,"Succinate dehydrogenase, prokaryotes"
34,flhD;flhC,M00610,0.0009410515619061624,0.09379147233664752,0.5,0.034482758620689655,0.06451612903225806,2.0,4.0,58.0,
35,fliA,M00506,1.3962967667054455e-08,4.1749273324492825e-06,1.0,0.0784313725490196,0.14545454545454545,4.0,4.0,51.0,
36,birA,M00123,1.4548140955591675e-08,1.4499647152406369e-06,0.8,0.11428571428571428,0.19999999999999998,4.0,5.0,35.0,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"
37,birA,M00573,1.4548140955591675e-08,1.4499647152406369e-06,0.8,0.11428571428571428,0.19999999999999998,4.0,5.0,35.0,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin"
38,birA,M00577,1.4548140955591675e-08,1.4499647152406369e-06,0.8,0.11428571428571428,0.19999999999999998,4.0,5.0,35.0,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin"
39,birA,M00051,3.3859098169114916e-05,0.00253096758814134,0.3333333333333333,0.08571428571428572,0.13636363636363638,3.0,9.0,35.0,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
40,birA,M00150,0.0003410361101292522,0.02039395938572928,0.5,0.05714285714285714,0.10256410256410256,2.0,4.0,35.0,"Fumarate reductase, prokaryotes"
41,birA,M00017,0.0019973312962302584,0.09953367626214121,0.2222222222222222,0.05714285714285714,0.0909090909090909,2.0,9.0,35.0,"Methionine biosynthesis, aspartate => homoserine => methionine"
42,fnr-2,M00530,0.0001504291949940474,0.044978329303220176,0.2727272727272727,0.06521739130434782,0.10526315789473684,3.0,11.0,46.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
43,fnr-2,M00150,0.0005913129547402438,0.08840128673366644,0.5,0.043478260869565216,0.08,2.0,4.0,46.0,"Fumarate reductase, prokaryotes"
44,39,M00189,1.3809417941584184e-10,4.129015964533671e-08,0.8,0.3333333333333333,0.47058823529411764,4.0,5.0,12.0,
45,39,M00240,1.6609206016175566e-06,0.00024830762994182474,0.3,0.25,0.2727272727272727,3.0,10.0,12.0,
46,40,M00237,6.480469719807308e-05,0.01937660446222385,0.3333333333333333,0.2,0.25,2.0,6.0,10.0,
47,41,M00222,0.00020165642958643856,0.06029527244634513,0.5,0.07407407407407407,0.12903225806451613,2.0,4.0,27.0,
