,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,pathway_name
0,1,map00730,0.0003121307762059594,0.06710811688428127,0.14285714285714285,0.2222222222222222,0.17391304347826086,2.0,14.0,9.0,Thiamine metabolism
1,fur,map01053,6.040052267247256e-12,1.29861123745816e-09,0.8571428571428571,0.1276595744680851,0.2222222222222222,6.0,7.0,47.0,Biosynthesis of siderophore group nonribosomal peptides
2,fur,map02010,1.0119335975178697e-07,1.0878286173317099e-05,0.06936416184971098,0.2553191489361702,0.10909090909090907,12.0,173.0,47.0,ABC transporters
3,lrp,map00330,1.5086504456457117e-05,0.0032435984581382802,0.21739130434782608,0.07575757575757576,0.11235955056179775,5.0,23.0,66.0,Arginine and proline metabolism
4,nanR,map00520,0.00014499552594087357,0.031174038077287816,0.11538461538461539,0.08333333333333333,0.0967741935483871,6.0,52.0,72.0,Amino sugar and nucleotide sugar metabolism
5,cysB,map00920,1.5402209662060062e-22,3.3114750773429134e-20,0.3333333333333333,0.5652173913043478,0.4193548387096774,13.0,39.0,23.0,Sulfur metabolism
6,cysB,map01100,5.85755895840005e-06,0.0006296875880280054,0.018651362984218076,0.5652173913043478,0.03611111111111111,13.0,697.0,23.0,Metabolic pathways
7,cysB,map01120,1.7604228228242253e-05,0.0012616363563573616,0.032,0.34782608695652173,0.05860805860805861,8.0,250.0,23.0,Microbial metabolism in diverse environments
8,cysB,map00780,3.951938610354849e-05,0.0021241670030657314,0.21428571428571427,0.13043478260869565,0.16216216216216214,3.0,14.0,23.0,Biotin metabolism
9,cysB,map02010,0.00016227558039921797,0.006977849957166373,0.03468208092485549,0.2608695652173913,0.06122448979591836,6.0,173.0,23.0,ABC transporters
10,cysB,map00261,0.0006708041748416019,0.024037149598490737,0.25,0.08695652173913043,0.12903225806451613,2.0,8.0,23.0,Monobactam biosynthesis
11,cysB,map00450,0.002461963025799761,0.07561743579242124,0.13333333333333333,0.08695652173913043,0.10526315789473685,2.0,15.0,23.0,Selenocompound metabolism
12,14,map03070,1.74310488853379e-09,1.8738377551738242e-07,0.2857142857142857,0.10101010101010101,0.14925373134328357,10.0,35.0,99.0,Bacterial secretion system
13,14,map05132,1.1514922472941336e-09,1.8738377551738242e-07,0.36,0.09090909090909091,0.14516129032258066,9.0,25.0,99.0,Salmonella infection
14,fnr-1,map03010,1.5443991197419056e-06,0.0003320458107445097,0.19047619047619047,0.2,0.1951219512195122,4.0,21.0,20.0,Ribosome
15,cdaR,map00053,1.445956077764273e-08,3.108805567193187e-06,0.2608695652173913,0.16666666666666666,0.20338983050847456,6.0,23.0,36.0,Ascorbate and aldarate metabolism
16,cdaR,map00561,7.169795318057314e-05,0.005138353311274408,0.2727272727272727,0.08333333333333333,0.1276595744680851,3.0,11.0,36.0,Glycerolipid metabolism
17,cdaR,map03320,6.076868919371602e-05,0.005138353311274408,1.0,0.05555555555555555,0.10526315789473684,2.0,2.0,36.0,PPAR signaling pathway
18,cdaR,map02060,0.0009018791265659965,0.04847600305292231,0.07142857142857142,0.1111111111111111,0.08695652173913043,4.0,56.0,36.0,Phosphotransferase system (PTS)
19,cdaR,map00630,0.0012978709184920552,0.055808449495158376,0.10714285714285714,0.08333333333333333,0.09375,3.0,28.0,36.0,Glyoxylate and dicarboxylate metabolism
20,lsrR,map02024,1.4416266859187718e-09,3.0994973747253596e-07,0.10344827586206896,0.5454545454545454,0.17391304347826086,6.0,58.0,11.0,Quorum sensing
21,lsrR,map02010,0.0005384448393441559,0.05788282022949676,0.023121387283236993,0.36363636363636365,0.043478260869565216,4.0,173.0,11.0,ABC transporters
22,lsrR,map00053,0.0013055496469026537,0.09356439136135684,0.08695652173913043,0.18181818181818182,0.1176470588235294,2.0,23.0,11.0,Ascorbate and aldarate metabolism
23,dpiA,map02020,9.090992096043219e-13,1.954563300649292e-10,0.06748466257668712,0.6470588235294118,0.12222222222222223,11.0,163.0,17.0,Two-component system
24,flhD;flhC,map02040,2.369893574010726e-16,5.095271184123061e-14,0.34210526315789475,0.22413793103448276,0.2708333333333333,13.0,38.0,58.0,Flagellar assembly
