Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	GEO Series	GEO Sample	PMID	Biosample ID	biosample_strain	biosample_genotype	reference_sequence	project_name	condition_name	reference_condition	strain_description	base_media	carbon_source	nitrogen_source	aerobicity	supplement	temperature	pH	growth_phase	OD	additional_notes	ScientificName_curated	Host	Knockout	Other_available_omics	Biological_replicate	Technical_replicate	SampleID	R1	R2
ERX1409475	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337889	ERP014698	PRJEB13158	329399	ERS1094615	SAMEA3907481	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812751				5411407	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409472	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337886	ERP014698	PRJEB13158	329399	ERS1094612	SAMEA3907478	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812748				5411404	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409471	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337885	ERP014698	PRJEB13158	329399	ERS1094611	SAMEA3907477	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812747				5411403	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409477	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337891	ERP014698	PRJEB13158	329399	ERS1094617	SAMEA3907483	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812753				5411409	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409484	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 1500	ERR1337880	ERP014698	PRJEB13158	329399	ERS1094624	SAMEA3907490	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	0	0	2812760				5411416	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409480	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 1500	ERR1337876	ERP014698	PRJEB13158	329399	ERS1094620	SAMEA3907486	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	0	0	2812756				5411412	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409485	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 1500	ERR1337881	ERP014698	PRJEB13158	329399	ERS1094625	SAMEA3907491	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	0	0	2812761				5411417	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409468	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337882	ERP014698	PRJEB13158	329399	ERS1094608	SAMEA3907474	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812744				5411400	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409476	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1337890	ERP014698	PRJEB13158	329399	ERS1094616	SAMEA3907482	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	101	50	2812752				5411408	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
ERX1409483	7/16/16 8:45	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	28901	1236	99287	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 1500	ERR1337879	ERP014698	PRJEB13158	329399	ERS1094623	SAMEA3907489	ERA589098	RNA-Seq	cDNA	TRANSCRIPTOMIC		Laboratory of Molecular Medicine and Genomics	0	0	2812759				5411415	LT2																	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2								
