	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX1409468	6335391	170448	5667861	458589	0	0	0	0	6220	0	0	0	0	20857	10991	425	2.6904101104414866	6335391.0	5876802.0	92.76	458589.0	7.24	ERX1409468_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6335391.0	0.0	20-101	53.0	12.057777059043586	88.28142572415814	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	6423471	1377519	6423471	648770571	76671518	569364929	12.239402579190047	0.3362	0.3147	0.3491		
ERX1409469	6688885	178878	5969930	500076	0	0	0	0	6680	0	0	0	0	21588	11303	430	2.674257368754284	6688885.0	6188809.0	92.52	500076.0	7.48	ERX1409469_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6688885.0	0.0	20-101	53.0	12.435890950666835	87.96975011530323	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	6778708	1524253	6778708	684649508	78997273	602645918	11.977455477847213	0.3286	0.3347	0.3366		
ERX1409470	6635037	176976	5899342	518784	0	0	0	0	6506	0	0	0	0	21534	11466	429	2.6672948470370246	6635037.0	6116253.0	92.18	518784.0	7.82	ERX1409470_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6635037.0	0.0	20-101	53.0	12.33189064260345	87.53410960632169	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	6741700	2036042	6741700	680911700	91553896	585910798	13.95201492352092	0.3258	0.326	0.3482		
ERX1409471	6788963	174774	6087024	481709	0	0	0	0	5179	0	0	0	0	29046	10845	386	2.5743843352806604	6788963.0	6307254.0	92.9	481709.0	7.1	ERX1409471_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6788963.0	0.0	20-101	54.0	11.176111417037868	87.85199742582188	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	6886827	1462715	6886827	695569527	85633861	607218072	12.702030720215838	0.2814	0.2928	0.4258		
ERX1409472	7107019	181728	6358572	519293	0	0	0	0	5431	0	0	0	0	30263	11345	387	2.5570214459817824	7107019.0	6587726.0	92.69	519293.0	7.31	ERX1409472_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7107019.0	0.0	20-101	54.0	10.936755499158282	88.23778774194919	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	7204779	2170910	7204779	727682679	94843134	629251440	13.526670599782136	0.2899	0.2847	0.4254		
ERX1409473	7045846	179996	6282181	536793	0	0	0	0	5253	0	0	0	0	30198	11031	394	2.554639996389362	7045846.0	6509053.0	92.38	536793.0	7.62	ERX1409473_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7045846.0	0.0	20-101	53.0	12.217565206154285	87.30912909535633	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	7161898	2140029	7161898	723351698	99190968	620647027	14.198441959004011	0.2698	0.2789	0.4513		
ERX1409474	6461695	144692	5861597	420363	0	0	0	0	5943	0	0	0	0	20452	8323	325	2.239226704448291	6461695.0	6041332.0	93.49	420363.0	6.51	ERX1409474_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6461695.0	0.0	20-101	54.0	12.072652550110547	87.67479368803387	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	6556738	1961716	6556738	662230538	87675573	571416998	13.713281823919756	0.2776	0.2701	0.4523		
ERX1409475	6745605	151167	6118167	439470	0	0	0	0	6198	0	0	0	0	21843	8465	295	2.2409702317286593	6745605.0	6306135.0	93.49	439470.0	6.51	ERX1409475_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6745605.0	0.0	20-101	54.0	10.700725645689174	88.10701901460286	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	6841119	1502938	6841119	690953019	83342898	604910310	12.452758238834761	0.28600000000000003	0.2636	0.4504		
ERX1409476	6678915	149592	6040547	452312	0	0	0	0	6043	0	0	0	0	21438	8627	356	2.2397649917688724	6678915.0	6226603.0	93.23	452312.0	6.77	ERX1409476_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6678915.0	0.0	20-101	54.0	12.227555651874894	86.97271787408583	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	6787378	2018955	6787378	685525178	96297871	586023529	14.514660029015012	0.2768	0.2961	0.4272		
ERX1409477	7360355	140242	6685562	496935	0	0	0	0	6075	0	0	0	0	23260	8005	276	1.905370053482475	7360355.0	6863420.0	93.25	496935.0	6.75	ERX1409477_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7360355.0	0.0	20-101	54.0	11.130362337215171	87.83985364836344	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	7468191	1609897	7468191	754287291	94829683	656193120	13.00488184945436	0.2785	0.2714	0.4501		
