,regulator,gene_id,effect
0,FMN,SL1344_3168,-
3,TPP,SL1344_0106,-
4,TPP,SL1344_0107,-
5,TPP,SL1344_0108,-
6,TPP,SL1344_2123,-
7,TPP,SL1344_2124,-
8,TPP,SL1344_4098,-
9,TPP,SL1344_4099,-
10,TPP,SL1344_4101,-
11,TPP,SL1344_4102,-
12,TPP,SL1344_4103,-
13,TPP,SL1344_4100,-
14,acrR,SL1344_0468,-
15,acrR,SL1344_0469,-
16,acrR,SL1344_0470,-
17,acrR,SL1344_1450,-
18,acrR,SL1344_1449,-
19,acrR,SL1344_1448,-
20,acrR,SL1344_1859,-
21,acrR,SL1344_1860,-
22,acrR,SL1344_4201,-
23,acrR,SL1344_4202,-
24,ada,SL1344_2101,+
25,ada,SL1344_2234,+-
26,ada,SL1344_2235,+-
27,ada,SL1344_4310,+
28,adenosylcobalamin,SL1344_4079,-
29,adenosylcobalamin,SL1344_4080,-
32,adiY,SL1344_3302,+
33,adiY,SL1344_3303,+
34,adiY,SL1344_4502,+
37,adiY,SL1344_4233,+
44,alaS,SL1344_2807,-
45,allR,SL1344_0507,-
46,allR,SL1344_0508,-
47,allR,SL1344_0510,-
48,allR,SL1344_0511,-
49,allR,SL1344_0512,-
50,allR,SL1344_0515,-
51,allR,SL1344_0516,-
52,allR,SL1344_0517,-
53,allR,SL1344_0518,-
54,allS,SL1344_0519,+
55,allS,SL1344_0520,+
56,allS,SL1344_0521,+
63,appY,SL1344_1714,+
64,appY,SL1344_1715,+
65,appY,SL1344_1716,+
66,appY,SL1344_1717,+
67,appY,SL1344_1718,+
68,appY,SL1344_1719,+
69,appY,SL1344_1720,+
70,appY,SL1344_1721,+
72,araC,SL1344_0101,+-
73,araC,SL1344_0102,+-
74,araC,SL1344_0103,+-
75,araC,SL1344_0104,+-
76,araC,SL1344_0389,+
78,araC,SL1344_0036,-
81,araC,SL1344_2993,+
82,araC,SL1344_2994,+
83,araC,SL1344_3625,-
84,araC,SL1344_3626,-
87,arcA,SL1344_0002,-
88,arcA,SL1344_0003,-
89,arcA,SL1344_0004,-
90,arcA,SL1344_0044,+
91,arcA,SL1344_0046,+
92,arcA,SL1344_0047,+
93,arcA,SL1344_0048,+
94,arcA,SL1344_0049,+
95,arcA,SL1344_0050,+
96,arcA,SL1344_0067,+
97,arcA,SL1344_0068,+
98,arcA,SL1344_0070,+-
99,arcA,SL1344_0071,+-
100,arcA,SL1344_0072,+-
102,arcA,SL1344_0074,+-
103,arcA,SL1344_0075,+-
104,arcA,SL1344_0110,+
105,arcA,SL1344_0111,+
106,arcA,SL1344_0112,+
107,arcA,SL1344_0113,+
108,arcA,SL1344_0114,+
109,arcA,SL1344_0152,-
110,arcA,SL1344_0153,-
111,arcA,SL1344_0154,-
113,arcA,SL1344_0159,-
114,arcA,SL1344_0305,-
124,arcA,SL1344_1044,-
127,arcA,SL1344_0433,-
128,arcA,SL1344_0434,-
129,arcA,SL1344_0435,-
130,arcA,SL1344_0436,-
131,arcA,SL1344_0437,-
133,arcA,SL1344_0593,+
134,arcA,SL1344_0607,-
135,arcA,SL1344_0608,-
136,arcA,SL1344_0609,-
137,arcA,SL1344_0610,-
138,arcA,SL1344_0611,-
139,arcA,SL1344_0612,-
140,arcA,SL1344_0613,+
141,arcA,SL1344_0614,+
142,arcA,SL1344_0615,+
143,arcA,SL1344_0686,+-
144,arcA,SL1344_0687,+-
145,arcA,SL1344_0688,+-
146,arcA,SL1344_0689,+
147,arcA,SL1344_0712,-
148,arcA,SL1344_0714,+-
149,arcA,SL1344_0715,+-
150,arcA,SL1344_0716,+-
151,arcA,SL1344_0717,+-
152,arcA,SL1344_0718,+-
153,arcA,SL1344_0719,+-
154,arcA,SL1344_0720,+-
155,arcA,SL1344_0721,+-
156,arcA,SL1344_0722,+-
157,arcA,SL1344_0723,+-
158,arcA,SL1344_0777,+
159,arcA,SL1344_0778,-
160,arcA,SL1344_0779,-
161,arcA,SL1344_0780,-
162,arcA,SL1344_0781,-
163,arcA,SL1344_0782,-
166,arcA,SL1344_0817,+-
167,arcA,SL1344_0819,+-
168,arcA,SL1344_0820,+-
170,arcA,SL1344_0821,+
171,arcA,SL1344_0822,+
172,arcA,SL1344_0823,+
173,arcA,SL1344_0824,+
174,arcA,SL1344_0825,+
175,arcA,SL1344_0826,+
176,arcA,SL1344_0827,+
177,arcA,SL1344_0828,+
178,arcA,SL1344_0829,-
179,arcA,SL1344_0854,-
180,arcA,SL1344_0855,-
181,arcA,SL1344_0856,-
182,arcA,SL1344_0857,-
183,arcA,SL1344_0879,+
184,arcA,SL1344_0880,-
185,arcA,SL1344_0881,-
186,arcA,SL1344_0883,-
187,arcA,SL1344_0884,-
189,arcA,SL1344_0891,+
190,arcA,SL1344_0894,+
191,arcA,SL1344_0895,+
192,arcA,SL1344_0910,+-
193,arcA,SL1344_0911,+-
194,arcA,SL1344_0941,+-
195,arcA,SL1344_0997,-
196,arcA,SL1344_1006,+-
197,arcA,SL1344_1025,+-
199,arcA,SL1344_1714,+
200,arcA,SL1344_1715,+
201,arcA,SL1344_1716,+
202,arcA,SL1344_1717,+
