,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
ERX2079594,7/1/17 16:13,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR2020347,ERP023846,PRJEB21580,392632,ERS1803458,SAMEA104144440,ERA966101,RNA-Seq,PolyA,TRANSCRIPTOMIC,,"BGI, Hong Kong",254,94,4243781,,,28720734,7309407,SL1344,AcrB D408A mutant (T>G 530662),NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,AcrB_efflux_virulence,AcrB_D408A,WT,AcrB_D408A,MOPS minimal,,,Aerobic,2.6 mM histidine,37C,,,0.6,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,,1,1,AcrB_D408A_1,,,True,True,True,AcrB_efflux_virulence:AcrB_D408A,True,True
ERX2079595,7/1/17 16:13,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR2020348,ERP023846,PRJEB21580,392632,ERS1803459,SAMEA104144441,ERA966101,RNA-Seq,PolyA,TRANSCRIPTOMIC,,"BGI, Hong Kong",166,6,4243782,,,28720734,7309408,SL1344,AcrB D408A mutant (T>G 530662),NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,AcrB_efflux_virulence,AcrB_D408A,WT,AcrB_D408A,MOPS minimal,,,Aerobic,2.6 mM histidine,37C,,,0.6,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,,2,1,AcrB_D408A_2,,,True,True,True,AcrB_efflux_virulence:AcrB_D408A,True,True
ERX2079596,7/1/17 16:13,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR2020349,ERP023846,PRJEB21580,392632,ERS1803460,SAMEA104144442,ERA966101,RNA-Seq,PolyA,TRANSCRIPTOMIC,,"BGI, Hong Kong",268,108,4243783,,,28720734,7309409,SL1344,AcrB D408A mutant (T>G 530662),NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,AcrB_efflux_virulence,AcrB_D408A,WT,AcrB_D408A,MOPS minimal,,,Aerobic,2.6 mM histidine,37C,,,0.6,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,,3,1,AcrB_D408A_3,,,True,True,True,AcrB_efflux_virulence:AcrB_D408A,True,True
ERX2079597,7/1/17 16:13,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR2020350,ERP023846,PRJEB21580,392632,ERS1803461,SAMEA104144443,ERA966101,RNA-Seq,PolyA,TRANSCRIPTOMIC,,"BGI, Hong Kong",267,107,4243784,,,28720734,7309410,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,AcrB_efflux_virulence,WT,WT,WT,MOPS minimal,,,Aerobic,2.6 mM histidine,37C,,,0.6,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,,1,1,WT_1,,,True,True,True,AcrB_efflux_virulence:WT,True,True
ERX2079598,7/1/17 16:13,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR2020351,ERP023846,PRJEB21580,392632,ERS1803462,SAMEA104144444,ERA966101,RNA-Seq,PolyA,TRANSCRIPTOMIC,,"BGI, Hong Kong",272,112,4243785,,,28720734,7309411,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,AcrB_efflux_virulence,WT,WT,WT,MOPS minimal,,,Aerobic,2.6 mM histidine,37C,,,0.6,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,,2,1,WT_2,,,True,True,True,AcrB_efflux_virulence:WT,True,True
ERX2079599,7/1/17 16:13,216597,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,216597,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR2020352,ERP023846,PRJEB21580,392632,ERS1803463,SAMEA104144445,ERA966101,RNA-Seq,PolyA,TRANSCRIPTOMIC,,"BGI, Hong Kong",162,2,4243786,,,28720734,7309412,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,AcrB_efflux_virulence,WT,WT,WT,MOPS minimal,,,Aerobic,2.6 mM histidine,37C,,,0.6,,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,,,3,1,WT_3,,,True,True,True,AcrB_efflux_virulence:WT,True,True
ERX3475890,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453914,ERP116523,PRJEB33710,636716,ERS3604629,SAMEA5816033,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,27703287,0,10991616,,,,15084694,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,Chlorpromazine,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,50ug/ml chlorpromazine,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,1,1,Chlorpromazine_1,,,True,True,True,efflux_inhibition:Chlorpromazine,True,True
ERX3475891,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453915,ERP116523,PRJEB33710,636716,ERS3604630,SAMEA5816034,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,24920903,0,10991617,,,,15084695,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,Chlorpromazine,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,50ug/ml chlorpromazine,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,2,1,Chlorpromazine_2,,,True,True,True,efflux_inhibition:Chlorpromazine,True,True
ERX3475892,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453916,ERP116523,PRJEB33710,636716,ERS3604631,SAMEA5816035,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,66357203,0,10991618,,,,15084696,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,Chlorpromazine,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,50ug/ml chlorpromazine,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,3,1,Chlorpromazine_3,,,True,True,True,efflux_inhibition:Chlorpromazine,True,True
ERX3475894,2020-06-02 15:00:07,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,28901,1236,90371,Salmonella enterica,PAIRED,ILLUMINA,Illumina HiSeq 4000,ERR3453918,ERP116523,PRJEB33710,636716,ERS3604633,SAMEA5816037,ERA2049416,RNA-Seq,PolyA,TRANSCRIPTOMIC,,ARK genomics,48957592,0,10991620,,,,15084698,SL1344,wild type genotype,NC_016810.1;NC_017718.1;NC_017719.1;NC_017720.1,efflux_inhibition,PABN,no_treatment,WT,MOPS minimal media,,,Aerobic,,,,mid-log,,100ug/ml PABN,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,WT,,3,1,PABN_3,,,True,True,True,efflux_inhibition:PABN,True,True
