,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,module_name
0,TPP,M00023,4.308666185646624e-10,6.462999278469936e-08,0.8,0.25,0.38095238095238093,4.0,5.0,16.0,"Tryptophan biosynthesis, chorismate => tryptophan"
1,TPP,M00127,4.308666185646624e-10,6.462999278469936e-08,0.8,0.25,0.38095238095238093,4.0,5.0,16.0,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP"
2,nanR,M00764,9.659545250309809e-09,2.8978635750929423e-06,0.8,0.12121212121212122,0.2105263157894737,4.0,5.0,33.0,
3,fnr-1,M00178,1.9892171263859116e-22,5.967651379157735e-20,0.65,0.2653061224489796,0.3768115942028986,13.0,20.0,49.0,
4,fnr-1,M00179,7.129895125411279e-17,1.0694842688116917e-14,1.0,0.16326530612244897,0.2807017543859649,8.0,8.0,49.0,
5,narL-1,M00530,5.980386518867297e-10,1.794115955660189e-07,0.45454545454545453,0.22727272727272727,0.30303030303030304,5.0,11.0,22.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
6,narL-1,M00529,4.777101385089513e-06,0.000716565207763427,0.375,0.13636363636363635,0.19999999999999998,3.0,8.0,22.0,"Denitrification, nitrate => nitrogen"
7,narL-1,M00804,0.00012250391308998518,0.012250391308998517,0.5,0.09090909090909091,0.15384615384615385,2.0,4.0,22.0,"Complete nitrification, comammox, ammonia => nitrite => nitrate"
8,narL-1,M00239,0.00020359932742459552,0.015269949556844664,0.4,0.09090909090909091,0.14814814814814814,2.0,5.0,22.0,
9,cra-1,M00144,1.5476690960965184e-25,4.643007288289555e-23,0.8461538461538461,0.4782608695652174,0.6111111111111112,11.0,13.0,23.0,"NADH:quinone oxidoreductase, prokaryotes"
10,cra-1,M00417,3.970948093835234e-07,5.95642214075285e-05,0.75,0.13043478260869565,0.22222222222222218,3.0,4.0,23.0,Cytochrome o ubiquinol oxidase
11,cra-1,M00307,6.726511434318163e-05,0.006726511434318162,0.6666666666666666,0.08695652173913043,0.15384615384615383,2.0,3.0,23.0,"Pyruvate oxidation, pyruvate => acetyl-CoA"
12,narP-1,M00259,3.009885892506717e-14,9.029657677520152e-12,1.0,0.20689655172413793,0.34285714285714286,6.0,6.0,29.0,
13,narP-1,M00530,3.280424892646074e-05,0.004920637338969111,0.2727272727272727,0.10344827586206896,0.15,3.0,11.0,29.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
14,narP-1,M00529,0.000987675354291288,0.0987675354291288,0.25,0.06896551724137931,0.1081081081081081,2.0,8.0,29.0,"Denitrification, nitrate => nitrogen"
15,cra-2,M00273,8.047737682678559e-05,0.024143213048035676,0.4,0.14285714285714285,0.21052631578947364,2.0,5.0,14.0,
16,cra-2,M00002,0.00028776888599179977,0.03149470757901825,0.2222222222222222,0.14285714285714285,0.17391304347826086,2.0,9.0,14.0,"Glycolysis, core module involving three-carbon compounds"
17,cra-2,M00003,0.0005249117929836374,0.03149470757901825,0.16666666666666666,0.14285714285714285,0.15384615384615383,2.0,12.0,14.0,"Gluconeogenesis, oxaloacetate => fructose-6P"
18,cra-2,M00165,0.0004381653432813838,0.03149470757901825,0.18181818181818182,0.14285714285714285,0.16,2.0,11.0,14.0,Reductive pentose phosphate cycle (Calvin cycle)
19,cra-2,M00530,0.0004381653432813838,0.03149470757901825,0.18181818181818182,0.14285714285714285,0.16,2.0,11.0,14.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
20,cra-2,M00001,0.0009479649577410402,0.047398247887052006,0.125,0.14285714285714285,0.13333333333333333,2.0,16.0,14.0,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
21,arcA-1,M00324,8.490131017903728e-09,2.5470393053711183e-06,0.8,0.125,0.21621621621621623,4.0,5.0,32.0,
22,arcA-1,M00027,0.00013170417885964458,0.019672335871101253,0.6666666666666666,0.0625,0.11428571428571428,2.0,3.0,32.0,GABA (gamma-Aminobutyrate) shunt
23,arcA-1,M00225,0.0002622978116146834,0.019672335871101253,0.5,0.0625,0.1111111111111111,2.0,4.0,32.0,
24,arcA-1,M00226,0.0002622978116146834,0.019672335871101253,0.5,0.0625,0.1111111111111111,2.0,4.0,32.0,
25,arcA-2,M00087,0.00018516855143934356,0.05555056543180306,0.4,0.09523809523809523,0.15384615384615385,2.0,5.0,21.0,beta-Oxidation
26,purR,M00048,1.3929159696187977e-22,4.178747908856393e-20,0.9090909090909091,0.3448275862068966,0.5000000000000001,10.0,11.0,29.0,"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP"
27,purR,M00051,2.49687226456073e-12,3.7453083968410946e-10,0.6666666666666666,0.20689655172413793,0.31578947368421056,6.0,9.0,29.0,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
28,17,M00330,1.9681579105031805e-09,5.904473731509541e-07,1.0,0.42857142857142855,0.6,3.0,3.0,7.0,
29,18,M00214,9.590214933906434e-06,0.00287706448017193,0.6666666666666666,0.2222222222222222,0.3333333333333333,2.0,3.0,9.0,
30,19,M00009,1.7100867757482855e-07,2.565130163622428e-05,0.25,0.15151515151515152,0.18867924528301888,5.0,20.0,33.0,"Citrate cycle (TCA cycle, Krebs cycle)"
31,19,M00173,1.7100867757482855e-07,2.565130163622428e-05,0.25,0.15151515151515152,0.18867924528301888,5.0,20.0,33.0,Reductive citrate cycle (Arnon-Buchanan cycle)
32,19,M00010,1.2214065728729257e-06,0.00012214065728729257,0.75,0.09090909090909091,0.16216216216216214,3.0,4.0,33.0,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
33,19,M00740,3.03902711431802e-06,0.0002279270335738515,0.6,0.09090909090909091,0.15789473684210525,3.0,5.0,33.0,Methylaspartate cycle
34,19,M00149,0.0002791414506503116,0.016748487039018697,0.5,0.06060606060606061,0.10810810810810813,2.0,4.0,33.0,"Succinate dehydrogenase, prokaryotes"
35,19,M00012,0.0006917899907903449,0.034589499539517246,0.3333333333333333,0.06060606060606061,0.10256410256410256,2.0,6.0,33.0,Glyoxylate cycle
36,21,M00027,0.00029854796151967223,0.08956438845590166,1.0,0.009433962264150943,0.018691588785046728,3.0,3.0,318.0,GABA (gamma-Aminobutyrate) shunt
37,fnr-2,M00150,4.350122993582616e-08,1.3050368980747847e-05,1.0,0.05714285714285714,0.1081081081081081,4.0,4.0,70.0,"Fumarate reductase, prokaryotes"
38,fnr-2,M00011,6.922949921574948e-05,0.01038442488236242,0.25,0.05714285714285714,0.09302325581395347,4.0,16.0,70.0,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
39,fnr-2,M00009,0.00017625211316301176,0.013218908487225881,0.2,0.05714285714285714,0.08888888888888888,4.0,20.0,70.0,"Citrate cycle (TCA cycle, Krebs cycle)"
40,fnr-2,M00173,0.00017625211316301176,0.013218908487225881,0.2,0.05714285714285714,0.08888888888888888,4.0,20.0,70.0,Reductive citrate cycle (Arnon-Buchanan cycle)
41,fnr-2,M00530,0.00046647781772406736,0.027988669063444042,0.2727272727272727,0.04285714285714286,0.07407407407407407,3.0,11.0,70.0,"Dissimilatory nitrate reduction, nitrate => ammonia"
42,fnr-2,M00582,0.0012634595759057005,0.06317297879528502,0.5,0.02857142857142857,0.05405405405405405,2.0,4.0,70.0,
43,fnr-2,M00239,0.002085677222812833,0.08938616669197856,0.4,0.02857142857142857,0.05333333333333333,2.0,5.0,70.0,
44,fur,M00240,1.938122297223752e-12,5.814366891671255e-10,0.7,0.12962962962962962,0.21875,7.0,10.0,54.0,
45,fur,M00317,5.534208875446136e-06,0.0008301313313169203,0.75,0.05555555555555555,0.10344827586206895,3.0,4.0,54.0,
46,24,M00332,0.0005450887790977552,0.08176331686466327,0.21428571428571427,0.05263157894736842,0.08450704225352114,3.0,14.0,57.0,
47,24,M00542,0.00043195881023696197,0.08176331686466327,0.23076923076923078,0.05263157894736842,0.08571428571428572,3.0,13.0,57.0,"EHEC/EPEC pathogenicity signature, T3SS and effectors"
48,25,M00324,2.186030535578917e-13,6.558091606736751e-11,1.0,0.3125,0.47619047619047616,5.0,5.0,16.0,
49,crp-1,M00214,2.0238286628407242e-06,0.0006071485988522172,1.0,0.04918032786885246,0.09375,3.0,3.0,61.0,
50,crp-1,M00276,3.937310487869247e-05,0.00590596573180387,0.5,0.04918032786885246,0.08955223880597014,3.0,6.0,61.0,
51,crp-1,M00045,0.0009598492934878267,0.09598492934878267,0.5,0.03278688524590164,0.061538461538461535,2.0,4.0,61.0,"Histidine degradation, histidine => N-formiminoglutamate => glutamate"
52,31,M00080,3.545338676425432e-07,0.00010636016029276295,0.4166666666666667,0.07462686567164178,0.12658227848101264,5.0,12.0,67.0,
53,rbsR-1,M00212,1.2371278294626453e-08,3.7113834883879356e-06,1.0,0.25,0.4,3.0,3.0,12.0,
54,rbsR-1,M00214,1.7574637945191188e-05,0.002636195691778678,0.6666666666666666,0.16666666666666666,0.26666666666666666,2.0,3.0,12.0,
55,fliA,M00506,4.8046608996727575e-09,1.4413982699018271e-06,1.0,0.0975609756097561,0.17777777777777776,4.0,4.0,41.0,
56,fliA,M00189,5.92260177948207e-06,0.0008883902669223104,0.6,0.07317073170731707,0.13043478260869565,3.0,5.0,41.0,
57,fliA,M00214,0.00021746008054003555,0.021746008054003556,0.6666666666666666,0.04878048780487805,0.0909090909090909,2.0,3.0,41.0,
