,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,pathway_name
0,rcsA;rcsB-1,map00051,7.428000085693193e-07,0.00015970200184240365,0.1276595744680851,0.17647058823529413,0.14814814814814814,6.0,47.0,34.0,Fructose and mannose metabolism
1,rcsA;rcsB-1,map00520,0.00046697135487878646,0.05019942064946954,0.07692307692307693,0.11764705882352941,0.0930232558139535,4.0,52.0,34.0,Amino sugar and nucleotide sugar metabolism
2,TPP,map00730,3.632903273906128e-15,7.810742038898176e-13,0.5,0.4375,0.4666666666666667,7.0,14.0,16.0,Thiamine metabolism
3,TPP,map00400,6.089853231876454e-07,6.546592224267188e-05,0.18181818181818182,0.25,0.2105263157894737,4.0,22.0,16.0,"Phenylalanine, tyrosine and tryptophan biosynthesis"
4,TPP,map01100,1.4213825777785644e-06,0.00010186575140746379,0.015736766809728183,0.6875,0.030769230769230774,11.0,699.0,16.0,Metabolic pathways
5,TPP,map01230,0.0006150995873162158,0.0330616028182466,0.032520325203252036,0.25,0.05755395683453238,4.0,123.0,16.0,Biosynthesis of amino acids
6,TPP,map04122,0.001408399635467855,0.06056118432511777,0.11764705882352941,0.125,0.12121212121212122,2.0,17.0,16.0,Sulfur relay system
7,fnr-1,map03010,1.9892171263859116e-22,4.27681682172971e-20,0.65,0.2653061224489796,0.3768115942028986,13.0,20.0,49.0,Ribosome
8,narL-1,map00910,3.3674871793693347e-10,7.24009743564407e-08,0.2727272727272727,0.2727272727272727,0.2727272727272727,6.0,22.0,22.0,Nitrogen metabolism
9,narL-1,map02020,8.391785401760253e-10,9.021169306892271e-08,0.06097560975609756,0.45454545454545453,0.10752688172043011,10.0,164.0,22.0,Two-component system
10,cra-1,map00190,4.466457271468869e-27,9.602883133658069e-25,0.35714285714285715,0.6521739130434783,0.4615384615384615,15.0,42.0,23.0,Oxidative phosphorylation
11,cra-1,map01100,2.0958327348266187e-14,2.253020189938615e-12,0.02861230329041488,0.8695652173913043,0.055401662049861494,20.0,699.0,23.0,Metabolic pathways
