	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX1043600	13809484	1417	58077	13715873	0	0	0	0	33906	0	0	0	0	87	96	28	0.010261064062929506	13809484.0	93611.0	0.68	13715873.0	99.32	ERX1043600_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13809484.0	0.0	20-54	60.0	44.702016012080726	46.77551246664972	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass		14944631	4957757	14944631	807010074	93999955	679057688	15.855116326589991	0.2059	0.3529	0.4412		
ERX1043601	16143632	6456	6990	16114557	0	0	0	0	376	0	0	0	0	14483	591	179	0.03999100078594457	16143632.0	29075.0	0.18	16114557.0	99.82	ERX1043601_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16143632.0	0.0	20-54	56.0	25.339767266399768	51.46513176217099	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass		17679298	4923894	17679298	954682092	47122622	898677248	5.866334402761584	0.08	0.24	0.68		
ERX1043602	11281256	555	17307	11225448	0	0	0	0	24730	0	0	0	0	13186	19	11	0.0049196649734745855	11281256.0	55808.0	0.49	11225448.0	99.51	ERX1043602_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11281256.0	0.0	20-54	57.0	36.637172960004456	49.525022036553366	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass		11759628	5046104	11759628	635019912	26575138	573640687	9.66571659252159	0.1667	0.6667	0.1667		
ERX2017806	1252031	658	693	1250564	0	0	0	0	37	0	0	0	0	22	42	15	0.05255460927085672	1252031.0	1467.0	0.12	1250564.0	99.88	ERX2017806_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1252031.0	0.0	20-54	59.0	36.02943459459959	52.31909353682136	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		1313801	366392	1313801	70945254	4028354	66268921	6.591466992281117	0.0	0.0	1.0		
ERX2017807	1105298	267	317	1104162	0	0	0	0	25	0	0	0	0	509	11	7	0.02415638135597821	1105298.0	1136.0	0.1	1104162.0	99.9	ERX2017807_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1105298.0	0.0	20-54	55.0	24.45796569968879	51.9486075248485	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass		1179687	333659	1179687	63703098	4196058	58945406	7.468541011930062	0.0	0.5	0.5		
ERX2079594	6643752	5685197	1010	555059	0	0	0	0	39930	0	0	0	0	57194	216754	88608	85.57208336494197	6643752.0	6088693.0	91.65	555059.0	8.35	ERX2079594_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6643752.0	0.0	20-100	52.0	31.644236426187934	99.20834763248236	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	warn	6643935	1975783	6643935	664393500	572179	660759878	0.5469081199620406	0.2643	0.2715	0.4641		
ERX2079595	8164416	7134895	708	562461	0	0	0	0	16258	0	0	0	0	78667	284643	86784	87.39014523512766	8164416.0	7601955.0	93.11	562461.0	6.89	ERX2079595_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8164416.0	0.0	20-100	52.0	28.012854405069838	99.25596760380657	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	warn	8164601	2413040	8164601	816460100	567706	812375352	0.5002997697009322	0.2478	0.264	0.4882		
ERX2079596	6662369	5748703	903	520252	0	0	0	0	16077	0	0	0	0	63434	239068	73932	86.28616937909024	6662369.0	6142117.0	92.19	520252.0	7.81	ERX2079596_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6662369.0	0.0	20-100	52.0	25.422936243390023	99.29715631181641	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	6662508	1982608	6662508	666250800	184974	663174218	0.4617753554667402	0.2572	0.2532	0.4896		
ERX2079597	7687256	6550223	1033	716784	0	0	0	0	19919	0	0	0	0	71040	247501	80756	85.208857360806	7687256.0	6970472.0	90.68	716784.0	9.32	ERX2079597_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7687256.0	0.0	20-100	52.0	24.52881005268581	99.16902624291424	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	7687443	2379851	7687443	768744300	262368	764247034	0.5850145490509653	0.2854	0.2913	0.4233		
ERX2079598	6759640	5844136	4153	528697	0	0	0	0	18811	0	0	0	0	60107	226925	76811	86.45632015906173	6759640.0	6230943.0	92.18	528697.0	7.82	ERX2079598_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6759640.0	0.0	20-100	52.0	25.95279254827547	99.29859637495487	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	6759813	2000533	6759813	675981300	236560	672867094	0.4606941049996501	0.2865	0.2894	0.4241		
ERX2079599	6517752	5636283	466	537480	0	0	0	0	16540	0	0	0	0	56362	214175	56446	86.47587389026155	6517752.0	5980272.0	91.75	537480.0	8.25	ERX2079599_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6517752.0	0.0	20-100	52.0	30.80101037861931	99.22851253008707	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	6517907	1951737	6517907	651790700	178142	648642026	0.4830805349017714	0.2912	0.2865	0.4223		
