,regulator,gene_id,effect
44,alaS,STM474_2965,-
45,allR,STM474_0535,-
46,allR,STM474_0536,-
47,allR,STM474_0538,-
48,allR,STM474_0539,-
49,allR,STM474_0540,-
50,allR,STM474_0543,-
51,allR,STM474_0544,-
52,allR,STM474_0545,-
53,allR,STM474_0546,-
54,allS,STM474_0547,+
55,allS,STM474_0548,+
56,allS,STM474_0549,+
63,appY,STM474_1806,+
64,appY,STM474_1807,+
65,appY,STM474_1808,+
66,appY,STM474_1809,+
67,appY,STM474_1810,+
68,appY,STM474_1811,+
69,appY,STM474_1812,+
70,appY,STM474_1813,+
72,araC,STM474_0104,+-
73,araC,STM474_0105,+-
74,araC,STM474_0106,+-
75,araC,STM474_0107,+-
76,araC,STM474_0411,+
78,araC,STM474_0038,-
81,araC,STM474_3162,+
82,araC,STM474_3163,+
83,araC,STM474_3832,-
84,araC,STM474_3833,-
87,arcA,STM474_0002,-
88,arcA,STM474_0003,-
89,arcA,STM474_0004,-
90,arcA,STM474_0046,+
91,arcA,STM474_0048,+
92,arcA,STM474_0049,+
93,arcA,STM474_0050,+
94,arcA,STM474_0051,+
95,arcA,STM474_0052,+
96,arcA,STM474_0069,+
97,arcA,STM474_0070,+
98,arcA,STM474_0072,+-
99,arcA,STM474_0073,+-
100,arcA,STM474_0074,+-
102,arcA,STM474_0076,+-
103,arcA,STM474_0077,+-
104,arcA,STM474_0116,+
105,arcA,STM474_0117,+
106,arcA,STM474_0118,+
107,arcA,STM474_0119,+
108,arcA,STM474_0120,+
109,arcA,STM474_0160,-
110,arcA,STM474_0161,-
111,arcA,STM474_0162,-
113,arcA,STM474_0167,-
114,arcA,STM474_0324,-
124,arcA,STM474_1097,-
127,arcA,STM474_0459,-
128,arcA,STM474_0460,-
129,arcA,STM474_0461,-
130,arcA,STM474_0462,-
131,arcA,STM474_0463,-
133,arcA,STM474_0625,+
134,arcA,STM474_0640,-
135,arcA,STM474_0641,-
136,arcA,STM474_0642,-
137,arcA,STM474_0643,-
138,arcA,STM474_0644,-
139,arcA,STM474_0645,-
140,arcA,STM474_0646,+
141,arcA,STM474_0647,+
142,arcA,STM474_0648,+
143,arcA,STM474_0726,+-
144,arcA,STM474_0727,+-
145,arcA,STM474_0728,+-
146,arcA,STM474_0730,+
147,arcA,STM474_0753,-
148,arcA,STM474_0755,+-
149,arcA,STM474_0756,+-
150,arcA,STM474_0757,+-
151,arcA,STM474_0758,+-
152,arcA,STM474_0759,+-
153,arcA,STM474_0760,+-
154,arcA,STM474_0761,+-
155,arcA,STM474_0762,+-
156,arcA,STM474_0765,+-
157,arcA,STM474_0766,+-
158,arcA,STM474_0826,+
159,arcA,STM474_0827,-
160,arcA,STM474_0828,-
161,arcA,STM474_0829,-
162,arcA,STM474_0830,-
163,arcA,STM474_0831,-
166,arcA,STM474_0866,+-
167,arcA,STM474_0868,+-
168,arcA,STM474_0869,+-
170,arcA,STM474_0870,+
171,arcA,STM474_0871,+
172,arcA,STM474_0872,+
173,arcA,STM474_0873,+
174,arcA,STM474_0874,+
175,arcA,STM474_0875,+
176,arcA,STM474_0876,+
177,arcA,STM474_0877,+
178,arcA,STM474_0879,-
179,arcA,STM474_0902,-
180,arcA,STM474_0903,-
181,arcA,STM474_0904,-
182,arcA,STM474_0905,-
183,arcA,STM474_0927,+
184,arcA,STM474_0928,-
185,arcA,STM474_0929,-
186,arcA,STM474_0931,-
187,arcA,STM474_0932,-
189,arcA,STM474_0940,+
190,arcA,STM474_0943,+
191,arcA,STM474_0944,+
192,arcA,STM474_0959,+-
193,arcA,STM474_0960,+-
194,arcA,STM474_0991,+-
195,arcA,STM474_1049,-
196,arcA,STM474_1058,+-
197,arcA,STM474_1077,+-
199,arcA,STM474_1806,+
200,arcA,STM474_1807,+
201,arcA,STM474_1808,+
202,arcA,STM474_1809,+
203,arcA,STM474_1810,+
204,arcA,STM474_1811,+
205,arcA,STM474_1812,+
206,arcA,STM474_1813,+
209,arcA,STM474_1090,+-
215,arcA,STM474_1116,+-
216,arcA,STM474_1118,-
217,arcA,STM474_1119,+-
219,arcA,STM474_1152,+-
220,arcA,STM474_1153,+-
221,arcA,STM474_1186,+
222,arcA,STM474_1188,+
223,arcA,STM474_1189,+
224,arcA,STM474_1190,+
225,arcA,STM474_1191,+
226,arcA,STM474_1192,+
227,arcA,STM474_1193,+
228,arcA,STM474_1194,+
229,arcA,STM474_1200,+-
230,arcA,STM474_1208,+-
231,arcA,STM474_1233,+-
232,arcA,STM474_1235,+-
233,arcA,STM474_1236,-
234,arcA,STM474_1102,+
235,arcA,STM474_1828,+
240,arcA,STM474_1794,+
241,arcA,STM474_1793,+
242,arcA,STM474_1792,+
243,arcA,STM474_1764,+-
244,arcA,STM474_1763,+-
245,arcA,STM474_1762,+-
246,arcA,STM474_1761,+-
247,arcA,STM474_1760,+-
248,arcA,STM474_1749,-
249,arcA,STM474_1727,-
255,arcA,STM474_3277,-
257,arcA,STM474_1695,-
258,arcA,STM474_1694,+-
259,arcA,STM474_1675,-
260,arcA,STM474_1673,-
262,arcA,STM474_3278,+-
275,arcA,STM474_1600,+-
276,arcA,STM474_1599,+-
282,arcA,STM474_1612,+-
284,arcA,STM474_1533,-
285,arcA,STM474_1487,+
286,arcA,STM474_1486,+
287,arcA,STM474_1483,+-
288,arcA,STM474_1482,+-
289,arcA,STM474_1478,+-
290,arcA,STM474_1476,+-
291,arcA,STM474_1475,-
292,arcA,STM474_1474,+-
293,arcA,STM474_1311,-
294,arcA,STM474_1310,-
295,arcA,STM474_1309,-
296,arcA,STM474_1308,-
297,arcA,STM474_1307,-
298,arcA,STM474_1306,-
299,arcA,STM474_1295,-
300,arcA,STM474_1294,-
301,arcA,STM474_1293,-
302,arcA,STM474_1840,-
305,arcA,STM474_1959,+-
306,arcA,STM474_1966,+-
307,arcA,STM474_3418,-
308,arcA,STM474_3416,-
309,arcA,STM474_3415,-
310,arcA,STM474_3414,-
311,arcA,STM474_3410,-
312,arcA,STM474_2277,-
313,arcA,STM474_2278,-
314,arcA,STM474_2279,-
315,arcA,STM474_2281,-
316,arcA,STM474_2282,-
317,arcA,STM474_2283,+-
318,arcA,STM474_2288,-
320,arcA,STM474_2313,-
321,arcA,STM474_2317,+
324,arcA,STM474_2364,+
325,arcA,STM474_2365,+
326,arcA,STM474_2366,+
327,arcA,STM474_2380,-
328,arcA,STM474_2381,-
329,arcA,STM474_2382,-
331,arcA,STM474_2413,-
332,arcA,STM474_2414,-
333,arcA,STM474_2415,-
334,arcA,STM474_2416,-
335,arcA,STM474_2417,-
336,arcA,STM474_2418,-
337,arcA,STM474_2419,-
338,arcA,STM474_2420,-
339,arcA,STM474_2421,-
340,arcA,STM474_2422,-
341,arcA,STM474_2423,-
342,arcA,STM474_2424,-
343,arcA,STM474_2425,-
344,arcA,STM474_2434,+
345,arcA,STM474_2448,-
346,arcA,STM474_2449,-
347,arcA,STM474_2450,-
348,arcA,STM474_2451,-
349,arcA,STM474_2452,-
350,arcA,STM474_2487,-
351,arcA,STM474_2488,-
352,arcA,STM474_2489,-
353,arcA,STM474_2490,-
357,arcA,STM474_2509,-
358,arcA,STM474_2510,+
361,arcA,STM474_2611,+-
362,arcA,STM474_2612,+-
363,arcA,STM474_2613,+
364,arcA,STM474_2628,-
365,arcA,STM474_2649,+-
366,arcA,STM474_2650,+-
373,arcA,STM474_2759,+
374,arcA,STM474_2761,+
375,arcA,STM474_2767,-
377,arcA,STM474_2924,-
378,arcA,STM474_2925,-
379,arcA,STM474_2926,-
380,arcA,STM474_2927,-
381,arcA,STM474_2928,-
382,arcA,STM474_3064,-
383,arcA,STM474_3109,-
384,arcA,STM474_3110,-
385,arcA,STM474_3111,-
386,arcA,STM474_3128,+-
392,arcA,STM474_3293,+-
393,arcA,STM474_3294,+-
394,arcA,STM474_3295,+-
395,arcA,STM474_3296,+-
396,arcA,STM474_3297,+-
397,arcA,STM474_3298,+-
398,arcA,STM474_3299,+-
399,arcA,STM474_3300,+-
400,arcA,STM474_3302,+
401,arcA,STM474_3363,+
402,arcA,STM474_3364,+
403,arcA,STM474_3365,+
404,arcA,STM474_3371,-
405,arcA,STM474_3373,+-
406,arcA,STM474_3379,+
408,arcA,STM474_3287,+-
409,arcA,STM474_3284,+-
410,arcA,STM474_3439,+
411,arcA,STM474_3440,+-
412,arcA,STM474_3441,+-
413,arcA,STM474_3442,+
414,arcA,STM474_3443,+
415,arcA,STM474_3444,+
416,arcA,STM474_3445,+
417,arcA,STM474_3446,+
419,arcA,STM474_3448,+-
421,arcA,STM474_3451,+
422,arcA,STM474_3463,+
423,arcA,STM474_3464,+
424,arcA,STM474_3489,+-
428,arcA,STM474_3519,-
429,arcA,STM474_3520,+
430,arcA,STM474_3596,-
431,arcA,STM474_3597,-
432,arcA,STM474_3598,-
433,arcA,STM474_3599,-
434,arcA,STM474_3600,-
435,arcA,STM474_3601,-
436,arcA,STM474_3602,-
437,arcA,STM474_3603,-
438,arcA,STM474_3604,-
439,arcA,STM474_3605,-
440,arcA,STM474_3606,-
441,arcA,STM474_3661,-
442,arcA,STM474_3662,+
443,arcA,STM474_3666,+
444,arcA,STM474_3667,+-
445,arcA,STM474_3672,+-
446,arcA,STM474_3673,+-
447,arcA,STM474_3674,+-
449,arcA,STM474_3691,+-
450,arcA,STM474_3692,+-
451,arcA,STM474_3693,-
452,arcA,STM474_3720,-
453,arcA,STM474_3721,-
454,arcA,STM474_3722,-
455,arcA,STM474_3723,-
456,arcA,STM474_3724,-
457,arcA,STM474_3752,+
458,arcA,STM474_3753,+
459,arcA,STM474_3754,+
464,arcA,STM474_3778,-
465,arcA,STM474_3783,-
466,arcA,STM474_3798,+-
467,arcA,STM474_3799,+-
468,arcA,STM474_3800,+-
469,arcA,STM474_3801,+-
470,arcA,STM474_3802,+-
471,arcA,STM474_2679,+-
472,arcA,STM474_3820,-
473,arcA,STM474_3821,-
474,arcA,STM474_3834,+
475,arcA,STM474_3837,+-
476,arcA,STM474_3864,+-
477,arcA,STM474_3865,+-
478,arcA,STM474_3866,+-
479,arcA,STM474_3899,+
480,arcA,STM474_3900,+
481,arcA,STM474_3901,+
483,arcA,STM474_4014,+-
484,arcA,STM474_4015,+-
485,arcA,STM474_4016,+-
486,arcA,STM474_4017,+
487,arcA,STM474_4018,+
488,arcA,STM474_4028,+-
489,arcA,STM474_4092,-
490,arcA,STM474_4093,+
491,arcA,STM474_4095,+
492,arcA,STM474_4130,+-
493,arcA,STM474_4131,+-
494,arcA,STM474_4134,-
495,arcA,STM474_4135,+
496,arcA,STM474_4160,-
497,arcA,STM474_4161,-
498,arcA,STM474_4162,+-
499,arcA,STM474_4163,+-
500,arcA,STM474_4164,+-
501,arcA,STM474_4165,+-
502,arcA,STM474_4213,+
503,arcA,STM474_4214,+
504,arcA,STM474_4215,+
505,arcA,STM474_4216,+
506,arcA,STM474_4230,-
507,arcA,STM474_4237,-
508,arcA,STM474_4309,-
509,arcA,STM474_4310,+
510,arcA,STM474_4311,+
516,arcA,STM474_4372,-
517,arcA,STM474_4373,-
518,arcA,STM474_4375,-
519,arcA,STM474_4427,+-
520,arcA,STM474_4428,+-
521,arcA,STM474_4448,-
522,arcA,STM474_4450,-
