,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,pathway_name
0,SPI1,map05100,5.718626761719452e-16,1.223786127007963e-13,0.9,0.1125,0.2,9.0,10.0,80.0,Bacterial invasion of epithelial cells
1,SPI1,map05132,9.56783670262669e-11,1.0237585271810559e-08,0.36,0.1125,0.17142857142857143,9.0,25.0,80.0,Salmonella infection
2,SPI1,map05131,1.0861486904090964e-09,7.747860658251554e-08,1.0,0.0625,0.11764705882352941,5.0,5.0,80.0,Shigellosis
3,12,map00550,0.0002388981141025043,0.049906805228280636,1.0,0.007200460829493088,0.014297969688304261,25.0,25.0,3472.0,Peptidoglycan biosynthesis
4,12,map00790,0.00046641874045122086,0.049906805228280636,1.0,0.0066244239631336405,0.013161659513590844,23.0,23.0,3472.0,Folate biosynthesis
5,12,map00230,0.0016317657202548589,0.07089399293914377,0.8666666666666667,0.018721198156682026,0.03665069072455596,65.0,75.0,3472.0,Purine metabolism
6,12,map00240,0.0016564017041856018,0.07089399293914377,0.8909090909090909,0.014112903225806451,0.027785653529912108,49.0,55.0,3472.0,Pyrimidine metabolism
7,12,map03440,0.0014353541460084833,0.07089399293914377,0.9629629629629629,0.007488479262672811,0.01486138896827665,26.0,27.0,3472.0,Homologous recombination
8,12,map00970,0.0026119434760580955,0.09315931731273874,0.96,0.0069124423963133645,0.01372605090077209,24.0,25.0,3472.0,Aminoacyl-tRNA biosynthesis
9,cysB,map00920,5.554276347433194e-09,1.1886151383507036e-06,0.13157894736842105,0.5,0.20833333333333334,5.0,38.0,10.0,Sulfur metabolism
10,cysB,map00250,2.7671977510986577e-05,0.0029609015936755637,0.0967741935483871,0.3,0.14634146341463414,3.0,31.0,10.0,"Alanine, aspartate and glutamate metabolism"
11,cysB,map00240,0.00015733876229679622,0.011223498377171464,0.05454545454545454,0.3,0.0923076923076923,3.0,55.0,10.0,Pyrimidine metabolism
12,fliA,map02030,5.452323132507425e-30,1.166797150356589e-27,0.7391304347826086,0.3090909090909091,0.4358974358974359,17.0,23.0,55.0,Bacterial chemotaxis
13,fliA,map02040,1.0532875084175827e-28,1.1270176340068135e-26,0.5,0.34545454545454546,0.40860215053763443,19.0,38.0,55.0,Flagellar assembly
14,fliA,map02020,1.2444569213604401e-11,8.877126039037806e-10,0.09815950920245399,0.2909090909090909,0.14678899082568808,16.0,163.0,55.0,Two-component system
15,fliA,map02026,5.931941849602969e-05,0.0031735888895375887,0.13157894736842105,0.09090909090909091,0.10752688172043011,5.0,38.0,55.0,Biofilm formation - Escherichia coli
16,23,map00540,2.5523982952529704e-05,0.005462132351841357,0.16666666666666666,0.0847457627118644,0.11235955056179776,5.0,30.0,59.0,Lipopolysaccharide biosynthesis
17,leu-tRNA,map00290,9.358163831200816e-14,2.0026470598769746e-11,0.375,0.6,0.4615384615384615,6.0,16.0,10.0,"Valine, leucine and isoleucine biosynthesis"
18,leu-tRNA,map01210,2.056395210839062e-12,2.2003428755977968e-10,0.24,0.6,0.34285714285714286,6.0,25.0,10.0,2-Oxocarboxylic acid metabolism
19,leu-tRNA,map00660,5.232998067558253e-12,3.7328719548582207e-10,0.45454545454545453,0.5,0.47619047619047616,5.0,11.0,10.0,C5-Branched dibasic acid metabolism
20,leu-tRNA,map01230,3.9620657182646443e-08,2.119705159271585e-06,0.05,0.6,0.0923076923076923,6.0,120.0,10.0,Biosynthesis of amino acids
21,leu-tRNA,map01110,8.462298037286809e-06,0.00036218635599587543,0.02027027027027027,0.6,0.0392156862745098,6.0,296.0,10.0,Biosynthesis of secondary metabolites
22,leu-tRNA,map00770,1.0997874861928378e-05,0.00039225753674211215,0.13043478260869565,0.3,0.18181818181818182,3.0,23.0,10.0,Pantothenate and CoA biosynthesis
23,leu-tRNA,map01100,0.0010234801860944344,0.031289251403458423,0.008708272859216255,0.6,0.017167381974248924,6.0,689.0,10.0,Metabolic pathways
24,leu-tRNA,map00650,0.001215267898955287,0.03250841629705393,0.07692307692307693,0.2,0.1111111111111111,2.0,26.0,10.0,Butanoate metabolism
25,leu-tRNA,map00966,0.002065262288330308,0.04910734774474288,1.0,0.1,0.18181818181818182,1.0,1.0,10.0,Glucosinolate biosynthesis
26,appY,map02020,0.0001034420402881785,0.022136596621670203,0.049079754601226995,0.17777777777777778,0.07692307692307693,8.0,163.0,45.0,Two-component system
27,rpoH,map05152,3.907730768284766e-05,0.0083625438441294,0.6666666666666666,0.1111111111111111,0.1904761904761905,2.0,3.0,18.0,Tuberculosis
28,rpoH,map04212,0.0001296842906357167,0.013876219098021687,0.4,0.1111111111111111,0.1739130434782609,2.0,5.0,18.0,Longevity regulating pathway - worm
29,rpoH,map03018,0.0011569445332707655,0.0662949194554297,0.14285714285714285,0.1111111111111111,0.125,2.0,14.0,18.0,RNA degradation
30,rpoH,map04141,0.003717472118996058,0.0662949194554297,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,18.0,Protein processing in endoplasmic reticulum
31,rpoH,map04151,0.003717472118996058,0.0662949194554297,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,18.0,PI3K-Akt signaling pathway
32,rpoH,map04612,0.003717472118996058,0.0662949194554297,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,18.0,Antigen processing and presentation
33,rpoH,map04657,0.003717472118996058,0.0662949194554297,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,18.0,IL-17 signaling pathway
34,rpoH,map04659,0.003717472118996058,0.0662949194554297,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,18.0,Th17 cell differentiation
35,rpoH,map04914,0.003717472118996058,0.0662949194554297,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,18.0,Progesterone-mediated oocyte maturation
36,rpoH,map04915,0.003717472118996058,0.0662949194554297,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,18.0,Estrogen signaling pathway
37,rpoH,map04940,0.003717472118996058,0.0662949194554297,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,18.0,Type I diabetes mellitus
38,rpoH,map05215,0.003717472118996058,0.0662949194554297,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,18.0,Prostate cancer
39,fnr-1,map03010,3.2373959699369475e-18,6.928027375665068e-16,0.55,0.23404255319148937,0.3283582089552239,11.0,20.0,47.0,Ribosome
40,SPI2,map03070,2.4063030670666596e-10,2.7308403661934277e-08,0.29411764705882354,0.11235955056179775,0.16260162601626016,10.0,34.0,89.0,Bacterial secretion system
41,SPI2,map05132,2.5521872581246986e-10,2.7308403661934277e-08,0.36,0.10112359550561797,0.15789473684210525,9.0,25.0,89.0,Salmonella infection
42,fur,map01053,6.59897944718116e-11,1.4121816016967684e-08,0.8571428571428571,0.0821917808219178,0.15,6.0,7.0,73.0,Biosynthesis of siderophore group nonribosomal peptides
43,fur,map02010,7.648841929614698e-06,0.0008184260864687727,0.06976744186046512,0.1643835616438356,0.09795918367346938,12.0,172.0,73.0,ABC transporters
