Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX1366851	41398121	1593957	7859503	30901514	0	0	0	0	0	0	0	0	0	847750	185439	9958	3.8503124332623697	41398121.0	10496607.0	25.36	30901514.0	74.64	SRX1366851_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41398121.0	0.0	20-100	41.0	13.868011010961665	86.00441445156412	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	41405375	35249271	41405375	4140537500	518119809	3586143717	13.38941581859843	0.2222	0.4444	0.3333
SRX1638989	11649400	1805229	5909661	1951168	0	0	0	0	0	0	0	0	0	1758936	214369	10037	15.496325991038166	11649400.0	9698232.0	83.25	1951168.0	16.75	SRX1638989_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11649400.0	0.0	20-50	50.0	14.899607415227795	49.048746630727756	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11651147	5484166	11651147	582557350	4718715	571414563	1.9127364885191132	0.3818	0.5292	0.08900000000000001
SRX1638990	20560930	3857188	9575202	3638458	0	0	0	0	0	0	0	0	0	2967909	499653	22520	18.759793452922608	20560930.0	16922472.0	82.3	3638458.0	17.7	SRX1638990_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20560930.0	0.0	20-50	49.0	14.284129921164453	49.03089840780548	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	20563836	9880493	20563836	1028191800	8560801	1008163601	1.9479049531420112	0.3224	0.4735	0.2041
SRX1638991	29222303	3899747	20434640	2300146	0	0	0	0	0	0	0	0	0	1967312	600991	19467	13.34510493577457	29222303.0	26922157.0	92.13	2300146.0	7.87	SRX1638991_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29222303.0	0.0	20-51	50.0	9.545716765171584	49.901465158307346	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	29234693	12377583	29234693	1490969343	17159210	1458427338	2.18260725163683	0.5923	0.2664	0.1413
SRX1638992	26716731	3724557	16974642	3437796	0	0	0	0	0	0	0	0	0	2013212	548199	18325	13.940915900227466	26716731.0	23278935.0	87.13	3437796.0	12.87	SRX1638992_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26716731.0	0.0	20-51	50.0	11.098028298814206	49.82803094435468	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	26727932	12260826	26727932	1363124532	16653212	1331414956	2.326242045800112	0.5987	0.2783	0.12300000000000001
SRX1638993	26506139	3621426	18136697	2564807	0	0	0	0	0	0	0	0	0	1685871	482334	15004	13.662593409021211	26506139.0	23941332.0	90.32	2564807.0	9.68	SRX1638993_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26506139.0	0.0	20-51	50.0	10.540718972751614	49.66983965488146	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	26528548	11228440	26528548	1352955948	22113035	1316918227	2.6636285574022254	0.5993	0.2424	0.1583
SRX1638994	27990593	4414066	17201637	3237290	0	0	0	0	0	0	0	0	0	2468912	643106	25582	15.769819524723895	27990593.0	24753303.0	88.43	3237290.0	11.57	SRX1638994_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27990593.0	0.0	20-51	50.0	11.419512036677858	49.913467178062284	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	27999758	12656855	27999758	1427987658	15165750	1397245430	2.1528356934860846	0.5918	0.2903	0.11800000000000001
SRX1638995	28927013	4922272	17634070	2926801	0	0	0	0	0	0	0	0	0	2612918	785132	45820	17.016177923382553	28927013.0	26000212.0	89.88	2926801.0	10.12	SRX1638995_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28927013.0	0.0	20-51	50.0	11.03210627596752	49.89427619090848	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	28939884	12682424	28939884	1475934084	16815462	1443493012	2.198002766633039	0.5451	0.3318	0.1231
SRX1638996	16637538	1928492	6849058	4104440	0	0	0	0	0	0	0	0	0	3481092	259714	14742	11.591210189873044	16637538.0	12533098.0	75.33	4104440.0	24.67	SRX1638996_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16637538.0	0.0	20-50	49.0	13.53901437094866	48.82207042893005	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	16641356	9187728	16641356	832067800	9406355	812337569	2.371228762848412	0.2976	0.5718	0.1306
SRX1638997	26163350	1461870	4897890	19068643	0	0	0	0	0	0	0	0	0	571711	153708	9528	5.587472552253439	26163350.0	7094707.0	27.12	19068643.0	72.88	SRX1638997_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26163350.0	0.0	20-100	40.0	16.737603869718303	85.92369952624568	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	26168790	21947898	26168790	2616879000	329930122	2264258974	13.474831125168569	0.4895	0.4165	0.094
SRX1638998	20806782	213075	16	4640711	0	0	0	0	0	0	0	0	0	15900573	52016	391	1.0240651341471256	20806782.0	16166071.0	77.7	4640711.0	22.3	SRX1638998_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20806782.0	0.0	20-50	49.0	15.33047919018567	48.81159431573801	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	20811415	11029158	20811415	1040570750	12412928	1015681869	2.3918489924880166	0.2317	0.6655	0.1028
