,regulator,gene_id,effect
44,alaS,STMUK_2816,-
45,allR,STMUK_0521,-
46,allR,STMUK_0522,-
47,allR,STMUK_0524,-
48,allR,STMUK_0525,-
49,allR,STMUK_0526,-
50,allR,STMUK_0529,-
51,allR,STMUK_0530,-
52,allR,STMUK_0531,-
53,allR,STMUK_0532,-
54,allS,STMUK_0533,+
55,allS,STMUK_0534,+
56,allS,STMUK_0535,+
63,appY,STMUK_1758,+
64,appY,STMUK_1759,+
65,appY,STMUK_1760,+
66,appY,STMUK_1761,+
67,appY,STMUK_1762,+
68,appY,STMUK_1763,+
69,appY,STMUK_1764,+
70,appY,STMUK_1765,+
72,araC,STMUK_0102,+-
73,araC,STMUK_0103,+-
74,araC,STMUK_0104,+-
75,araC,STMUK_0105,+-
76,araC,STMUK_0400,+
78,araC,STMUK_0036,-
81,araC,STMUK_3003,+
82,araC,STMUK_3004,+
83,araC,STMUK_3646,-
84,araC,STMUK_3647,-
87,arcA,STMUK_0002,-
88,arcA,STMUK_0003,-
89,arcA,STMUK_0004,-
90,arcA,STMUK_0044,+
91,arcA,STMUK_0046,+
92,arcA,STMUK_0047,+
93,arcA,STMUK_0048,+
94,arcA,STMUK_0049,+
95,arcA,STMUK_0050,+
96,arcA,STMUK_0067,+
97,arcA,STMUK_0068,+
98,arcA,STMUK_0070,+-
99,arcA,STMUK_0071,+-
100,arcA,STMUK_0072,+-
101,arcA,STMUK_0073,+-
102,arcA,STMUK_0074,+-
103,arcA,STMUK_0075,+-
104,arcA,STMUK_0112,+
105,arcA,STMUK_0113,+
106,arcA,STMUK_0114,+
107,arcA,STMUK_0115,+
108,arcA,STMUK_0116,+
109,arcA,STMUK_0154,-
110,arcA,STMUK_0155,-
111,arcA,STMUK_0156,-
113,arcA,STMUK_0160,-
114,arcA,STMUK_0315,-
124,arcA,STMUK_1074,-
127,arcA,STMUK_0446,-
128,arcA,STMUK_0447,-
129,arcA,STMUK_0448,-
130,arcA,STMUK_0449,-
131,arcA,STMUK_0450,-
133,arcA,STMUK_0610,+
134,arcA,STMUK_0624,-
135,arcA,STMUK_0625,-
136,arcA,STMUK_0626,-
137,arcA,STMUK_0627,-
138,arcA,STMUK_0628,-
139,arcA,STMUK_0629,-
140,arcA,STMUK_0630,+
141,arcA,STMUK_0631,+
142,arcA,STMUK_0632,+
143,arcA,STMUK_0710,+-
144,arcA,STMUK_0711,+-
145,arcA,STMUK_0712,+-
146,arcA,STMUK_0714,+
147,arcA,STMUK_0736,-
148,arcA,STMUK_0738,+-
149,arcA,STMUK_0739,+-
150,arcA,STMUK_0740,+-
151,arcA,STMUK_0741,+-
152,arcA,STMUK_0742,+-
153,arcA,STMUK_0743,+-
154,arcA,STMUK_0744,+-
155,arcA,STMUK_0745,+-
156,arcA,STMUK_0746,+-
157,arcA,STMUK_0747,+-
158,arcA,STMUK_0806,+
159,arcA,STMUK_0807,-
160,arcA,STMUK_0808,-
161,arcA,STMUK_0809,-
162,arcA,STMUK_0810,-
163,arcA,STMUK_0811,-
166,arcA,STMUK_0846,+-
167,arcA,STMUK_0848,+-
168,arcA,STMUK_0849,+-
170,arcA,STMUK_0850,+
171,arcA,STMUK_0851,+
172,arcA,STMUK_0852,+
173,arcA,STMUK_0853,+
174,arcA,STMUK_0854,+
175,arcA,STMUK_0855,+
176,arcA,STMUK_0856,+
177,arcA,STMUK_0857,+
178,arcA,STMUK_0858,-
179,arcA,STMUK_0883,-
180,arcA,STMUK_0884,-
181,arcA,STMUK_0885,-
182,arcA,STMUK_0886,-
183,arcA,STMUK_0908,+
184,arcA,STMUK_0909,-
185,arcA,STMUK_0910,-
186,arcA,STMUK_0912,-
187,arcA,STMUK_0913,-
189,arcA,STMUK_0921,+
190,arcA,STMUK_0924,+
191,arcA,STMUK_0925,+
192,arcA,STMUK_0939,+-
193,arcA,STMUK_0940,+-
194,arcA,STMUK_0970,+-
195,arcA,STMUK_1026,-
196,arcA,STMUK_1035,+-
197,arcA,STMUK_1054,+-
199,arcA,STMUK_1758,+
200,arcA,STMUK_1759,+
201,arcA,STMUK_1760,+
202,arcA,STMUK_1761,+
203,arcA,STMUK_1762,+
