,imodulon,kegg_id,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,pathway_name
0,0,map00564,0.00012536180338123932,0.026952787726966455,0.06666666666666667,0.6666666666666666,0.1212121212121212,2.0,30.0,3.0,Glycerophospholipid metabolism
1,prpR,map00640,4.538961846583175e-07,9.758767970153826e-05,0.08333333333333333,1.0,0.15384615384615385,3.0,36.0,3.0,Propanoate metabolism
2,fliA,map02030,6.0027093656785005e-09,1.2905825136208777e-06,0.21739130434782608,0.3333333333333333,0.26315789473684204,5.0,23.0,15.0,Bacterial chemotaxis
3,fliA,map02020,3.346726636771934e-07,3.597731134529829e-05,0.04294478527607362,0.4666666666666667,0.07865168539325844,7.0,163.0,15.0,Two-component system
4,fliA,map04621,6.053751994354491e-05,0.004338522262620719,0.5,0.13333333333333333,0.2105263157894737,2.0,4.0,15.0,NOD-like receptor signaling pathway
5,fliA,map05134,0.00010070379680595753,0.005412829078320218,0.4,0.13333333333333333,0.2,2.0,5.0,15.0,Legionellosis
6,fliA,map04626,0.00015076816035990948,0.006483030895476108,0.3333333333333333,0.13333333333333333,0.19047619047619044,2.0,6.0,15.0,Plant-pathogen interaction
7,6,map00564,5.540878249180342e-06,0.0011912888235737734,0.13333333333333333,0.21052631578947367,0.163265306122449,4.0,30.0,19.0,Glycerophospholipid metabolism
8,csgD,map02040,6.394050675781575e-10,1.3747208952930385e-07,0.13157894736842105,0.7142857142857143,0.2222222222222222,5.0,38.0,7.0,Flagellar assembly
9,9,map05100,6.794951067607903e-13,1.460914479535699e-10,0.7777777777777778,0.1320754716981132,0.22580645161290322,7.0,9.0,53.0,Bacterial invasion of epithelial cells
10,9,map05131,1.761993538946373e-10,1.894143054367351e-08,1.0,0.09433962264150944,0.1724137931034483,5.0,5.0,53.0,Shigellosis
11,9,map05132,2.7805352935493594e-07,1.992716960377041e-05,0.24,0.11320754716981132,0.15384615384615385,6.0,25.0,53.0,Salmonella infection
12,cusR,map00190,7.297938655290613e-07,0.0001569056810887482,0.07142857142857142,1.0,0.13333333333333333,3.0,42.0,3.0,Oxidative phosphorylation
