Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	GEO Series	GEO Sample	PMID	Biosample ID	biosample_strain	biosample_genotype	reference_sequence	project_name	condition_name	reference_condition	strain_description	base_media	carbon_source	nitrogen_source	aerobicity	supplement	temperature	pH	growth_phase	OD	additional_notes	ScientificName_curated	Host	Knockout	Other_available_omics	Biological_replicate	Technical_replicate	SampleID	R1	R2
SRX472912	2/19/15 0:00	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR1171871	SRP037769	PRJNA238153	238153	SRS556425	SAMN02614635	SRA140563	RNA-Seq	RANDOM	TRANSCRIPTOMIC		WASHINGTON STATE UNIVERSITY	0	0	653402			25364573	2614635	Typhimurium	WT	NC_016863.1, NC_016864.1	dam	WT_LB	WT_LB	WT	LB			Aerobic	additional 300 mM NaCl 	37C		log			Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1		WT		1	1	WT_LB		
SRX472917	2/19/15 0:00	990282	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	990282	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR1171879	SRP037769	PRJNA238153	238153	SRS559335	SAMN02639701	SRA140563	RNA-Seq	RANDOM	TRANSCRIPTOMIC		WASHINGTON STATE UNIVERSITY	0	0	653407			25364573	2639701	UK-1	dam	NC_016863.1, NC_016864.1	dam	dam_LMP	WT_LB	dam	LMP			Aerobic		37C		log			Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1		dam		1	1	dam_LMP		
SRX472931	2/19/15 0:00	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR1171887	SRP037769	PRJNA238153	238153	SRS559343	SAMN02641156	SRA140563	RNA-Seq	RANDOM	TRANSCRIPTOMIC		WASHINGTON STATE UNIVERSITY	0	0	653421			25364573	2641156	UK-1 DNA adenine methyltransferase knockout	dam	NC_016863.1, NC_016864.1	dam	dam_LB	WT_LB	dam	LB			Aerobic	additional 300 mM NaCl 	37C		log			Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1		dam		1	1	dam_LB		
SRX472922	2/19/15 0:00	59201	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	59201	Salmonella enterica	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR1171880	SRP037769	PRJNA238153	238153	SRS559337	SAMN02646018	SRA140563	RNA-Seq	RANDOM	TRANSCRIPTOMIC		WASHINGTON STATE UNIVERSITY	0	0	653412			25364573	2646018	UK-1	WT	NC_016863.1, NC_016864.1	dam	WT_LMP	WT_LB	WT	LMP			Aerobic		37C		log			Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1		WT		1	1	WT_LMP		
SRX1392946	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846606	SRP065437	PRJNA300406	300406	SRS1138038	SAMN04221294	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978705	GSE74433	GSM1920470	27601574	4221294	wildtype	wildtype	NC_016863.1, NC_016864.1	aroA	WT	WT	WT	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1		WT		1	1	WT_1		
SRX1392947	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846607	SRP065437	PRJNA300406	300406	SRS1138037	SAMN04221295	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978706	GSE74433	GSM1920471	27601574	4221295	wildtype	wildtype	NC_016863.1, NC_016864.1	aroA	WT	WT	WT	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1		WT		2	1	WT_2		
SRX1392948	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846608	SRP065437	PRJNA300406	300406	SRS1138036	SAMN04221296	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978707	GSE74433	GSM1920472	27601574	4221296	SF101	SF101	NC_016863.1, NC_016864.1	aroA	SF101	WT	del_aroA	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF101		aroA		1	1	SF101_1		
SRX1392949	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846609	SRP065437	PRJNA300406	300406	SRS1138035	SAMN04221297	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978708	GSE74433	GSM1920473	27601574	4221297	SF101	SF101	NC_016863.1, NC_016864.1	aroA	SF101	WT	del_aroA	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF101		aroA		2	1	SF101_2		
SRX1392950	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846610	SRP065437	PRJNA300406	300406	SRS1138033	SAMN04221298	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978709	GSE74433	GSM1920474	27601574	4221298	SF100	SF100	NC_016863.1, NC_016864.1	aroA	SF100	WT	ΔlpxR9 ΔpagL7 ΔpagP8	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF100		ΔlpxR9 ΔpagL7 ΔpagP8		1	1	SF100_1		
SRX1392951	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846611	SRP065437	PRJNA300406	300406	SRS1138027	SAMN04221299	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978710	GSE74433	GSM1920475	27601574	4221299	SF100	SF100	NC_016863.1, NC_016864.1	aroA	SF100	WT	ΔlpxR9 ΔpagL7 ΔpagP8	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF100		ΔlpxR9 ΔpagL7 ΔpagP8		2	1	SF100_2		
SRX1392952	8/9/16 15:48	90371	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	28901	1236	90371	Salmonella enterica	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2846612	SRP065437	PRJNA300406	300406	SRS1138034	SAMN04221300	SRA307745	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1978711	GSE74433	GSM1920476	27601574	4221300	SF102	SF102	NC_016863.1, NC_016864.1	aroA	SF102	WT	ΔlpxR9 ΔpagL7 ΔpagP8 ΔaroA	LB			Aerobic		37C		mid-log	2		Salmonella enterica subsp. enterica serovar Typhimurium str. SF102		ΔlpxR9 ΔpagL7 ΔpagP8 ΔaroA		1	1	SF102_1		
