,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STM0001,STM0001,100.0,21,0,0,1,21,1,21,8e-07,37.7,21,1.0,<=>
1,STM0002,STM0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STM0003,STM0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STM0004,STM0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STM0005,STM0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STM0006,STM0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
10,STM0007,STM0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
13,STM0008,STM0008,100.0,196,0,0,1,196,1,196,9.999999999999997e-143,397.0,196,1.0,<=>
15,STM0009,STM0009,100.0,188,0,0,1,188,1,188,6.999999999999997e-131,366.0,188,1.0,<=>
16,STM0010,STM0010,100.0,237,0,0,1,237,1,237,7.999999999999997e-176,484.0,237,1.0,<=>
17,STM0011,STM0011,100.0,134,0,0,1,134,1,134,5.9999999999999994e-96,273.0,134,1.0,<=>
18,STM0012,STM0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STM0013,STM0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STM0014,STM0014,100.0,315,0,0,1,315,1,315,0.0,646.0,315,1.0,<=>
34,STM0015,STM0015,100.0,114,0,0,1,114,1,114,2.9999999999999994e-78,227.0,114,1.0,<=>
35,STM0016,STM0016,100.0,177,0,0,1,177,1,177,4.9999999999999987e-132,369.0,177,1.0,<=>
36,STM0017,STM0017,100.0,147,0,0,1,147,1,147,1.9999999999999996e-106,301.0,147,1.0,<=>
40,STM0018,STM0018,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
41,STM0019,STM0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
42,STM0020,STM0020,100.0,234,0,0,1,234,1,234,1.9999999999999995e-177,488.0,234,1.0,<=>
45,STM0021,STM0021,100.0,180,0,0,1,180,1,180,7.999999999999997e-127,355.0,180,1.0,<=>
58,STM0022,STM0022,100.0,228,0,0,1,228,1,228,2.999999999999999e-166,459.0,228,1.0,<=>
71,STM0023,STM0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
83,STM0024,STM0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
88,STM0025,STM0025,100.0,181,0,0,1,181,1,181,3.9999999999999987e-134,374.0,181,1.0,<=>
102,STM0026,STM0026,100.0,172,0,0,1,172,1,172,6.999999999999998e-124,347.0,172,1.0,<=>
115,STM0027,STM0027,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
128,STM0028,STM0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
131,STM0029,STM0029,100.0,149,0,0,1,149,1,149,2.999999999999999e-108,306.0,149,1.0,<=>
137,STM0030,STM0030,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
155,STM0031,STM0031,100.0,146,0,0,1,146,1,146,6.999999999999999e-106,300.0,146,1.0,<=>
160,STM0032,STM0032,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
165,STM0033,STM0033,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
169,STM0034,STM0034,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
171,STM0035,STM0035,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
175,STM0036,STM0036,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
180,STM0037,STM0037,100.0,417,0,0,1,417,1,417,0.0,872.0,417,1.0,<=>
182,STM0038,STM0038,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
187,STM0039,STM0039,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
188,STM0040,STM0040,100.0,299,0,0,1,299,1,299,0.0,621.0,299,1.0,<=>
205,STM0041,STM0041,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
208,STM0042,STM0042,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
215,STM0043,STM0043,100.0,87,0,0,1,87,1,87,1e-56,170.0,87,1.0,<=>
216,STM0044,STM0044,100.0,71,0,0,1,71,1,71,1.9999999999999997e-47,145.0,71,1.0,<=>
217,STM0045,STM0045,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
218,STM0046,STM0046,100.0,944,0,0,1,944,1,944,0.0,1966.0,944,1.0,<=>
223,STM0047,STM0047,100.0,166,0,0,1,166,1,166,2.999999999999999e-119,335.0,166,1.0,<=>
224,STM0048,STM0048,100.0,149,0,0,1,149,1,149,9.999999999999998e-107,301.0,149,1.0,<=>
226,STM0049,STM0049,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
227,STM0050,STM0050,100.0,400,0,0,1,400,1,400,0.0,830.0,400,1.0,<=>
