,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
1,STM474_0002,SL1344_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STM474_0003,SL1344_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STM474_0004,SL1344_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STM474_0005,SL1344_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STM474_0006,SL1344_0006,100.0,476,0,0,10,485,1,476,0.0,955.0,485,0.9814432989690721,<=>
10,STM474_0007,SL1344_0007,100.0,317,0,0,24,340,1,317,0.0,650.0,340,0.9323529411764706,<=>
13,STM474_0008,SL1344_0008,100.0,196,0,0,1,196,1,196,1.5099999999999997e-144,397.0,196,1.0,<=>
15,STM474_0009,SL1344_0009,100.0,188,0,0,1,188,1,188,1.1099999999999999e-132,366.0,188,1.0,<=>
16,STM474_0010,SL1344_0010,100.0,237,0,0,1,237,1,237,1.0199999999999995e-177,484.0,237,1.0,<=>
17,STM474_0011,SL1344_0011,100.0,134,0,0,1,134,1,134,1.3999999999999998e-97,273.0,134,1.0,<=>
18,STM474_0013,SL1344_0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STM474_0014,SL1344_0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STM474_0015,SL1344_0014,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
33,STM474_0016,SL1344_0015,100.0,114,0,0,1,114,1,114,7.199999999999999e-80,227.0,114,1.0,<=>
34,STM474_0017,SL1344_0016,100.0,177,0,0,1,177,1,177,7.929999999999998e-134,369.0,177,1.0,<=>
35,STM474_0018,SL1344_0017,100.0,147,0,0,1,147,1,147,4.819999999999999e-108,301.0,147,1.0,<=>
39,STM474_0019,SL1344_0018,100.0,627,0,0,73,699,1,627,0.0,1288.0,699,0.8969957081545065,<=>
40,STM474_0020,SL1344_0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,STM474_0021,SL1344_0020,100.0,234,0,0,1,234,1,234,2.4499999999999993e-179,488.0,234,1.0,<=>
44,STM474_0022,SL1344_0021,100.0,180,0,0,1,180,1,180,1.4199999999999994e-128,355.0,180,1.0,<=>
57,STM474_0023,SL1344_0022,100.0,228,0,0,25,252,1,228,2.2499999999999996e-168,461.0,252,0.9047619047619048,<=>
70,STM474_0024,SL1344_0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
82,STM474_0025,SL1344_0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
86,STM474_0026,SL1344_0025,100.0,181,0,0,1,181,1,181,5.679999999999998e-136,374.0,181,1.0,<=>
100,STM474_0027,SL1344_0026,100.0,172,0,0,1,172,1,172,1.14e-125,347.0,172,1.0,<=>
113,STM474_0028,SL1344_0027,100.0,234,0,0,10,243,1,234,1.1699999999999997e-177,484.0,243,0.9629629629629629,<=>
126,STM474_0029,SL1344_0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
