,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,SL1344_0002,STM14_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
4,SL1344_0003,STM14_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
5,SL1344_0004,STM14_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
6,SL1344_0005,STM14_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
7,SL1344_0006,STM14_0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
9,SL1344_0007,STM14_0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
12,SL1344_0008,STM14_0008,100.0,196,0,0,1,196,1,196,1.5299999999999996e-144,397.0,196,1.0,<=>
14,SL1344_0009,STM14_0009,100.0,188,0,0,1,188,1,188,1.1199999999999998e-132,366.0,188,1.0,<=>
15,SL1344_0010,STM14_0010,100.0,237,0,0,1,237,1,237,1.0399999999999998e-177,484.0,237,1.0,<=>
16,SL1344_0011,STM14_0011,100.0,134,0,0,1,134,1,134,1.4099999999999994e-97,273.0,134,1.0,<=>
17,SL1344_0012,STM14_0013,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
22,SL1344_0013,STM14_0014,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
24,SL1344_0014,STM14_0016,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
33,SL1344_0015,STM14_0017,100.0,114,0,0,1,114,1,114,7.28e-80,227.0,114,1.0,<=>
34,SL1344_0016,STM14_0018,100.0,177,0,0,1,177,1,177,8.0199999999999975e-134,369.0,177,1.0,<=>
35,SL1344_0017,STM14_0019,99.32,147,1,0,1,147,1,147,3.0499999999999997e-107,299.0,147,1.0,<=>
39,SL1344_0018,STM14_0022,100.0,627,0,0,1,627,73,699,0.0,1288.0,627,1.0,<=>
40,SL1344_0019,STM14_0023,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,SL1344_0020,STM14_0025,100.0,234,0,0,1,234,1,234,2.4799999999999992e-179,488.0,234,1.0,<=>
44,SL1344_0021,STM14_0028,100.0,180,0,0,1,180,1,180,1.4299999999999995e-128,355.0,180,1.0,<=>
57,SL1344_0022,STM14_0029,99.561,228,1,0,1,228,48,275,3.019999999999999e-166,456.0,228,1.0,<=>
70,SL1344_0023,STM14_0030,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
82,SL1344_0024,STM14_0031,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
86,SL1344_0025,STM14_0032,100.0,181,0,0,1,181,1,181,5.739999999999999e-136,374.0,181,1.0,<=>
100,SL1344_0026,STM14_0033,100.0,172,0,0,1,172,1,172,1.1499999999999998e-125,347.0,172,1.0,<=>
113,SL1344_0027,STM14_0034,100.0,234,0,0,1,234,10,243,1.1399999999999997e-177,484.0,234,1.0,<=>
126,SL1344_0028,STM14_0035,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
129,SL1344_0029,STM14_0036,100.0,109,0,0,1,109,1,109,1.4499999999999996e-80,228.0,109,1.0,<=>
131,SL1344_0030,STM14_0037,100.0,149,0,0,1,149,1,149,5.639999999999999e-110,306.0,149,1.0,<=>
137,SL1344_0031,STM14_0038,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
155,SL1344_0032,STM14_0039,100.0,146,0,0,1,146,1,146,1.04e-107,300.0,146,1.0,<=>
160,SL1344_0033,STM14_0041,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
165,SL1344_0034,STM14_0042,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
169,SL1344_0035,STM14_0043,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
171,SL1344_0036,STM14_0044,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
175,SL1344_0037,STM14_0045,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
180,SL1344_0038,STM14_0046,99.76,417,1,0,1,417,1,417,0.0,871.0,417,1.0,<=>
182,SL1344_0039,STM14_0047,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
187,SL1344_0040,STM14_0048,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
188,SL1344_0041,STM14_0049,99.666,299,1,0,1,299,1,299,0.0,620.0,299,1.0,<=>
205,SL1344_0042,STM14_0050,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
208,SL1344_0043,STM14_0051,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
215,SL1344_0044,STM14_0052,100.0,87,0,0,1,87,1,87,4.04e-58,170.0,87,1.0,<=>
216,SL1344_0045,STM14_0053,100.0,71,0,0,1,71,1,71,1.02e-48,145.0,71,1.0,<=>
