,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,SL1344_0002,STMUK_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
4,SL1344_0003,STMUK_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
5,SL1344_0004,STMUK_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
6,SL1344_0005,STMUK_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
7,SL1344_0006,STMUK_0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
9,SL1344_0007,STMUK_0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
12,SL1344_0008,STMUK_0008,100.0,196,0,0,1,196,1,196,1.4499999999999995e-144,397.0,196,1.0,<=>
14,SL1344_0009,STMUK_0009,100.0,188,0,0,1,188,1,188,1.0699999999999999e-132,366.0,188,1.0,<=>
15,SL1344_0010,STMUK_0010,100.0,237,0,0,1,237,1,237,9.859999999999997e-178,484.0,237,1.0,<=>
16,SL1344_0011,STMUK_0011,100.0,134,0,0,1,134,1,134,1.35e-97,273.0,134,1.0,<=>
17,SL1344_0012,STMUK_0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
22,SL1344_0013,STMUK_0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
24,SL1344_0014,STMUK_0014,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
33,SL1344_0015,STMUK_0015,100.0,114,0,0,1,114,1,114,6.929999999999999e-80,227.0,114,1.0,<=>
34,SL1344_0016,STMUK_0016,100.0,177,0,0,1,177,1,177,7.639999999999997e-134,369.0,177,1.0,<=>
35,SL1344_0017,STMUK_0017,99.32,147,1,0,1,147,1,147,2.8999999999999986e-107,299.0,147,1.0,<=>
39,SL1344_0018,STMUK_0018,100.0,627,0,0,1,627,73,699,0.0,1288.0,627,1.0,<=>
40,SL1344_0019,STMUK_0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,SL1344_0020,STMUK_0020,100.0,234,0,0,1,234,1,234,2.3599999999999994e-179,488.0,234,1.0,<=>
