,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
1,STM474_0002,STMMW_00011,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STM474_0003,STMMW_00021,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STM474_0004,STMMW_00031,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STM474_0005,STMMW_00041,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STM474_0006,STMMW_00051,100.0,476,0,0,10,485,1,476,0.0,955.0,485,0.9814432989690721,<=>
10,STM474_0007,STMMW_00061,100.0,317,0,0,24,340,1,317,0.0,650.0,340,0.9323529411764706,<=>
13,STM474_0008,STMMW_00071,100.0,196,0,0,1,196,1,196,1.4599999999999996e-144,397.0,196,1.0,<=>
15,STM474_0009,STMMW_00081,100.0,188,0,0,1,188,1,188,1.0699999999999999e-132,366.0,188,1.0,<=>
16,STM474_0010,STMMW_00091,100.0,237,0,0,1,237,1,237,9.889999999999998e-178,484.0,237,1.0,<=>
17,STM474_0011,STMMW_00101,100.0,134,0,0,1,134,1,134,1.35e-97,273.0,134,1.0,<=>
18,STM474_0013,STMMW_00111,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STM474_0014,STMMW_00121,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STM474_0015,STMMW_00131,99.68299999999999,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
33,STM474_0016,STMMW_00141,100.0,114,0,0,1,114,1,114,6.949999999999999e-80,227.0,114,1.0,<=>
34,STM474_0017,STMMW_00151,100.0,177,0,0,1,177,1,177,7.659999999999997e-134,369.0,177,1.0,<=>
35,STM474_0018,STMMW_00161,100.0,147,0,0,1,147,1,147,4.65e-108,301.0,147,1.0,<=>
39,STM474_0019,STMMW_00171,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
40,STM474_0020,STMMW_00181,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,STM474_0021,STMMW_00191,100.0,234,0,0,1,234,1,234,2.3699999999999994e-179,488.0,234,1.0,<=>
44,STM474_0022,STMMW_00201,100.0,180,0,0,1,180,1,180,1.3699999999999998e-128,355.0,180,1.0,<=>
57,STM474_0023,STMMW_00211,99.561,228,1,0,25,252,1,228,3.409999999999999e-167,458.0,252,0.9047619047619048,<=>
69,STM474_0024,STMMW_00221,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
80,STM474_0025,STMMW_00231,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
84,STM474_0026,STMMW_00241,100.0,181,0,0,1,181,1,181,5.4799999999999985e-136,374.0,181,1.0,<=>
98,STM474_0027,STMMW_00251,100.0,172,0,0,1,172,1,172,1.0999999999999997e-125,347.0,172,1.0,<=>
111,STM474_0028,STMMW_00261,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
123,STM474_0029,STMMW_00271,99.64399999999999,281,1,0,1,281,1,281,0.0,577.0,281,1.0,<=>
125,STM474_0030,STMMW_00281,100.0,109,0,0,1,109,1,109,1.3899999999999997e-80,228.0,109,1.0,<=>
127,STM474_0031,STMMW_00291,100.0,149,0,0,1,149,1,149,5.389999999999999e-110,306.0,149,1.0,<=>
133,STM474_0033,STMMW_00301,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
150,STM474_0034,STMMW_00311,100.0,146,0,0,1,146,1,146,9.939999999999995e-108,300.0,146,1.0,<=>
155,STM474_0035,STMMW_00331,99.825,572,1,0,1,572,1,572,0.0,1190.0,572,1.0,<=>
160,STM474_0036,STMMW_00341,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
164,STM474_0037,STMMW_00351,100.0,253,0,0,5,257,1,253,0.0,521.0,257,0.9844357976653697,<=>
166,STM474_0038,STMMW_00361,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
170,STM474_0039,STMMW_00371,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
175,STM474_0040,STMMW_00381,99.76,417,1,0,1,417,1,417,0.0,871.0,417,1.0,<=>
177,STM474_0041,STMMW_00391,99.825,571,1,0,1,571,1,571,0.0,1185.0,571,1.0,<=>
182,STM474_0042,STMMW_00401,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
183,STM474_0043,STMMW_00411,100.0,299,0,0,1,299,1,299,0.0,621.0,299,1.0,<=>
200,STM474_0044,STMMW_00421,100.0,679,0,0,6,684,1,679,0.0,1419.0,684,0.9926900584795322,<=>
203,STM474_0045,STMMW_00431,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
210,STM474_0046,STMMW_00441,100.0,87,0,0,1,87,1,87,3.8599999999999994e-58,170.0,87,1.0,<=>
211,STM474_0047,STMMW_00451,100.0,71,0,0,1,71,1,71,9.729999999999999e-49,145.0,71,1.0,<=>
212,STM474_0048,STMMW_00461,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
213,STM474_0049,STMMW_00471,99.89399999999999,944,1,0,13,956,1,944,0.0,1964.0,956,0.9874476987447699,<=>
218,STM474_0050,STMMW_00481,100.0,166,0,0,1,166,1,166,4.34e-121,335.0,166,1.0,<=>
219,STM474_0051,STMMW_00491,100.0,149,0,0,1,149,1,149,2.3199999999999992e-108,301.0,149,1.0,<=>
221,STM474_0052,STMMW_00501,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
222,STM474_0053,STMMW_00511,100.0,400,0,0,8,407,1,400,0.0,831.0,407,0.9828009828009828,<=>
223,STM474_0054,STMMW_00521,100.0,306,0,0,1,306,1,306,0.0,629.0,306,1.0,<=>
225,STM474_0055,STMMW_00531,100.0,228,0,0,1,228,1,228,1.2499999999999997e-171,468.0,228,1.0,<=>
245,STM474_0056,STMMW_00541,100.0,539,0,0,14,552,1,539,0.0,1110.0,552,0.9764492753623188,<=>
258,STM474_0058,STMMW_00561,99.831,591,1,0,1,591,1,591,0.0,1199.0,591,1.0,<=>
262,STM474_0059,STMMW_00571,100.0,79,0,0,1,79,1,79,2.62e-52,154.0,79,1.0,<=>
264,STM474_0060,STMMW_00581,100.0,446,0,0,1,446,1,446,0.0,889.0,446,1.0,<=>
265,STM474_0061,STMMW_00591,99.713,348,0,1,1,348,1,347,0.0,713.0,348,1.0,<=>
267,STM474_0062,STMMW_00601,100.0,97,0,0,1,97,1,97,4.3499999999999995e-65,188.0,97,1.0,<=>
269,STM474_0063,STMMW_00611,100.0,289,0,0,1,289,1,289,0.0,587.0,289,1.0,<=>
273,STM474_0064,STMMW_00621,99.802,506,1,0,1,506,1,506,0.0,1041.0,506,1.0,<=>
275,STM474_0065,STMMW_00631,100.0,183,0,0,1,183,1,183,7.049999999999998e-136,374.0,183,1.0,<=>
277,STM474_0066,STMMW_00641,100.0,302,0,0,10,311,1,302,0.0,619.0,311,0.9710610932475884,<=>
281,STM474_0067,STMMW_00651,100.0,273,0,0,1,273,1,273,0.0,547.0,273,1.0,<=>
282,STM474_0069,STMMW_00681,99.738,382,1,0,10,391,1,382,0.0,792.0,391,0.9769820971867008,<=>
286,STM474_0070,STMMW_00691,100.0,1075,0,0,1,1075,1,1075,0.0,2208.0,1075,1.0,<=>
290,STM474_0071,STMMW_00701,100.0,131,0,0,1,131,1,131,1.4699999999999997e-96,270.0,131,1.0,<=>
292,STM474_0072,STMMW_00711,100.0,198,0,0,1,198,1,198,1.3099999999999999e-148,407.0,198,1.0,<=>
294,STM474_0073,STMMW_00721,100.0,261,0,0,1,261,1,261,0.0,526.0,261,1.0,<=>
298,STM474_0074,STMMW_00731,100.0,517,0,0,1,517,1,517,0.0,1084.0,517,1.0,<=>
307,STM474_0076,STMMW_00751,100.0,380,0,0,1,380,1,380,0.0,791.0,380,1.0,<=>
312,STM474_0077,STMMW_00761,100.0,505,0,0,1,505,1,505,0.0,1020.0,505,1.0,<=>
313,STM474_0079,STMMW_00771,100.0,256,0,0,1,256,1,256,0.0,514.0,256,1.0,<=>
