,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STM474_0001,STMUK_0001,100.0,21,0,0,1,21,1,21,1.58e-07,37.7,21,1.0,<=>
1,STM474_0002,STMUK_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STM474_0003,STMUK_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STM474_0004,STMUK_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STM474_0005,STMUK_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STM474_0006,STMUK_0006,100.0,476,0,0,10,485,1,476,0.0,955.0,485,0.9814432989690721,<=>
10,STM474_0007,STMUK_0007,100.0,317,0,0,24,340,1,317,0.0,650.0,340,0.9323529411764706,<=>
13,STM474_0008,STMUK_0008,100.0,196,0,0,1,196,1,196,1.4499999999999995e-144,397.0,196,1.0,<=>
15,STM474_0009,STMUK_0009,100.0,188,0,0,1,188,1,188,1.0699999999999999e-132,366.0,188,1.0,<=>
16,STM474_0010,STMUK_0010,100.0,237,0,0,1,237,1,237,9.859999999999997e-178,484.0,237,1.0,<=>
17,STM474_0011,STMUK_0011,100.0,134,0,0,1,134,1,134,1.35e-97,273.0,134,1.0,<=>
18,STM474_0013,STMUK_0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STM474_0014,STMUK_0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STM474_0015,STMUK_0014,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
34,STM474_0016,STMUK_0015,100.0,114,0,0,1,114,1,114,6.929999999999999e-80,227.0,114,1.0,<=>
35,STM474_0017,STMUK_0016,100.0,177,0,0,1,177,1,177,7.639999999999997e-134,369.0,177,1.0,<=>
36,STM474_0018,STMUK_0017,99.32,147,1,0,1,147,1,147,2.8999999999999986e-107,299.0,147,1.0,<=>
40,STM474_0019,STMUK_0018,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
41,STM474_0020,STMUK_0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
42,STM474_0021,STMUK_0020,100.0,234,0,0,1,234,1,234,2.3599999999999994e-179,488.0,234,1.0,<=>
45,STM474_0022,STMUK_0021,100.0,180,0,0,1,180,1,180,1.3599999999999998e-128,355.0,180,1.0,<=>
58,STM474_0023,STMUK_0022,99.561,228,1,0,25,252,1,228,3.389999999999999e-167,458.0,252,0.9047619047619048,<=>
71,STM474_0024,STMUK_0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
83,STM474_0025,STMUK_0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
87,STM474_0026,STMUK_0025,100.0,181,0,0,1,181,1,181,5.4599999999999986e-136,374.0,181,1.0,<=>
101,STM474_0027,STMUK_0026,100.0,172,0,0,1,172,1,172,1.0899999999999998e-125,347.0,172,1.0,<=>
114,STM474_0028,STMUK_0027,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
127,STM474_0029,STMUK_0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
130,STM474_0030,STMUK_0029,100.0,95,0,0,15,109,1,95,2.4899999999999993e-69,199.0,109,0.8715596330275229,<=>
132,STM474_0031,STMUK_0030,100.0,149,0,0,1,149,1,149,5.369999999999999e-110,306.0,149,1.0,<=>
138,STM474_0033,STMUK_0031,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
156,STM474_0034,STMUK_0032,100.0,146,0,0,1,146,1,146,9.909999999999998e-108,300.0,146,1.0,<=>
