locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot
STM474_p1001,finO,,21,584,-,conjugative transfer regulatory protein,Signal transduction mechanisms,E8XLC5
STM474_p1002,traX,,639,1379,-,conjugative transfer fimbrial acetylation protein,Function unknown,E8XLC6
STM474_p1003,traI,,1399,6657,-,conjugative transfer oriT nicking-unwinding protein,"Replication, recombination and repair",E8XLC7
STM474_p1004,trbH,,6654,7373,-,conjugative transfer protein,No COG annotation,E8XLC8
STM474_p1005,STM474_p1005,,6736,6966,+,putative cytoplasmic protein,Function unknown,E8XLC9
STM474_p1006,STM474_p1006,,6966,7364,+,plasmid maintenance protein,Function unknown,E8XLD0
STM474_p1007,traD,,7373,9535,-,conjugative transfer DNA transport protein,"Intracellular trafficking, secretion, and vesicular transport",E8XLD1
STM474_p1008,traT,,9912,10643,-,conjugative transfer surface exclusion protein,Function unknown,E8XLD2
STM474_p1009,traS,,10679,11173,-,entry exclusion protein,No COG annotation,E8XLD3
STM474_p1010,traG,,11189,14011,-,conjugal transfer mating pair stabilization protein TraG,Function unknown,E8XLD4
STM474_p1011,traH,,14008,15390,-,trah pilus assembly protein trah,Function unknown,E8XLD5
STM474_p1012,trbB,,15380,15928,-,conjugative transfer protein,Energy production and conversion,E8XLD6
STM474_p1013,traQ,,15915,16208,-,conjugal transfer pilin chaperone TraQ,Function unknown,E8XLD7
STM474_p1014,traF,,16422,17174,-,conjugative transfer assembly protein,Energy production and conversion,E8XLD8
STM474_p1015,trbE,,17183,17398,-,conjugative transfer protein,No COG annotation,E8XLD9
STM474_p1016,traN,,17409,19235,-,conjugative transfer aggregate stability protein,Function unknown,E8XLE0
STM474_p1017,STM474_p1017,,19232,19651,-,putative HNH endonuclease,"Replication, recombination and repair",E8XLE1
STM474_p1018,trbC,,19688,20326,-,conjugative transfer assembly protein,Function unknown,E8XLE2
STM474_p1019,STM474_p1019,,20311,20619,-,conjugative transfer protein,No COG annotation,E8XLE3
STM474_p1020,traU,,20638,21630,-,conjugative transfer assembly protein,Function unknown,E8XLE4
STM474_p1021,traW,,21627,22259,-,conjugative transfer assembly protein,Function unknown,E8XLE5
