,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STMDT2_00021,STM0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
4,STMDT2_00031,STM0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
5,STMDT2_00041,STM0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
6,STMDT2_00051,STM0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
7,STMDT2_00061,STM0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
9,STMDT2_00071,STM0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
12,STMDT2_00081,STM0008,100.0,196,0,0,1,196,1,196,9.999999999999997e-143,397.0,196,1.0,<=>
14,STMDT2_00091,STM0009,100.0,188,0,0,1,188,1,188,6.999999999999997e-131,366.0,188,1.0,<=>
15,STMDT2_00101,STM0010,100.0,237,0,0,1,237,1,237,7.999999999999997e-176,484.0,237,1.0,<=>
16,STMDT2_00111,STM0011,100.0,134,0,0,1,134,1,134,5.9999999999999994e-96,273.0,134,1.0,<=>
17,STMDT2_00121,STM0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
22,STMDT2_00131,STM0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
24,STMDT2_00141,STM0014,99.68,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
33,STMDT2_00151,STM0015,100.0,114,0,0,1,114,1,114,2.9999999999999994e-78,227.0,114,1.0,<=>
34,STMDT2_00161,STM0016,100.0,177,0,0,1,177,1,177,4.9999999999999987e-132,369.0,177,1.0,<=>
35,STMDT2_00171,STM0017,100.0,147,0,0,1,147,1,147,1.9999999999999996e-106,301.0,147,1.0,<=>
39,STMDT2_00181,STM0018,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
40,STMDT2_00191,STM0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,STMDT2_00201,STM0020,100.0,234,0,0,1,234,1,234,1.9999999999999995e-177,488.0,234,1.0,<=>
44,STMDT2_00211,STM0021,100.0,180,0,0,1,180,1,180,7.999999999999997e-127,355.0,180,1.0,<=>
57,STMDT2_00221,STM0022,100.0,228,0,0,1,228,1,228,2.999999999999999e-166,459.0,228,1.0,<=>
70,STMDT2_00231,STM0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
82,STMDT2_00241,STM0024,99.7,335,1,0,1,335,1,335,0.0,682.0,335,1.0,<=>
87,STMDT2_00251,STM0025,100.0,181,0,0,1,181,1,181,3.9999999999999987e-134,374.0,181,1.0,<=>
101,STMDT2_00261,STM0026,100.0,172,0,0,1,172,1,172,6.999999999999998e-124,347.0,172,1.0,<=>
114,STMDT2_00271,STM0027,99.57,234,1,0,1,234,10,243,2.999999999999999e-174,481.0,234,1.0,<=>
127,STMDT2_00281,STM0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
131,STMDT2_00301,STM0029,100.0,149,0,0,1,149,1,149,2.999999999999999e-108,306.0,149,1.0,<=>
137,STMDT2_00311,STM0030,99.7,334,1,0,1,334,1,334,0.0,686.0,334,1.0,<=>
155,STMDT2_00321,STM0031,99.32,146,1,0,1,146,1,146,4.999999999999999e-105,297.0,146,1.0,<=>
160,STMDT2_00331,STM0032,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
165,STMDT2_00341,STM0033,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
169,STMDT2_00351,STM0034,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
171,STMDT2_00361,STM0035,99.8,497,1,0,1,497,1,497,0.0,1023.0,497,1.0,<=>
175,STMDT2_00371,STM0036,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
180,STMDT2_00381,STM0037,100.0,417,0,0,1,417,1,417,0.0,872.0,417,1.0,<=>
182,STMDT2_00391,STM0038,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
187,STMDT2_00401,STM0039,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
188,STMDT2_00411,STM0040,100.0,299,0,0,1,299,1,299,0.0,621.0,299,1.0,<=>
205,STMDT2_00421,STM0041,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
208,STMDT2_00431,STM0042,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
215,STMDT2_00441,STM0043,100.0,87,0,0,1,87,1,87,1e-56,170.0,87,1.0,<=>
216,STMDT2_00451,STM0044,100.0,71,0,0,1,71,1,71,1.9999999999999997e-47,145.0,71,1.0,<=>
217,STMDT2_00461,STM0045,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
218,STMDT2_00471,STM0046,100.0,944,0,0,1,944,1,944,0.0,1966.0,944,1.0,<=>
223,STMDT2_00481,STM0047,100.0,166,0,0,1,166,1,166,2.999999999999999e-119,335.0,166,1.0,<=>
224,STMDT2_00491,STM0048,100.0,149,0,0,1,149,1,149,9.999999999999998e-107,301.0,149,1.0,<=>
226,STMDT2_00501,STM0049,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
227,STMDT2_00511,STM0050,100.0,400,0,0,1,400,1,400,0.0,830.0,400,1.0,<=>
228,STMDT2_00521,STM0051,100.0,306,0,0,1,306,1,306,0.0,629.0,306,1.0,<=>
230,STMDT2_00531,STM0052,100.0,228,0,0,1,228,1,228,9.999999999999997e-170,468.0,228,1.0,<=>
250,STMDT2_00541,STM0053,99.63,539,2,0,1,539,1,539,0.0,1106.0,539,1.0,<=>
263,STMDT2_00571,STM0056,100.0,79,0,0,1,79,1,79,7e-51,154.0,79,1.0,<=>
266,STMDT2_00581,STM0057,100.0,446,0,0,1,446,1,446,0.0,889.0,446,1.0,<=>
267,STMDT2_00591,STM0058,100.0,347,0,0,1,347,1,347,0.0,717.0,347,1.0,<=>
269,STMDT2_00601,STM0059,100.0,97,0,0,1,97,1,97,9.999999999999998e-64,188.0,97,1.0,<=>
271,STMDT2_00611,STM0060,99.65,289,1,0,1,289,1,289,0.0,586.0,289,1.0,<=>
275,STMDT2_00621,STM0061,100.0,506,0,0,1,506,1,506,0.0,1043.0,506,1.0,<=>
277,STMDT2_00631,STM0062,100.0,183,0,0,1,183,1,183,4.999999999999999e-134,374.0,183,1.0,<=>
279,STMDT2_00641,STM0063,99.66,297,1,0,1,297,6,302,0.0,608.0,297,1.0,<=>
