,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,SL1344_0002,STM474_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
4,SL1344_0003,STM474_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
5,SL1344_0004,STM474_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
6,SL1344_0005,STM474_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
7,SL1344_0006,STM474_0006,100.0,476,0,0,1,476,10,485,0.0,955.0,476,1.0,<=>
9,SL1344_0007,STM474_0007,100.0,317,0,0,1,317,24,340,0.0,650.0,317,1.0,<=>
12,SL1344_0008,STM474_0008,100.0,196,0,0,1,196,1,196,1.5099999999999997e-144,397.0,196,1.0,<=>
14,SL1344_0009,STM474_0009,100.0,188,0,0,1,188,1,188,1.1099999999999999e-132,366.0,188,1.0,<=>
15,SL1344_0010,STM474_0010,100.0,237,0,0,1,237,1,237,1.0199999999999995e-177,484.0,237,1.0,<=>
16,SL1344_0011,STM474_0011,100.0,134,0,0,1,134,1,134,1.3999999999999998e-97,273.0,134,1.0,<=>
17,SL1344_0012,STM474_0013,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
22,SL1344_0013,STM474_0014,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
24,SL1344_0014,STM474_0015,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
33,SL1344_0015,STM474_0016,100.0,114,0,0,1,114,1,114,7.189999999999999e-80,227.0,114,1.0,<=>
34,SL1344_0016,STM474_0017,100.0,177,0,0,1,177,1,177,7.919999999999998e-134,369.0,177,1.0,<=>
35,SL1344_0017,STM474_0018,100.0,147,0,0,1,147,1,147,4.809999999999999e-108,301.0,147,1.0,<=>
39,SL1344_0018,STM474_0019,100.0,627,0,0,1,627,73,699,0.0,1288.0,627,1.0,<=>
40,SL1344_0019,STM474_0020,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,SL1344_0020,STM474_0021,100.0,234,0,0,1,234,1,234,2.4499999999999993e-179,488.0,234,1.0,<=>
44,SL1344_0021,STM474_0022,100.0,180,0,0,1,180,1,180,1.4099999999999997e-128,355.0,180,1.0,<=>
57,SL1344_0022,STM474_0023,100.0,228,0,0,1,228,25,252,2.0299999999999991e-168,461.0,228,1.0,<=>
70,SL1344_0023,STM474_0024,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
82,SL1344_0024,STM474_0025,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
86,SL1344_0025,STM474_0026,100.0,181,0,0,1,181,1,181,5.669999999999999e-136,374.0,181,1.0,<=>
100,SL1344_0026,STM474_0027,100.0,172,0,0,1,172,1,172,1.14e-125,347.0,172,1.0,<=>
113,SL1344_0027,STM474_0028,100.0,234,0,0,1,234,10,243,1.1299999999999996e-177,484.0,234,1.0,<=>
126,SL1344_0028,STM474_0029,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
129,SL1344_0029,STM474_0030,100.0,109,0,0,1,109,1,109,1.4399999999999998e-80,228.0,109,1.0,<=>
131,SL1344_0030,STM474_0031,100.0,149,0,0,1,149,1,149,5.569999999999998e-110,306.0,149,1.0,<=>
137,SL1344_0031,STM474_0033,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
156,SL1344_0032,STM474_0034,100.0,146,0,0,1,146,1,146,1.0299999999999998e-107,300.0,146,1.0,<=>
161,SL1344_0033,STM474_0035,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
166,SL1344_0034,STM474_0036,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
170,SL1344_0035,STM474_0037,100.0,253,0,0,1,253,5,257,0.0,521.0,253,1.0,<=>
172,SL1344_0036,STM474_0038,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
176,SL1344_0037,STM474_0039,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
181,SL1344_0038,STM474_0040,100.0,417,0,0,1,417,1,417,0.0,872.0,417,1.0,<=>
183,SL1344_0039,STM474_0041,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
188,SL1344_0040,STM474_0042,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
189,SL1344_0041,STM474_0043,100.0,299,0,0,1,299,1,299,0.0,621.0,299,1.0,<=>
206,SL1344_0042,STM474_0044,100.0,679,0,0,1,679,6,684,0.0,1419.0,679,1.0,<=>
209,SL1344_0043,STM474_0045,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
216,SL1344_0044,STM474_0046,100.0,87,0,0,1,87,1,87,3.9899999999999994e-58,170.0,87,1.0,<=>
217,SL1344_0045,STM474_0047,100.0,71,0,0,1,71,1,71,1.01e-48,145.0,71,1.0,<=>
218,SL1344_0046,STM474_0048,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
219,SL1344_0047,STM474_0049,100.0,944,0,0,1,944,13,956,0.0,1966.0,944,1.0,<=>
224,SL1344_0048,STM474_0050,100.0,166,0,0,1,166,1,166,4.479999999999998e-121,335.0,166,1.0,<=>
225,SL1344_0049,STM474_0051,100.0,149,0,0,1,149,1,149,2.399999999999999e-108,301.0,149,1.0,<=>
227,SL1344_0050,STM474_0052,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
228,SL1344_0051,STM474_0053,100.0,400,0,0,1,400,8,407,0.0,831.0,400,1.0,<=>
229,SL1344_0052,STM474_0054,100.0,306,0,0,1,306,1,306,0.0,629.0,306,1.0,<=>
231,SL1344_0053,STM474_0055,100.0,228,0,0,1,228,1,228,1.2899999999999997e-171,468.0,228,1.0,<=>
251,SL1344_0054,STM474_0056,100.0,539,0,0,1,539,14,552,0.0,1110.0,539,1.0,<=>
264,SL1344_0056,STM474_0058,100.0,591,0,0,1,591,1,591,0.0,1202.0,591,1.0,<=>
268,SL1344_0057,STM474_0059,100.0,79,0,0,1,79,1,79,2.7099999999999995e-52,154.0,79,1.0,<=>
271,SL1344_0058,STM474_0060,100.0,446,0,0,1,446,1,446,0.0,889.0,446,1.0,<=>
272,SL1344_0059,STM474_0061,100.0,348,0,0,1,348,1,348,0.0,719.0,348,1.0,<=>
274,SL1344_0060,STM474_0062,100.0,97,0,0,1,97,1,97,4.5e-65,188.0,97,1.0,<=>
276,SL1344_0061,STM474_0063,100.0,289,0,0,1,289,1,289,0.0,587.0,289,1.0,<=>
280,SL1344_0062,STM474_0064,100.0,506,0,0,1,506,1,506,0.0,1043.0,506,1.0,<=>
282,SL1344_0063,STM474_0065,100.0,183,0,0,1,183,1,183,7.289999999999997e-136,374.0,183,1.0,<=>
284,SL1344_0064,STM474_0066,99.663,297,1,0,1,297,15,311,0.0,608.0,297,1.0,<=>
288,SL1344_0065,STM474_0067,100.0,273,0,0,1,273,1,273,0.0,547.0,273,1.0,<=>
289,SL1344_0067,STM474_0069,99.738,382,1,0,1,382,10,391,0.0,792.0,382,1.0,<=>
293,SL1344_0068,STM474_0070,100.0,1075,0,0,1,1075,1,1075,0.0,2208.0,1075,1.0,<=>
