,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STM474_0001,STM0001,100.0,21,0,0,1,21,1,21,8e-07,37.7,21,1.0,<=>
1,STM474_0002,STM0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STM474_0003,STM0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STM474_0004,STM0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STM474_0005,STM0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STM474_0006,STM0006,100.0,476,0,0,10,485,1,476,0.0,955.0,485,0.9814432989690721,<=>
10,STM474_0007,STM0007,100.0,317,0,0,24,340,1,317,0.0,650.0,340,0.9323529411764706,<=>
13,STM474_0008,STM0008,100.0,196,0,0,1,196,1,196,9.999999999999997e-143,397.0,196,1.0,<=>
15,STM474_0009,STM0009,100.0,188,0,0,1,188,1,188,6.999999999999997e-131,366.0,188,1.0,<=>
16,STM474_0010,STM0010,100.0,237,0,0,1,237,1,237,7.999999999999997e-176,484.0,237,1.0,<=>
17,STM474_0011,STM0011,100.0,134,0,0,1,134,1,134,5.9999999999999994e-96,273.0,134,1.0,<=>
18,STM474_0013,STM0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STM474_0014,STM0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STM474_0015,STM0014,99.68,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
34,STM474_0016,STM0015,100.0,114,0,0,1,114,1,114,2.9999999999999994e-78,227.0,114,1.0,<=>
35,STM474_0017,STM0016,100.0,177,0,0,1,177,1,177,4.9999999999999987e-132,369.0,177,1.0,<=>
36,STM474_0018,STM0017,100.0,147,0,0,1,147,1,147,1.9999999999999996e-106,301.0,147,1.0,<=>
40,STM474_0019,STM0018,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
41,STM474_0020,STM0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
42,STM474_0021,STM0020,100.0,234,0,0,1,234,1,234,1.9999999999999995e-177,488.0,234,1.0,<=>
45,STM474_0022,STM0021,100.0,180,0,0,1,180,1,180,7.999999999999997e-127,355.0,180,1.0,<=>
58,STM474_0023,STM0022,99.56,228,1,0,25,252,1,228,2.999999999999999e-165,458.0,252,0.9047619047619048,<=>
71,STM474_0024,STM0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
83,STM474_0025,STM0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
88,STM474_0026,STM0025,100.0,181,0,0,1,181,1,181,3.9999999999999987e-134,374.0,181,1.0,<=>
102,STM474_0027,STM0026,100.0,172,0,0,1,172,1,172,6.999999999999998e-124,347.0,172,1.0,<=>
115,STM474_0028,STM0027,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
128,STM474_0029,STM0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
132,STM474_0031,STM0029,100.0,149,0,0,1,149,1,149,2.999999999999999e-108,306.0,149,1.0,<=>
138,STM474_0033,STM0030,99.7,334,1,0,1,334,1,334,0.0,686.0,334,1.0,<=>
156,STM474_0034,STM0031,99.32,146,1,0,1,146,1,146,4.999999999999999e-105,297.0,146,1.0,<=>
161,STM474_0035,STM0032,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
166,STM474_0036,STM0033,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
170,STM474_0037,STM0034,100.0,253,0,0,5,257,1,253,0.0,521.0,257,0.9844357976653697,<=>
172,STM474_0038,STM0035,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
176,STM474_0039,STM0036,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
181,STM474_0040,STM0037,99.76,417,1,0,1,417,1,417,0.0,871.0,417,1.0,<=>
183,STM474_0041,STM0038,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
188,STM474_0042,STM0039,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
189,STM474_0043,STM0040,100.0,299,0,0,1,299,1,299,0.0,621.0,299,1.0,<=>
206,STM474_0044,STM0041,100.0,679,0,0,6,684,1,679,0.0,1419.0,684,0.9926900584795322,<=>
209,STM474_0045,STM0042,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
216,STM474_0046,STM0043,100.0,87,0,0,1,87,1,87,1e-56,170.0,87,1.0,<=>
217,STM474_0047,STM0044,100.0,71,0,0,1,71,1,71,1.9999999999999997e-47,145.0,71,1.0,<=>
218,STM474_0048,STM0045,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
219,STM474_0049,STM0046,99.89,944,1,0,13,956,1,944,0.0,1964.0,956,0.9874476987447699,<=>
224,STM474_0050,STM0047,100.0,166,0,0,1,166,1,166,2.999999999999999e-119,335.0,166,1.0,<=>
225,STM474_0051,STM0048,100.0,149,0,0,1,149,1,149,9.999999999999998e-107,301.0,149,1.0,<=>
227,STM474_0052,STM0049,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
228,STM474_0053,STM0050,100.0,400,0,0,8,407,1,400,0.0,831.0,407,0.9828009828009828,<=>
229,STM474_0054,STM0051,100.0,306,0,0,1,306,1,306,0.0,629.0,306,1.0,<=>
231,STM474_0055,STM0052,100.0,228,0,0,1,228,1,228,9.999999999999997e-170,468.0,228,1.0,<=>
251,STM474_0056,STM0053,99.81,539,1,0,14,552,1,539,0.0,1108.0,552,0.9764492753623188,<=>
264,STM474_0058,STM3352,100.0,591,0,0,1,591,1,591,0.0,1202.0,591,1.0,<=>
267,STM474_0059,STM0056,100.0,79,0,0,1,79,1,79,7e-51,154.0,79,1.0,<=>
270,STM474_0060,STM0057,100.0,446,0,0,1,446,1,446,0.0,889.0,446,1.0,<=>
271,STM474_0061,STM0058,99.71,348,0,1,1,348,1,347,0.0,713.0,348,1.0,<=>
273,STM474_0062,STM0059,100.0,97,0,0,1,97,1,97,9.999999999999998e-64,188.0,97,1.0,<=>
275,STM474_0063,STM0060,99.65,289,1,0,1,289,1,289,0.0,586.0,289,1.0,<=>
279,STM474_0064,STM0061,100.0,506,0,0,1,506,1,506,0.0,1043.0,506,1.0,<=>
281,STM474_0065,STM0062,100.0,183,0,0,1,183,1,183,4.999999999999999e-134,374.0,183,1.0,<=>
283,STM474_0066,STM0063,100.0,302,0,0,10,311,1,302,0.0,619.0,311,0.9710610932475884,<=>
287,STM474_0067,STM0064,100.0,273,0,0,1,273,1,273,0.0,547.0,273,1.0,<=>
288,STM474_0069,STM0066,99.74,382,1,0,10,391,1,382,0.0,792.0,391,0.9769820971867008,<=>
292,STM474_0070,STM0067,100.0,1075,0,0,1,1075,1,1075,0.0,2208.0,1075,1.0,<=>
296,STM474_0071,STM0068,100.0,131,0,0,1,131,1,131,6.999999999999998e-95,270.0,131,1.0,<=>
297,STM474_0072,STM0069,100.0,198,0,0,1,198,1,198,8.999999999999998e-147,407.0,198,1.0,<=>
299,STM474_0073,STM0070,100.0,261,0,0,1,261,1,261,0.0,526.0,261,1.0,<=>
303,STM474_0074,STM0071,100.0,517,0,0,1,517,1,517,0.0,1084.0,517,1.0,<=>
312,STM474_0076,STM0073,100.0,380,0,0,1,380,1,380,0.0,791.0,380,1.0,<=>
317,STM474_0077,STM0074,99.8,505,1,0,1,505,1,505,0.0,1019.0,505,1.0,<=>
318,STM474_0079,STM0075,100.0,256,0,0,1,256,1,256,0.0,514.0,256,1.0,<=>
321,STM474_0080,STM0076,100.0,313,0,0,1,313,1,313,0.0,644.0,313,1.0,<=>
324,STM474_0081,STM0077,99.77,428,1,0,1,428,1,428,0.0,867.0,428,1.0,<=>
328,STM474_0082,STM0078,100.0,95,0,0,1,95,1,95,1.9999999999999996e-67,198.0,95,1.0,<=>
330,STM474_0084,STM0079,100.0,446,0,0,1,446,1,446,0.0,893.0,446,1.0,<=>
350,STM474_0085,STM0080,100.0,76,0,0,12,87,1,76,9.999999999999999e-52,157.0,87,0.8735632183908046,<=>
355,STM474_0086,STM0081,100.0,138,0,0,1,138,1,138,7.999999999999998e-103,291.0,138,1.0,<=>
356,STM474_0087,STM0082,100.0,96,0,0,1,96,1,96,5e-66,194.0,96,1.0,<=>
360,STM474_0088,STM0084,100.0,629,0,0,1,629,1,629,0.0,1318.0,629,1.0,<=>
365,STM474_0089,STM0085,100.0,176,0,0,1,176,1,176,1.9999999999999995e-131,367.0,176,1.0,<=>
