,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STMUK_0001,STM474_0001,100.0,21,0,0,1,21,1,21,1.6399999999999999e-07,37.7,21,1.0,<=>
1,STMUK_0002,STM474_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STMUK_0003,STM474_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STMUK_0004,STM474_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STMUK_0005,STM474_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STMUK_0006,STM474_0006,100.0,476,0,0,1,476,10,485,0.0,955.0,476,1.0,<=>
10,STMUK_0007,STM474_0007,100.0,317,0,0,1,317,24,340,0.0,650.0,317,1.0,<=>
13,STMUK_0008,STM474_0008,100.0,196,0,0,1,196,1,196,1.5099999999999997e-144,397.0,196,1.0,<=>
15,STMUK_0009,STM474_0009,100.0,188,0,0,1,188,1,188,1.1099999999999999e-132,366.0,188,1.0,<=>
16,STMUK_0010,STM474_0010,100.0,237,0,0,1,237,1,237,1.0199999999999995e-177,484.0,237,1.0,<=>
17,STMUK_0011,STM474_0011,100.0,134,0,0,1,134,1,134,1.3999999999999998e-97,273.0,134,1.0,<=>
18,STMUK_0012,STM474_0013,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STMUK_0013,STM474_0014,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STMUK_0014,STM474_0015,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
34,STMUK_0015,STM474_0016,100.0,114,0,0,1,114,1,114,7.189999999999999e-80,227.0,114,1.0,<=>
35,STMUK_0016,STM474_0017,100.0,177,0,0,1,177,1,177,7.919999999999998e-134,369.0,177,1.0,<=>
36,STMUK_0017,STM474_0018,99.32,147,1,0,1,147,1,147,3.009999999999999e-107,299.0,147,1.0,<=>
40,STMUK_0018,STM474_0019,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
41,STMUK_0019,STM474_0020,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
42,STMUK_0020,STM474_0021,100.0,234,0,0,1,234,1,234,2.4499999999999993e-179,488.0,234,1.0,<=>
45,STMUK_0021,STM474_0022,100.0,180,0,0,1,180,1,180,1.4099999999999997e-128,355.0,180,1.0,<=>
58,STMUK_0022,STM474_0023,99.561,228,1,0,1,228,25,252,3.1899999999999988e-167,458.0,228,1.0,<=>
71,STMUK_0023,STM474_0024,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
83,STMUK_0024,STM474_0025,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
87,STMUK_0025,STM474_0026,100.0,181,0,0,1,181,1,181,5.669999999999999e-136,374.0,181,1.0,<=>
101,STMUK_0026,STM474_0027,100.0,172,0,0,1,172,1,172,1.14e-125,347.0,172,1.0,<=>
114,STMUK_0027,STM474_0028,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
127,STMUK_0028,STM474_0029,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
130,STMUK_0029,STM474_0030,100.0,95,0,0,1,95,15,109,2.2499999999999998e-69,199.0,95,1.0,<=>
