locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot
STMMW_00001,STMMW_00001,STM_MW00001,169,255,+,thr operon leader peptide,No COG annotation,A0A6C7I7J8
STMMW_00011,STMMW_00011,STM_MW00011,337,2799,+,aspartokinase I/homoserine dehydrogenase I,Amino acid transport and metabolism,A0A6C7I5W4
STMMW_00021,STMMW_00021,STM_MW00021,2801,3730,+,HK,Nucleotide transport and metabolism,A0A6C7I744
STMMW_00031,STMMW_00031,STM_MW00031,3734,5020,+,threonine synthase,Amino acid transport and metabolism,A0A6C7I787
STMMW_00041,STMMW_00041,STM_MW00041,5114,5887,-,conserved hypothetical protein,Function unknown,A0A6C7I6S2
STMMW_00051,STMMW_00051,STM_MW00051,5966,7396,-,putative amino-acid transport protein,"Intracellular trafficking, secretion, and vesicular transport",A0A6C7I5X1
STMMW_00061,STMMW_00061,STM_MW00061,7665,8618,+,transaldolase B,Nucleotide transport and metabolism,A0A6C7I7L6
STMMW_00071,STMMW_00071,STM_MW00071,8729,9319,+,molybdopterin biosynthesis Mog protein,Coenzyme transport and metabolism,A0A6C7I6C3
STMMW_00081,STMMW_00081,STM_MW00081,9376,9942,-,putative membrane protein,Function unknown,A0A6C7I909
STMMW_00091,STMMW_00091,STM_MW00091,10092,10805,-,conserved hypothetical protein,Function unknown,A0A6C7I6I9
STMMW_00101,STMMW_00101,STM_MW00101,10841,11245,-,putative exported protein,Function unknown,A0A6C7I7L0
STMMW_00111,STMMW_00111,STM_MW00111,11593,13509,+,DnaK protein (heat shock protein 70),"Post-translational modification, protein turnover,and chaperones",A0A6C7I5Y5
STMMW_00121,STMMW_00121,STM_MW00121,13595,14734,+,DNAJ protein,"Post-translational modification, protein turnover,and chaperones",A0A6C7I753
STMMW_00131,STMMW_00131,STM_MW00131,15014,15961,+,putative regulatory protein,Transcription,A0A6C7I799
STMMW_00141,STMMW_00141,STM_MW00141,16088,16432,+,putative phage protein,Function unknown,A0A6C7I6T3
STMMW_00151,STMMW_00151,STM_MW00151,16493,17026,-,conserved hypothetical protein,Function unknown,A0A6C7I5Y4
STMMW_00161,STMMW_00161,STM_MW00161,17043,17486,-,putative membrane protein,Transcription,A0A6C7I7M8
STMMW_00171,STMMW_00171,STM_MW00171,17867,19966,+,putative chitinase,Carbohydrate transport and metabolism,A0A6C7I6D3
STMMW_00181,STMMW_00181,STM_MW00181,20058,23054,+,putative chitinase,Function unknown,A0A6C7I919
STMMW_00191,STMMW_00191,STM_MW00191,23335,24039,+,conserved hypothetical protein,Signal transduction mechanisms,A0A6C7I6J9
STMMW_00201,STMMW_00201,STM_MW00201,24469,25011,+,fimbrial subunit,Cell motility,A0A6C7I7M2
STMMW_00211,STMMW_00211,STM_MW00211,25112,25798,+,fimbrial chaperone,Cell wall/membrane/envelope biogenesis,A0A6C7I5Z7
STMMW_00221,STMMW_00221,STM_MW00221,25803,28424,+,fimbrial usher protein,Cell motility,A0A6C7I764
STMMW_00231,STMMW_00231,STM_MW00231,28425,29432,+,fimbrial subunit,Cell motility,A0A6C7I7B0
STMMW_00241,STMMW_00241,STM_MW00241,29433,29978,+,fimbrial subunit,Cell motility,A0A6C7I6U2
STMMW_00251,STMMW_00251,STM_MW00251,29994,30512,+,fimbrial subunit,Cell motility,A0A6C7I5Z4
STMMW_00261,STMMW_00261,STM_MW00261,30478,31209,+,fimbrial chaperone,Cell motility,A0A6C7I7N9
STMMW_00271,STMMW_00271,STM_MW00271,31274,32119,+,putative exported protein,"Post-translational modification, protein turnover,and chaperones",A0A6C7I6E2
STMMW_00281,STMMW_00281,STM_MW00281,32116,32445,+,putative membrane protein,No COG annotation,A0A6C7I929
STMMW_00291,STMMW_00291,STM_MW00291,32545,32994,-,putative membrane protein,Transcription,A0A6C7I6L1
STMMW_00301,STMMW_00301,STM_MW00301,33364,34368,+,putative transcriptional regulator (LysR family),Transcription,A0A6C7I7N2
STMMW_00311,STMMW_00311,STM_MW00311,34376,34816,-,putative transcriptional regulator,Transcription,A0A6C7I607
STMMW_00331,STMMW_00331,STM_MW00331,35339,37057,+,possible sulfatase,Cell wall/membrane/envelope biogenesis,A0A6C7I775
STMMW_00341,STMMW_00341,STM_MW00341,37103,38674,-,putative secreted 5'-nucleotidase,Nucleotide transport and metabolism,A0A6C7I7B7
STMMW_00351,STMMW_00351,STM_MW00351,38773,39534,-,putative exported protein,Function unknown,A0A6C7I6V1
STMMW_00361,STMMW_00361,STM_MW00361,40131,41624,+,putative secreted sulfatase,Inorganic ion transport and metabolism,A0A6C7I605
STMMW_00371,STMMW_00371,STM_MW00371,41723,42913,+,possible sulfatase regulatory protein,Energy production and conversion,A0A6C7I7Q0
STMMW_00381,STMMW_00381,STM_MW00381,42932,44185,+,conserved hypothetical protein,"Replication, recombination and repair",A0A6C7I6F0
STMMW_00391,STMMW_00391,STM_MW00391,44312,46027,+,possible sulfatase,Cell wall/membrane/envelope biogenesis,A0A6C7I939
STMMW_00401,STMMW_00401,STM_MW00401,46190,47356,+,Na(+)/H(+) antiporter 1,Inorganic ion transport and metabolism,A0A6C7I6M3
STMMW_00411,STMMW_00411,STM_MW00411,47418,48317,+,transcriptional activator protein NhaR,Transcription,A0A6C7I7P6
STMMW_00421,STMMW_00421,STM_MW00421,48372,50411,-,putative glycosyl hydrolase,Carbohydrate transport and metabolism,A0A6C7I621
STMMW_00431,STMMW_00431,STM_MW00431,50451,51824,-,putative transport protein,Inorganic ion transport and metabolism,A0A6C7I786
STMMW_00441,STMMW_00441,STM_MW00441,52280,52543,-,30S ribosomal protein S20,"Translation, ribosomal structure and biogenesis",A0A6C7I7C9
STMMW_00451,STMMW_00451,STM_MW00451,52649,52864,+,conserved hypothetical protein,Function unknown,A0A6C7I6W2
STMMW_00461,STMMW_00461,STM_MW00461,52872,53810,+,riboflavin biosynthesis protein RibF,Coenzyme transport and metabolism,A0A6C7I614
STMMW_00471,STMMW_00471,STM_MW00471,53855,56689,+,isoleucyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",A0A6C7I7R1
STMMW_00481,STMMW_00481,STM_MW00481,56689,57189,+,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,A0A6C7I6F9
STMMW_00491,STMMW_00491,STM_MW00491,57344,57793,+,probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase,Carbohydrate transport and metabolism,A0A6C7I950
STMMW_00501,STMMW_00501,STM_MW00501,57796,58746,+,LytB protein,Lipid transport and metabolism,A0A6C7I6N4
STMMW_00511,STMMW_00511,STM_MW00511,58946,60148,+,conserved hypothetical protein,No COG annotation,A0A6C7I7Q5
STMMW_00521,STMMW_00521,STM_MW00521,60164,61084,+,putative nucleoside hydrolase (IUNH family),Carbohydrate transport and metabolism,A0A6C7I628
STMMW_00531,STMMW_00531,STM_MW00531,61106,61792,-,transcriptional regulatory protein citb,Transcription,A0A6C7I798
STMMW_00541,STMMW_00541,STM_MW00541,61794,63413,-,sensor kinase cita,Signal transduction mechanisms,A0A6C7I7D9
STMMW_00551,STMMW_00551,STM_MW00551,63548,64849,-,oxaloacetate decarboxylase beta chain (ec 4.1.1.3),Energy production and conversion,A0A6C7I6X3
STMMW_00561,STMMW_00561,STM_MW00561,64862,66637,-,oxaloacetate decarboxylase alpha chain,Energy production and conversion,A0A6C7I627
STMMW_00571,STMMW_00571,STM_MW00571,66654,66893,-,oxaloacetate decarboxylase gamma chain 1,Energy production and conversion,A0A6C7I7R9
STMMW_00581,STMMW_00581,STM_MW00581,67052,68392,-,citrate-sodium symporter,"Intracellular trafficking, secretion, and vesicular transport",A0A6C7I6G9
STMMW_00591,STMMW_00591,STM_MW00591,68637,69680,+,[citrate (PRO-3S)-lyase] ligase,Coenzyme transport and metabolism,A0A6C7I959
STMMW_00601,STMMW_00601,STM_MW00601,69710,70003,+,citrate lyase acyl carrier protein,Energy production and conversion,A0A6C7I6P7
