,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STMMW_00001,SL1344_0001,100.0,28,0,0,1,28,1,28,2.3500000000000003e-12,50.4,28,1.0,<=>
1,STMMW_00011,SL1344_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STMMW_00021,SL1344_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STMMW_00031,SL1344_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STMMW_00041,SL1344_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STMMW_00051,SL1344_0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
10,STMMW_00061,SL1344_0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
13,STMMW_00071,SL1344_0008,100.0,196,0,0,1,196,1,196,1.5099999999999997e-144,397.0,196,1.0,<=>
15,STMMW_00081,SL1344_0009,100.0,188,0,0,1,188,1,188,1.1099999999999999e-132,366.0,188,1.0,<=>
16,STMMW_00091,SL1344_0010,100.0,237,0,0,1,237,1,237,1.0199999999999995e-177,484.0,237,1.0,<=>
17,STMMW_00101,SL1344_0011,100.0,134,0,0,1,134,1,134,1.3999999999999998e-97,273.0,134,1.0,<=>
18,STMMW_00111,SL1344_0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STMMW_00121,SL1344_0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STMMW_00131,SL1344_0014,99.68299999999999,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
33,STMMW_00141,SL1344_0015,100.0,114,0,0,1,114,1,114,7.199999999999999e-80,227.0,114,1.0,<=>
34,STMMW_00151,SL1344_0016,100.0,177,0,0,1,177,1,177,7.929999999999998e-134,369.0,177,1.0,<=>
35,STMMW_00161,SL1344_0017,100.0,147,0,0,1,147,1,147,4.819999999999999e-108,301.0,147,1.0,<=>
39,STMMW_00171,SL1344_0018,100.0,627,0,0,73,699,1,627,0.0,1288.0,699,0.8969957081545065,<=>
40,STMMW_00181,SL1344_0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,STMMW_00191,SL1344_0020,100.0,234,0,0,1,234,1,234,2.4499999999999993e-179,488.0,234,1.0,<=>
44,STMMW_00201,SL1344_0021,100.0,180,0,0,1,180,1,180,1.4199999999999994e-128,355.0,180,1.0,<=>
57,STMMW_00211,SL1344_0022,99.561,228,1,0,1,228,1,228,3.0699999999999985e-167,457.0,228,1.0,<=>
70,STMMW_00221,SL1344_0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
82,STMMW_00231,SL1344_0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
86,STMMW_00241,SL1344_0025,100.0,181,0,0,1,181,1,181,5.679999999999998e-136,374.0,181,1.0,<=>
100,STMMW_00251,SL1344_0026,100.0,172,0,0,1,172,1,172,1.14e-125,347.0,172,1.0,<=>
113,STMMW_00261,SL1344_0027,100.0,234,0,0,10,243,1,234,1.1699999999999997e-177,484.0,243,0.9629629629629629,<=>
126,STMMW_00271,SL1344_0028,99.64399999999999,281,1,0,1,281,1,281,0.0,577.0,281,1.0,<=>
129,STMMW_00281,SL1344_0029,100.0,109,0,0,1,109,1,109,1.4399999999999998e-80,228.0,109,1.0,<=>
131,STMMW_00291,SL1344_0030,100.0,149,0,0,1,149,1,149,5.579999999999998e-110,306.0,149,1.0,<=>
