Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified,RNA,RNA_strains
85569.149,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 strain H11,,85569,WGS,H11,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2015-06-13T00:00:00Z,24030491,PRJEB2189,SAMEA773621,GCF_001218745.1,ERR026069,CTFW01000000,,SC,,,20x,,,,93,4952276,52.09,5104,4658,,,"derived isolates, we have used whole-genome sequencing to dissect the phylogenetic associations of the bacterium and its antimicrobial resistance genes through the course of an epidemic",1994,United Kingdom,Scotland,,,,,,"Human, Homo sapiens",,,,,,host_health_state:not known,Resistant;Susceptible,AMR Panel,,,,,,,,,,,"'Distinguishable epidemics of multidrug-resistant Salmonella Typhimurium DT104 in different hosts.' Pubmed ID: 24030491. The global epidemic of multidrug-resistant Salmonella Typhimurium DT104 provides an important example, both in terms of the agent and its resistance, of a widely disseminated zoonotic pathogen. Here, with an unprecedented national collection of isolates collected contemporaneously from humans and animals and including a sample of internationally derived isolates, we have used whole-genome sequencing to dissect the phylogenetic associations of the bacterium and its antimicrobial resistance genes through the course of an epidemic. Contrary to current tenets supporting a single homogeneous epidemic, we demonstrate that the bacterium and its resistance genes were largely maintained within animal and human populations separately and that there was limited transmission, in either direction. We also show considerable variation in the resistance profiles, in contrast to the largely stable bacterial core genome, which emphasizes the critical importance of integrated genotypic data sets in understanding the ecology of bacterial zoonoses and antimicrobial resistance.",isolate:H11,99.8,99.3,100,,,Good,2016-01-17T16:48:11.242Z,2016-01-17T16:48:11.242Z,No_RNA_Seq,
90371.2941,Salmonella enterica subsp. enterica serovar Typhimurium strain 142,,90371,WGS,142,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2018-05-02T00:00:00Z,,PRJNA433689,SAMN08514356,GCA_003119175.1,,QDPC01000000,,Keri Norman's shared submissions,,Illumina MiSeq,105x,SPAdes v. 3.10.1,,,72,4787386,52.180126,4980,4816,,feces,,2010,United States,USA: Texas,,,,,,"Horse, Equus caballus",,,Salmonellosis,,,,Susceptible,AMR Panel,,,,,,,,,,,Serotype diversity and Antimicrobial resistance among Salmonella enterica from patients at an equine referral hospital,collected_by:Texas A&M University;sample name:ME2L-17-142,99.8,99.1,100,,,Good,2018-05-30T14:45:35.743Z,2018-05-30T14:45:35.743Z,No_RNA_Seq,
90371.3620,Salmonella enterica subsp. enterica serovar Typhimurium strain B15CEB12,,90371,WGS,B15CEB12,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2019-06-24T00:00:00Z,,PRJNA449363,SAMN12004687,GCA_006443555.1,,VFYL01000000,,Texas A&M University,,Illumina,100x,SPAdes v. 3.13.1,,,146,5198266,51.823956,5510,5143,,pork,,25-Mar-2015,USA,USA: TX,,,,,,"Pig, Sus scrofa",,,commensal,,,,,,,,,,,,,,,,"Salmonella enterica (non-Typhi) is one of the most common food-borne pathogens, primarily originating in agricultural animals, which can enter the food chain and cause salmonellosis in humans. Importantly a small number of serovars of Salmonella are responsible for the majority of cases of human salmonellosis. Salmonella enterica serovars typically exhibit a limited range of animal hosts, often referred to as serovar-host specificity. Swine, cattle, and poultry each carry different strains of Salmonella and only certain strains cause infectious disease in these hosts, with the remaining strains carried in a subclinical status or in a commensal relationship. In recent years, the Centers for Disease Control and Prevention has reported a rise in human foodborne illnesses related to antibiotic resistant Salmonella enterica serovar I 4,[5], 12:i:- largely associated with the consumption of contaminated pork. Salmonella I 4,[5], 12:i:- is a serovar antigenically similar to Salmonella enterica serovar Typhimurium; however, it lacks the phase two flagellar antigen making it a monophasic variant.","collected_by:USDA in College Station, TX",99.8,98.4,,,,Good,2019-09-30T10:13:49.083Z,2019-09-30T10:13:49.083Z,No_RNA_Seq,
90371.3167,Salmonella enterica subsp. enterica serovar Typhimurium strain 3162,,90371,WGS,3162,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2019-02-27T00:00:00Z,,PRJNA521409,SAMN10887077,GCA_004308645.1,,SIDV01000000,,Agriculture and Agri-Food Canada,,Illumina MiSeq,120x,SPAdes v. 3.9.0,,,40,4797368,52.145615,4983,4729,,fecal material,,2005-06-27,Canada,Canada:British Columbia Fraser Valley,,,,,,"Chicken, Gallus gallus",,,,,,,,,,,,,,,,,,,In this study we sequenced and assembled Salmonella genomes encompassing 7 serotypes isolated from poultry farms in Canada between 2005 and 2008 to achive the following objectives:1- the development of machine learning method for predicting AST from genomic datasets2- Development of simple PCR based AMR gene detection methods,collected_by:Moussa Diarra,99.8,99,,,,Good,2019-07-17T06:11:37.488Z,2019-07-17T06:11:37.488Z,No_RNA_Seq,
85569.87,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 strain V26,,85569,WGS,V26,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2015-06-13T00:00:00Z,24030491,PRJEB2189,SAMEA773618,GCF_001216705.1,ERR026077,CTAG01000000,,SC,,,20x,,,,111,4951426,52.1,5111,4646,,,"derived isolates, we have used whole-genome sequencing to dissect the phylogenetic associations of the bacterium and its antimicrobial resistance genes through the course of an epidemic",1993,United Kingdom,Scotland,,,,,,"Cow, Bos taurus",,,,,,host_health_state:not known,Resistant;Susceptible,AMR Panel,,,,,,,,,,,"'Distinguishable epidemics of multidrug-resistant Salmonella Typhimurium DT104 in different hosts.' Pubmed ID: 24030491. The global epidemic of multidrug-resistant Salmonella Typhimurium DT104 provides an important example, both in terms of the agent and its resistance, of a widely disseminated zoonotic pathogen. Here, with an unprecedented national collection of isolates collected contemporaneously from humans and animals and including a sample of internationally derived isolates, we have used whole-genome sequencing to dissect the phylogenetic associations of the bacterium and its antimicrobial resistance genes through the course of an epidemic. Contrary to current tenets supporting a single homogeneous epidemic, we demonstrate that the bacterium and its resistance genes were largely maintained within animal and human populations separately and that there was limited transmission, in either direction. We also show considerable variation in the resistance profiles, in contrast to the largely stable bacterial core genome, which emphasizes the critical importance of integrated genotypic data sets in understanding the ecology of bacterial zoonoses and antimicrobial resistance.",isolate:V26,99.8,99.3,100,,,Good,2016-01-17T16:47:34.199Z,2016-01-17T16:47:34.199Z,No_RNA_Seq,
90371.3872,Salmonella enterica subsp. enterica serovar Typhimurium strain S12144-92,,90371,WGS,,,,,MLST.Salmonella_enterica.34,,,,,31266564,,,,ERR1251575,,,,,,20x,,,,100,4990921,52.090527,5092,,,,,1992-2012,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,95.9,,,,Good,2020-02-28T19:59:09.240Z,2020-02-28T19:59:09.240Z,No_RNA_Seq,
90371.3650,Salmonella enterica subsp. enterica serovar Typhimurium strain 26639-1,,90371,WGS,26639-1,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2019-08-13T00:00:00Z,31249336,PRJNA477384,SAMN09469521,GCA_007994575.1,,QLZY01000000,,Northern Arizona University,,Illumina MiSeq,57x,SPAdes v. 3.10.1,,,87,4915476,52.140038,5200,5012,,intestine,isolated from renal granulomas of olive ridley turtles from the Pacific Ocean,2015-07-23,USA,USA:Pennsylvania,,,,,,Terrepene carolina,,,,,,,,,,,,,,,,,,,Salmonella spp. were isolated from renal granulomas of olive ridley turtles from the Pacific Ocean. Whole genome shotgun sequencing was conducted on these isolates to understand the evolutionary relationships among these pathogens and previously characterized Salmonella isolates. Several additional isolates from birds and turtles were also sequenced for comparison.,sample_type:tissue sample,99.8,98.8,,,,Good,2019-10-01T18:16:37.147Z,2019-10-01T18:16:37.147Z,No_RNA_Seq,
1620419.34,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain CVM N47715,,1620419,WGS,CVM N47715,Typhimurium var. 5-,,,MLST.Salmonella_enterica.19,,,,2015-08-05T00:00:00Z,27381390,PRJNA242614,SAMN03894245,GCF_001243815.1,SRR2567047,LHJJ01000000,,FDA,,Illumina Miseq,46.5x,CLC Genomics Workbench v. 6.0.2,,,84,4883559,52.1,5030,4626,,Chicken Breast,,2013,United States,USA: NM,,,,,,,,,,,,,Susceptible;Resistant,AMR Panel,,,,,,,,,,,The study goal is to look at the phenotype and genotype correlation in Salmonella enterica with different antibiotic resistance patterns.,collected_by:FDA,99.8,99.3,100,,,Good,2016-01-17T16:55:50.809Z,2016-01-17T16:55:50.809Z,No_RNA_Seq,
90371.2135,Salmonella enterica subsp. enterica serovar Typhimurium strain R9_3243_R1,,90371,WGS,R9_3243_R1,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2017-01-18T00:00:00Z,28389536,PRJNA308370,SAMN04394761,GCF_001955345.1,,MOCM00000000,,Cornell University,,Illumina HiSeq,61.2015x,SPAdes v. 3.8.0,,,109,5078477,52.14,5321,4909,,Bovine,,2008,United States,USA: Washington state,,,,,,"Cow, Bos taurus",,,Salmonella infections or carrier,,,,Resistant;Susceptible,AMR Panel,,,,,,C,,,,,"Illumina paired-end reads for Salmonella enterica isolates of either Typhimurium, Newport, or Dublin serotype, from either New York state or Washington state, and from either bovine or human sources.",collected_by:Washington State University;isolate:BOV_TYPH_WA_08_R9_3243,99.9,99,100,0.2,,Good,2017-03-20T05:44:06.485Z,2017-03-20T05:44:06.485Z,No_RNA_Seq,
90371.893,Salmonella enterica subsp. enterica serovar Typhimurium strain ST6988,,90371,WGS,ST6988,,,,MLST.Salmonella_enterica.19,,,,2015-09-22T00:00:00Z,26370680,PRJNA264262,SAMN03121902,GCF_001295555.1,,JRZW01000000,,The Chinese University of Hong Kong,,454,20.0x,GS De Novo Assembler v. 2.8,,,60,5011634,52.18,5208,4716,,Blood,,1994,China,Hong Kong,,,,,,"Human, Homo sapiens",female,78,Salmonella gastroenteritis,,,,,,,,,,,,,,,,Next generation genome sequencing reveals phylogenetic clades with different level of virulence among Salmonella Typhimurium clinical human isolates in Hong Kong,collected_by:Hoi-Shan Kwan's Lab,99.6,98.2,100,1.9,,Good,2016-01-17T17:10:17.801Z,2016-01-17T17:10:17.801Z,No_RNA_Seq,
