,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,SL1344_0002,STM0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
4,SL1344_0003,STM0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
5,SL1344_0004,STM0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
6,SL1344_0005,STM0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
7,SL1344_0006,STM0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
9,SL1344_0007,STM0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
12,SL1344_0008,STM0008,100.0,196,0,0,1,196,1,196,9.999999999999997e-143,397.0,196,1.0,<=>
14,SL1344_0009,STM0009,100.0,188,0,0,1,188,1,188,6.999999999999997e-131,366.0,188,1.0,<=>
15,SL1344_0010,STM0010,100.0,237,0,0,1,237,1,237,7.999999999999997e-176,484.0,237,1.0,<=>
16,SL1344_0011,STM0011,100.0,134,0,0,1,134,1,134,5.9999999999999994e-96,273.0,134,1.0,<=>
17,SL1344_0012,STM0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
22,SL1344_0013,STM0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
24,SL1344_0014,STM0014,99.68,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
33,SL1344_0015,STM0015,100.0,114,0,0,1,114,1,114,2.9999999999999994e-78,227.0,114,1.0,<=>
34,SL1344_0016,STM0016,100.0,177,0,0,1,177,1,177,4.9999999999999987e-132,369.0,177,1.0,<=>
35,SL1344_0017,STM0017,100.0,147,0,0,1,147,1,147,1.9999999999999996e-106,301.0,147,1.0,<=>
39,SL1344_0018,STM0018,100.0,627,0,0,1,627,73,699,0.0,1288.0,627,1.0,<=>
40,SL1344_0019,STM0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,SL1344_0020,STM0020,100.0,234,0,0,1,234,1,234,1.9999999999999995e-177,488.0,234,1.0,<=>
44,SL1344_0021,STM0021,100.0,180,0,0,1,180,1,180,7.999999999999997e-127,355.0,180,1.0,<=>
57,SL1344_0022,STM0022,99.56,228,1,0,1,228,1,228,1.9999999999999995e-165,457.0,228,1.0,<=>
70,SL1344_0023,STM0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
82,SL1344_0024,STM0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
87,SL1344_0025,STM0025,100.0,181,0,0,1,181,1,181,3.9999999999999987e-134,374.0,181,1.0,<=>
101,SL1344_0026,STM0026,100.0,172,0,0,1,172,1,172,6.999999999999998e-124,347.0,172,1.0,<=>
114,SL1344_0027,STM0027,100.0,234,0,0,1,234,10,243,8.999999999999997e-176,484.0,234,1.0,<=>
127,SL1344_0028,STM0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
131,SL1344_0030,STM0029,100.0,149,0,0,1,149,1,149,2.999999999999999e-108,306.0,149,1.0,<=>
137,SL1344_0031,STM0030,99.7,334,1,0,1,334,1,334,0.0,686.0,334,1.0,<=>
155,SL1344_0032,STM0031,99.32,146,1,0,1,146,1,146,4.999999999999999e-105,297.0,146,1.0,<=>
160,SL1344_0033,STM0032,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
165,SL1344_0034,STM0033,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
169,SL1344_0035,STM0034,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
171,SL1344_0036,STM0035,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
175,SL1344_0037,STM0036,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
180,SL1344_0038,STM0037,99.76,417,1,0,1,417,1,417,0.0,871.0,417,1.0,<=>
182,SL1344_0039,STM0038,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
187,SL1344_0040,STM0039,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
188,SL1344_0041,STM0040,100.0,299,0,0,1,299,1,299,0.0,621.0,299,1.0,<=>
205,SL1344_0042,STM0041,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
208,SL1344_0043,STM0042,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
215,SL1344_0044,STM0043,100.0,87,0,0,1,87,1,87,1e-56,170.0,87,1.0,<=>
216,SL1344_0045,STM0044,100.0,71,0,0,1,71,1,71,1.9999999999999997e-47,145.0,71,1.0,<=>
217,SL1344_0046,STM0045,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
218,SL1344_0047,STM0046,99.89,944,1,0,1,944,1,944,0.0,1964.0,944,1.0,<=>
223,SL1344_0048,STM0047,100.0,166,0,0,1,166,1,166,2.999999999999999e-119,335.0,166,1.0,<=>
224,SL1344_0049,STM0048,100.0,149,0,0,1,149,1,149,9.999999999999998e-107,301.0,149,1.0,<=>
226,SL1344_0050,STM0049,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
227,SL1344_0051,STM0050,100.0,400,0,0,1,400,1,400,0.0,830.0,400,1.0,<=>
228,SL1344_0052,STM0051,100.0,306,0,0,1,306,1,306,0.0,629.0,306,1.0,<=>
230,SL1344_0053,STM0052,100.0,228,0,0,1,228,1,228,9.999999999999997e-170,468.0,228,1.0,<=>
250,SL1344_0054,STM0053,99.81,539,1,0,1,539,1,539,0.0,1107.0,539,1.0,<=>
