,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,DBZ55_000010,STM3874,100.0,629,0,0,1,629,1,629,0.0,1299.0,629,1.0,<=>
1,DBZ55_000015,STM3873,100.0,207,0,0,1,207,1,207,7.999999999999998e-153,424.0,207,1.0,<=>
2,DBZ55_000020,STM3872,100.0,126,0,0,1,126,1,126,1.9999999999999998e-84,243.0,126,1.0,<=>
3,DBZ55_000025,STM3871,100.0,271,0,0,1,271,1,271,0.0,539.0,271,1.0,<=>
4,DBZ55_000030,STM3870,100.0,79,0,0,1,79,1,79,1e-48,149.0,79,1.0,<=>
5,DBZ55_000035,STM3869,100.0,156,0,0,1,156,1,156,9.999999999999998e-107,302.0,156,1.0,<=>
6,DBZ55_000040,STM3868,100.0,177,0,0,1,177,1,177,6.999999999999998e-128,358.0,177,1.0,<=>
7,DBZ55_000045,STM3867,100.0,513,0,0,1,513,1,513,0.0,1042.0,513,1.0,<=>
12,DBZ55_000050,STM3866,100.0,287,0,0,1,287,1,287,0.0,590.0,287,1.0,<=>
13,DBZ55_000055,STM3865,100.0,460,0,0,1,460,1,460,0.0,932.0,460,1.0,<=>
19,DBZ55_000060,STM3864,100.0,139,0,0,1,139,1,139,5.999999999999999e-98,279.0,139,1.0,<=>
20,DBZ55_000065,STM3863,100.0,232,0,0,1,232,1,232,4.999999999999999e-166,459.0,232,1.0,<=>
22,DBZ55_000075,STM3862,100.0,456,0,0,1,456,1,456,0.0,933.0,456,1.0,<=>
24,DBZ55_000080,STM3861,100.0,609,0,0,1,609,1,609,0.0,1245.0,609,1.0,<=>
31,DBZ55_000085,STM3860,100.0,585,0,0,1,585,1,585,0.0,1201.0,585,1.0,<=>
39,DBZ55_000090,STM3859,100.0,272,0,0,1,272,1,272,0.0,561.0,272,1.0,<=>
42,DBZ55_000095,STM3858,100.0,457,0,0,1,457,1,457,0.0,906.0,457,1.0,<=>
48,DBZ55_000100,STM3857,100.0,346,0,0,1,346,1,346,0.0,695.0,346,1.0,<=>
49,DBZ55_000105,STM3856,100.0,319,0,0,1,319,1,319,0.0,624.0,319,1.0,<=>
53,DBZ55_000110,STM3855,100.0,296,0,0,1,296,1,296,0.0,588.0,296,1.0,<=>
59,DBZ55_000115,STM3854,100.0,257,0,0,1,257,1,257,0.0,539.0,257,1.0,<=>
142,DBZ55_000120,STM3853,100.0,241,0,0,1,241,1,241,2.9999999999999988e-180,496.0,241,1.0,<=>
143,DBZ55_000125,STM3852,100.0,221,0,0,1,221,1,221,7.999999999999998e-168,463.0,221,1.0,<=>
149,DBZ55_000130,STM3851,100.0,487,0,0,1,487,1,487,0.0,968.0,487,1.0,<=>
151,DBZ55_000135,STM3850,100.0,194,0,0,1,194,1,194,9.999999999999997e-143,397.0,194,1.0,<=>
153,DBZ55_000140,STM3849,100.0,251,0,0,1,251,1,251,0.0,521.0,251,1.0,<=>
155,DBZ55_000145,STM3848,100.0,319,0,0,1,319,1,319,0.0,657.0,319,1.0,<=>
163,DBZ55_000150,STM3847,100.0,395,0,0,1,395,1,395,0.0,780.0,395,1.0,<=>
182,DBZ55_000155,STM3846,100.0,289,0,0,1,289,1,289,0.0,594.0,289,1.0,<=>
183,DBZ55_000160,STM3845,100.0,320,0,0,1,320,1,320,0.0,645.0,320,1.0,<=>
188,DBZ55_000170,STM3843,99.78,454,1,0,1,454,1,454,0.0,907.0,454,1.0,<=>
192,DBZ55_000175,STM3842,99.64,548,2,0,1,548,1,548,0.0,1130.0,548,1.0,<=>
193,DBZ55_000180,STM3841,100.0,85,0,0,1,85,1,85,2e-57,172.0,85,1.0,<=>
194,DBZ55_000185,STM3840,100.0,119,0,0,1,119,1,119,9.999999999999999e-84,241.0,119,1.0,<=>
195,DBZ55_000190,STM3839,100.0,46,0,0,1,46,1,46,2e-26,89.7,46,1.0,<=>
196,DBZ55_000195,STM3838,100.0,466,0,0,1,466,1,466,0.0,966.0,466,1.0,<=>
201,DBZ55_000200,STM3837,99.73,366,1,0,1,366,1,366,0.0,752.0,366,1.0,<=>
202,DBZ55_000205,STM3836,99.72,357,1,0,1,357,1,357,0.0,736.0,357,1.0,<=>
203,DBZ55_000210,STM3835,100.0,804,0,0,1,804,1,804,0.0,1667.0,804,1.0,<=>
206,DBZ55_000215,STM3834,100.0,298,0,0,1,298,1,298,0.0,624.0,298,1.0,<=>
237,DBZ55_000220,STM3833,99.75,397,1,0,1,397,1,397,0.0,821.0,397,1.0,<=>
243,DBZ55_000225,STM3832,99.52,420,2,0,1,420,1,420,0.0,837.0,420,1.0,<=>
270,DBZ55_000230,STM3831,98.93,281,3,0,1,281,1,281,0.0,573.0,281,1.0,<=>
279,DBZ55_000235,STM3830,100.0,229,0,0,1,229,1,229,9.999999999999998e-171,471.0,229,1.0,<=>
289,DBZ55_000240,STM3829,99.32,292,2,0,1,292,1,292,0.0,594.0,292,1.0,<=>
291,DBZ55_000250,STM3828,100.0,382,0,0,1,382,1,382,0.0,783.0,382,1.0,<=>
297,DBZ55_000255,STM3827,100.0,445,0,0,1,445,1,445,0.0,892.0,445,1.0,<=>
321,DBZ55_000260,STM3826,99.01,911,9,0,1,911,1,911,0.0,1841.0,911,1.0,<=>
350,DBZ55_000265,STM3825,99.13,346,3,0,1,346,1,346,0.0,710.0,346,1.0,<=>
353,DBZ55_000270,STM3824,100.0,230,0,0,1,230,1,230,9.999999999999997e-170,468.0,230,1.0,<=>
377,DBZ55_000275,STM3823,99.75,394,1,0,1,394,1,394,0.0,830.0,394,1.0,<=>
379,DBZ55_000280,STM3822,99.88,850,1,0,1,850,1,850,0.0,1772.0,850,1.0,<=>
396,DBZ55_000285,STM3821,100.0,210,0,0,1,210,1,210,9.999999999999999e-153,423.0,210,1.0,<=>
398,DBZ55_000290,STM3820,99.79,466,1,0,1,466,1,466,0.0,971.0,466,1.0,<=>
494,DBZ55_000335,STM3811,99.26,408,3,0,1,408,1,408,0.0,835.0,408,1.0,<=>
495,DBZ55_000340,STM3810,99.1,111,1,0,1,111,1,111,1e-77,225.0,111,1.0,<=>
497,DBZ55_000345,STM3809,100.0,137,0,0,1,137,1,137,6.999999999999998e-97,276.0,137,1.0,<=>
500,DBZ55_000350,STM3808,100.0,142,0,0,1,142,1,142,9.999999999999997e-104,293.0,142,1.0,<=>
503,DBZ55_000355,STM3807,99.82,553,1,0,1,553,1,553,0.0,1093.0,553,1.0,<=>
505,DBZ55_000360,STM3805,100.0,115,0,0,1,115,1,115,9.999999999999999e-79,228.0,115,1.0,<=>
506,DBZ55_000365,STM3804,99.17,120,1,0,1,120,1,120,1.9999999999999997e-83,240.0,120,1.0,<=>
507,DBZ55_000370,STM3803,98.3,176,3,0,1,176,1,176,9.999999999999998e-130,362.0,176,1.0,<=>
512,DBZ55_000375,STM3802,98.86,440,5,0,1,440,1,440,0.0,899.0,440,1.0,<=>
514,DBZ55_000380,STM3801,100.0,445,0,0,1,445,1,445,0.0,870.0,445,1.0,<=>
519,DBZ55_000385,STM3800,99.67,307,1,0,1,307,1,307,0.0,637.0,307,1.0,<=>
558,DBZ55_000390,STM3799,99.17,361,3,0,1,361,1,361,0.0,737.0,361,1.0,<=>
559,DBZ55_000395,STM3798,99.49,394,2,0,1,394,1,394,0.0,768.0,394,1.0,<=>
570,DBZ55_000400,STM3796A,100.0,286,0,0,1,286,1,286,0.0,562.0,286,1.0,<=>
571,DBZ55_000405,STM3796B,100.0,29,0,0,1,29,1,29,7e-12,51.6,29,1.0,<=>
