,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,ScientificName_curated,Host,Knockout,Other_available_omics,Biological_replicate,Technical_replicate,SampleID,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
SRX1392948,8/9/16 15:48,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR2846608,SRP065437,PRJNA300406,300406,SRS1138036,SAMN04221296,SRA307745,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1978707,GSE74433,GSM1920472,27601574,4221296,SF101,SF101,"NC_016863.1, NC_016864.1",aroA,SF101,WT_vivo,del_aroA,LB,,,Aerobic,,37C,,mid-log,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SF101,,aroA,,1,1,SF101_1,,,True,True,True,aroA:SF101,True,True
SRX1392949,8/9/16 15:48,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR2846609,SRP065437,PRJNA300406,300406,SRS1138035,SAMN04221297,SRA307745,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1978708,GSE74433,GSM1920473,27601574,4221297,SF101,SF101,"NC_016863.1, NC_016864.1",aroA,SF101,WT_vivo,del_aroA,LB,,,Aerobic,,37C,,mid-log,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SF101,,aroA,,2,1,SF101_2,,,True,True,True,aroA:SF101,True,True
SRX1392950,8/9/16 15:48,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR2846610,SRP065437,PRJNA300406,300406,SRS1138033,SAMN04221298,SRA307745,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1978709,GSE74433,GSM1920474,27601574,4221298,SF100,SF100,"NC_016863.1, NC_016864.1",aroA,SF100,WT_vivo,ΔlpxR9 ΔpagL7 ΔpagP8,LB,,,Aerobic,,37C,,mid-log,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SF100,,ΔlpxR9 ΔpagL7 ΔpagP8,,1,1,SF100_1,,,True,True,True,aroA:SF100,True,True
SRX1392951,8/9/16 15:48,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR2846611,SRP065437,PRJNA300406,300406,SRS1138027,SAMN04221299,SRA307745,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1978710,GSE74433,GSM1920475,27601574,4221299,SF100,SF100,"NC_016863.1, NC_016864.1",aroA,SF100,WT_vivo,ΔlpxR9 ΔpagL7 ΔpagP8,LB,,,Aerobic,,37C,,mid-log,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SF100,,ΔlpxR9 ΔpagL7 ΔpagP8,,2,1,SF100_2,,,True,True,True,aroA:SF100,True,True
SRX1392954,8/9/16 15:48,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR2846614,SRP065437,PRJNA300406,300406,SRS1138031,SAMN04221302,SRA307745,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1978713,GSE74433,GSM1920478,27601574,4221302,wildtype,wildtype,"NC_016863.1, NC_016864.1",aroA,WT_vivo,WT_vivo,WT,,,,Aerobic,,,,,,CT26 tumor infected with S. Typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,Mouse,WT,,1,1,WT_vivo_1,,,True,True,True,aroA:WT_vivo,True,True
SRX1392955,8/9/16 15:48,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR2846615,SRP065437,PRJNA300406,300406,SRS1138030,SAMN04221303,SRA307745,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,1978714,GSE74433,GSM1920479,27601574,4221303,wildtype,wildtype,"NC_016863.1, NC_016864.1",aroA,WT_vivo,WT_vivo,WT,,,,Aerobic,,,,,,CT26 tumor infected with S. Typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,Mouse,WT,,2,1,WT_vivo_2,,,True,True,True,aroA:WT_vivo,True,True
SRX4340129,11/28/19 19:58,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7470362,SRP151987,PRJNA479668,479668,SRS3500859,SAMN09598762,SRA733310,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5895817,GSE116623,GSM3244218,31755108,9598762,SF102,SF102,"NC_016863.1, NC_016864.1",flagella_mutants,SF102,SF102,SF102,LB,,,Aerobic,,37C,,mid-log,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SF102,Mouse,ΔlpxR ΔpagP ΔpagL ΔaroA,,1,1,SF102_1,,,True,True,True,flagella_mutants:SF102,True,True
SRX4340130,11/28/19 19:58,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7470363,SRP151987,PRJNA479668,479668,SRS3500860,SAMN09598761,SRA733310,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5895818,GSE116623,GSM3244219,31755108,9598761,SF102,SF102,"NC_016863.1, NC_016864.1",flagella_mutants,SF102,SF102,SF102,LB,,,Aerobic,,37C,,mid-log,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SF102,Mouse,ΔlpxR ΔpagP ΔpagL ΔaroA,,2,1,SF102_2,,,True,True,True,flagella_mutants:SF102,True,True
SRX4340131,11/28/19 19:58,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7470364,SRP151987,PRJNA479668,479668,SRS3500861,SAMN09598760,SRA733310,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5895819,GSE116623,GSM3244220,31755108,9598760,del_fliHIJ,del_fliHIJ,"NC_016863.1, NC_016864.1",flagella_mutants,del_fliHIJ,SF102,del_fliHIJ,LB,,,Aerobic,,37C,,mid-log,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SF102,Mouse,fliHIJ,,1,1,del_fliHIJ_1,,,True,True,True,flagella_mutants:del_fliHIJ,True,True
SRX4340132,11/28/19 19:58,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,28901,1236,90371,Salmonella enterica,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7470365,SRP151987,PRJNA479668,479668,SRS3500862,SAMN09598765,SRA733310,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,5895820,GSE116623,GSM3244221,31755108,9598765,del_fliHIJ,del_fliHIJ,"NC_016863.1, NC_016864.1",flagella_mutants,del_fliHIJ,SF102,del_fliHIJ,LB,,,Aerobic,,37C,,mid-log,2,,Salmonella enterica subsp. enterica serovar Typhimurium str. SF102,Mouse,fliHIJ,,2,1,del_fliHIJ_2,,,True,True,True,flagella_mutants:del_fliHIJ,True,True
