,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
1,STMUK_0002,SL1344_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STMUK_0003,SL1344_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STMUK_0004,SL1344_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STMUK_0005,SL1344_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STMUK_0006,SL1344_0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
10,STMUK_0007,SL1344_0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
13,STMUK_0008,SL1344_0008,100.0,196,0,0,1,196,1,196,1.5099999999999997e-144,397.0,196,1.0,<=>
15,STMUK_0009,SL1344_0009,100.0,188,0,0,1,188,1,188,1.1099999999999999e-132,366.0,188,1.0,<=>
16,STMUK_0010,SL1344_0010,100.0,237,0,0,1,237,1,237,1.0199999999999995e-177,484.0,237,1.0,<=>
17,STMUK_0011,SL1344_0011,100.0,134,0,0,1,134,1,134,1.3999999999999998e-97,273.0,134,1.0,<=>
18,STMUK_0012,SL1344_0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STMUK_0013,SL1344_0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STMUK_0014,SL1344_0014,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
33,STMUK_0015,SL1344_0015,100.0,114,0,0,1,114,1,114,7.199999999999999e-80,227.0,114,1.0,<=>
34,STMUK_0016,SL1344_0016,100.0,177,0,0,1,177,1,177,7.929999999999998e-134,369.0,177,1.0,<=>
35,STMUK_0017,SL1344_0017,99.32,147,1,0,1,147,1,147,3.009999999999999e-107,299.0,147,1.0,<=>
39,STMUK_0018,SL1344_0018,100.0,627,0,0,73,699,1,627,0.0,1288.0,699,0.8969957081545065,<=>
40,STMUK_0019,SL1344_0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,STMUK_0020,SL1344_0020,100.0,234,0,0,1,234,1,234,2.4499999999999993e-179,488.0,234,1.0,<=>
44,STMUK_0021,SL1344_0021,100.0,180,0,0,1,180,1,180,1.4199999999999994e-128,355.0,180,1.0,<=>
57,STMUK_0022,SL1344_0022,99.561,228,1,0,1,228,1,228,3.0699999999999985e-167,457.0,228,1.0,<=>
70,STMUK_0023,SL1344_0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
82,STMUK_0024,SL1344_0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
86,STMUK_0025,SL1344_0025,100.0,181,0,0,1,181,1,181,5.679999999999998e-136,374.0,181,1.0,<=>
100,STMUK_0026,SL1344_0026,100.0,172,0,0,1,172,1,172,1.14e-125,347.0,172,1.0,<=>
113,STMUK_0027,SL1344_0027,100.0,234,0,0,10,243,1,234,1.1699999999999997e-177,484.0,243,0.9629629629629629,<=>
126,STMUK_0028,SL1344_0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
129,STMUK_0029,SL1344_0029,100.0,95,0,0,1,95,15,109,2.2499999999999998e-69,199.0,95,1.0,<=>
131,STMUK_0030,SL1344_0030,100.0,149,0,0,1,149,1,149,5.579999999999998e-110,306.0,149,1.0,<=>
137,STMUK_0031,SL1344_0031,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
154,STMUK_0032,SL1344_0032,100.0,146,0,0,1,146,1,146,1.0299999999999998e-107,300.0,146,1.0,<=>
159,STMUK_0033,SL1344_0033,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
164,STMUK_0034,SL1344_0034,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
168,STMUK_0035,SL1344_0035,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
170,STMUK_0036,SL1344_0036,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
174,STMUK_0037,SL1344_0037,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
179,STMUK_0038,SL1344_0038,99.76,417,1,0,1,417,1,417,0.0,871.0,417,1.0,<=>
181,STMUK_0039,SL1344_0039,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
186,STMUK_0040,SL1344_0040,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
187,STMUK_0041,SL1344_0041,99.666,299,1,0,1,299,1,299,0.0,620.0,299,1.0,<=>
205,STMUK_0042,SL1344_0042,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
208,STMUK_0043,SL1344_0043,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
215,STMUK_0044,SL1344_0044,100.0,87,0,0,1,87,1,87,4e-58,170.0,87,1.0,<=>
216,STMUK_0045,SL1344_0045,100.0,71,0,0,1,71,1,71,1.01e-48,145.0,71,1.0,<=>
217,STMUK_0046,SL1344_0046,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
218,STMUK_0047,SL1344_0047,99.89399999999999,944,1,0,1,944,1,944,0.0,1964.0,944,1.0,<=>
223,STMUK_0048,SL1344_0048,100.0,166,0,0,1,166,1,166,4.489999999999999e-121,335.0,166,1.0,<=>
224,STMUK_0049,SL1344_0049,100.0,149,0,0,1,149,1,149,2.4099999999999994e-108,301.0,149,1.0,<=>
226,STMUK_0050,SL1344_0050,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
227,STMUK_0051,SL1344_0051,100.0,400,0,0,1,400,1,400,0.0,830.0,400,1.0,<=>
228,STMUK_0052,SL1344_0052,100.0,306,0,0,1,306,1,306,0.0,629.0,306,1.0,<=>
