,gene_id,database,kegg_id
2878,STM474_0002,KEGG_pathway,map00260
2879,STM474_0002,KEGG_pathway,map00261
2880,STM474_0002,KEGG_pathway,map00270
2881,STM474_0002,KEGG_pathway,map00300
2882,STM474_0002,KEGG_pathway,map01100
2883,STM474_0002,KEGG_pathway,map01110
2884,STM474_0002,KEGG_pathway,map01120
2885,STM474_0002,KEGG_pathway,map01130
2886,STM474_0002,KEGG_pathway,map01230
2892,STM474_0003,KEGG_pathway,map00260
2893,STM474_0003,KEGG_pathway,map01100
2894,STM474_0003,KEGG_pathway,map01110
2895,STM474_0003,KEGG_pathway,map01120
2896,STM474_0003,KEGG_pathway,map01230
2903,STM474_0004,KEGG_pathway,map00260
2904,STM474_0004,KEGG_pathway,map00750
2905,STM474_0004,KEGG_pathway,map01100
2906,STM474_0004,KEGG_pathway,map01110
2907,STM474_0004,KEGG_pathway,map01120
2908,STM474_0004,KEGG_pathway,map01230
2916,STM474_0007,KEGG_pathway,map00030
2917,STM474_0007,KEGG_pathway,map01100
2918,STM474_0007,KEGG_pathway,map01110
2919,STM474_0007,KEGG_pathway,map01120
2920,STM474_0007,KEGG_pathway,map01130
2921,STM474_0007,KEGG_pathway,map01200
2922,STM474_0007,KEGG_pathway,map01230
2926,STM474_0008,KEGG_pathway,map00790
2927,STM474_0008,KEGG_pathway,map01100
2928,STM474_0008,KEGG_pathway,map04122
2932,STM474_0013,KEGG_pathway,map03018
2933,STM474_0013,KEGG_pathway,map04212
2934,STM474_0013,KEGG_pathway,map05152
2936,STM474_0024,KEGG_pathway,map05133
2940,STM474_0048,KEGG_pathway,map00740
2941,STM474_0048,KEGG_pathway,map01100
2942,STM474_0048,KEGG_pathway,map01110
2944,STM474_0049,KEGG_pathway,map00970
2946,STM474_0050,KEGG_pathway,map03060
2951,STM474_0052,KEGG_pathway,map00900
2952,STM474_0052,KEGG_pathway,map01100
2953,STM474_0052,KEGG_pathway,map01110
2954,STM474_0052,KEGG_pathway,map01130
2956,STM474_0055,KEGG_pathway,map02020
2958,STM474_0056,KEGG_pathway,map02020
2961,STM474_0058,KEGG_pathway,map00620
2962,STM474_0058,KEGG_pathway,map01100
2965,STM474_0059,KEGG_pathway,map00620
2966,STM474_0059,KEGG_pathway,map01100
2968,STM474_0061,KEGG_pathway,map02020
2970,STM474_0062,KEGG_pathway,map02020
2972,STM474_0063,KEGG_pathway,map02020
2974,STM474_0064,KEGG_pathway,map02020
2976,STM474_0065,KEGG_pathway,map02020
2978,STM474_0066,KEGG_pathway,map02020
2986,STM474_0067,KEGG_pathway,map00261
2987,STM474_0067,KEGG_pathway,map00300
2988,STM474_0067,KEGG_pathway,map01100
2989,STM474_0067,KEGG_pathway,map01110
2990,STM474_0067,KEGG_pathway,map01120
2991,STM474_0067,KEGG_pathway,map01130
