,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STMMW_00011,STMUK_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
4,STMMW_00021,STMUK_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
5,STMMW_00031,STMUK_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
6,STMMW_00041,STMUK_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
7,STMMW_00051,STMUK_0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
9,STMMW_00061,STMUK_0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
12,STMMW_00071,STMUK_0008,100.0,196,0,0,1,196,1,196,1.4499999999999995e-144,397.0,196,1.0,<=>
14,STMMW_00081,STMUK_0009,100.0,188,0,0,1,188,1,188,1.0699999999999999e-132,366.0,188,1.0,<=>
15,STMMW_00091,STMUK_0010,100.0,237,0,0,1,237,1,237,9.859999999999997e-178,484.0,237,1.0,<=>
16,STMMW_00101,STMUK_0011,100.0,134,0,0,1,134,1,134,1.35e-97,273.0,134,1.0,<=>
17,STMMW_00111,STMUK_0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
22,STMMW_00121,STMUK_0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
24,STMMW_00131,STMUK_0014,99.68299999999999,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
33,STMMW_00141,STMUK_0015,100.0,114,0,0,1,114,1,114,6.929999999999999e-80,227.0,114,1.0,<=>
34,STMMW_00151,STMUK_0016,100.0,177,0,0,1,177,1,177,7.639999999999997e-134,369.0,177,1.0,<=>
35,STMMW_00161,STMUK_0017,99.32,147,1,0,1,147,1,147,2.8999999999999986e-107,299.0,147,1.0,<=>
39,STMMW_00171,STMUK_0018,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
40,STMMW_00181,STMUK_0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,STMMW_00191,STMUK_0020,100.0,234,0,0,1,234,1,234,2.3599999999999994e-179,488.0,234,1.0,<=>
44,STMMW_00201,STMUK_0021,100.0,180,0,0,1,180,1,180,1.3599999999999998e-128,355.0,180,1.0,<=>
57,STMMW_00211,STMUK_0022,100.0,228,0,0,1,228,1,228,3.1899999999999994e-168,459.0,228,1.0,<=>
70,STMMW_00221,STMUK_0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
82,STMMW_00231,STMUK_0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
86,STMMW_00241,STMUK_0025,100.0,181,0,0,1,181,1,181,5.4599999999999986e-136,374.0,181,1.0,<=>
100,STMMW_00251,STMUK_0026,100.0,172,0,0,1,172,1,172,1.0899999999999998e-125,347.0,172,1.0,<=>
