,gene_id,database,kegg_id
2877,STMUK_p088,KEGG_pathway,map02020
2887,STMUK_0002,KEGG_pathway,map00260
2888,STMUK_0002,KEGG_pathway,map00261
2889,STMUK_0002,KEGG_pathway,map00270
2890,STMUK_0002,KEGG_pathway,map00300
2891,STMUK_0002,KEGG_pathway,map01100
2892,STMUK_0002,KEGG_pathway,map01110
2893,STMUK_0002,KEGG_pathway,map01120
2894,STMUK_0002,KEGG_pathway,map01130
2895,STMUK_0002,KEGG_pathway,map01230
2901,STMUK_0003,KEGG_pathway,map00260
2902,STMUK_0003,KEGG_pathway,map01100
2903,STMUK_0003,KEGG_pathway,map01110
2904,STMUK_0003,KEGG_pathway,map01120
2905,STMUK_0003,KEGG_pathway,map01230
2912,STMUK_0004,KEGG_pathway,map00260
2913,STMUK_0004,KEGG_pathway,map00750
2914,STMUK_0004,KEGG_pathway,map01100
2915,STMUK_0004,KEGG_pathway,map01110
2916,STMUK_0004,KEGG_pathway,map01120
2917,STMUK_0004,KEGG_pathway,map01230
2925,STMUK_0007,KEGG_pathway,map00030
2926,STMUK_0007,KEGG_pathway,map01100
2927,STMUK_0007,KEGG_pathway,map01110
2928,STMUK_0007,KEGG_pathway,map01120
2929,STMUK_0007,KEGG_pathway,map01130
2930,STMUK_0007,KEGG_pathway,map01200
2931,STMUK_0007,KEGG_pathway,map01230
2935,STMUK_0008,KEGG_pathway,map00790
2936,STMUK_0008,KEGG_pathway,map01100
2937,STMUK_0008,KEGG_pathway,map04122
2941,STMUK_0012,KEGG_pathway,map03018
2942,STMUK_0012,KEGG_pathway,map04212
2943,STMUK_0012,KEGG_pathway,map05152
2945,STMUK_0023,KEGG_pathway,map05133
2949,STMUK_0046,KEGG_pathway,map00740
2950,STMUK_0046,KEGG_pathway,map01100
2951,STMUK_0046,KEGG_pathway,map01110
2953,STMUK_0047,KEGG_pathway,map00970
2955,STMUK_0048,KEGG_pathway,map03060
2960,STMUK_0050,KEGG_pathway,map00900
2961,STMUK_0050,KEGG_pathway,map01100
2962,STMUK_0050,KEGG_pathway,map01110
2963,STMUK_0050,KEGG_pathway,map01130
2965,STMUK_0053,KEGG_pathway,map02020
2967,STMUK_0054,KEGG_pathway,map02020
2970,STMUK_0056,KEGG_pathway,map00620
2971,STMUK_0056,KEGG_pathway,map01100
2974,STMUK_0057,KEGG_pathway,map00620
2975,STMUK_0057,KEGG_pathway,map01100
2977,STMUK_0059,KEGG_pathway,map02020
2979,STMUK_0060,KEGG_pathway,map02020
2981,STMUK_0061,KEGG_pathway,map02020
2983,STMUK_0062,KEGG_pathway,map02020
2985,STMUK_0063,KEGG_pathway,map02020
2987,STMUK_0064,KEGG_pathway,map02020
2995,STMUK_0065,KEGG_pathway,map00261
2996,STMUK_0065,KEGG_pathway,map00300
2997,STMUK_0065,KEGG_pathway,map01100
2998,STMUK_0065,KEGG_pathway,map01110
2999,STMUK_0065,KEGG_pathway,map01120
3000,STMUK_0065,KEGG_pathway,map01130
3001,STMUK_0065,KEGG_pathway,map01230
3005,STMUK_0067,KEGG_pathway,map00240
3006,STMUK_0067,KEGG_pathway,map00250
3007,STMUK_0067,KEGG_pathway,map01100
3011,STMUK_0068,KEGG_pathway,map00240
3012,STMUK_0068,KEGG_pathway,map00250
3013,STMUK_0068,KEGG_pathway,map01100
3018,STMUK_0088,KEGG_pathway,map00670
