,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,SL1344_0001,STMMW_00001,100.0,28,0,0,1,28,1,28,2.27e-12,50.4,28,1.0,<=>
1,SL1344_0002,STMMW_00011,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,SL1344_0003,STMMW_00021,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,SL1344_0004,STMMW_00031,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,SL1344_0005,STMMW_00041,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,SL1344_0006,STMMW_00051,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
10,SL1344_0007,STMMW_00061,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
13,SL1344_0008,STMMW_00071,100.0,196,0,0,1,196,1,196,1.4599999999999996e-144,397.0,196,1.0,<=>
15,SL1344_0009,STMMW_00081,100.0,188,0,0,1,188,1,188,1.0699999999999999e-132,366.0,188,1.0,<=>
16,SL1344_0010,STMMW_00091,100.0,237,0,0,1,237,1,237,9.889999999999998e-178,484.0,237,1.0,<=>
17,SL1344_0011,STMMW_00101,100.0,134,0,0,1,134,1,134,1.35e-97,273.0,134,1.0,<=>
18,SL1344_0012,STMMW_00111,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,SL1344_0013,STMMW_00121,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,SL1344_0014,STMMW_00131,99.68299999999999,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
33,SL1344_0015,STMMW_00141,100.0,114,0,0,1,114,1,114,6.949999999999999e-80,227.0,114,1.0,<=>
34,SL1344_0016,STMMW_00151,100.0,177,0,0,1,177,1,177,7.659999999999997e-134,369.0,177,1.0,<=>
35,SL1344_0017,STMMW_00161,100.0,147,0,0,1,147,1,147,4.65e-108,301.0,147,1.0,<=>
39,SL1344_0018,STMMW_00171,100.0,627,0,0,1,627,73,699,0.0,1288.0,627,1.0,<=>
40,SL1344_0019,STMMW_00181,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,SL1344_0020,STMMW_00191,100.0,234,0,0,1,234,1,234,2.3699999999999994e-179,488.0,234,1.0,<=>
44,SL1344_0021,STMMW_00201,100.0,180,0,0,1,180,1,180,1.3699999999999998e-128,355.0,180,1.0,<=>
57,SL1344_0022,STMMW_00211,99.561,228,1,0,1,228,1,228,2.9699999999999987e-167,457.0,228,1.0,<=>
69,SL1344_0023,STMMW_00221,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
80,SL1344_0024,STMMW_00231,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
84,SL1344_0025,STMMW_00241,100.0,181,0,0,1,181,1,181,5.4799999999999985e-136,374.0,181,1.0,<=>
98,SL1344_0026,STMMW_00251,100.0,172,0,0,1,172,1,172,1.0999999999999997e-125,347.0,172,1.0,<=>
111,SL1344_0027,STMMW_00261,100.0,234,0,0,1,234,10,243,1.0899999999999998e-177,484.0,234,1.0,<=>
123,SL1344_0028,STMMW_00271,99.64399999999999,281,1,0,1,281,1,281,0.0,577.0,281,1.0,<=>
125,SL1344_0029,STMMW_00281,100.0,109,0,0,1,109,1,109,1.3899999999999997e-80,228.0,109,1.0,<=>
127,SL1344_0030,STMMW_00291,100.0,149,0,0,1,149,1,149,5.389999999999999e-110,306.0,149,1.0,<=>
133,SL1344_0031,STMMW_00301,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
150,SL1344_0032,STMMW_00311,100.0,146,0,0,1,146,1,146,9.939999999999995e-108,300.0,146,1.0,<=>
155,SL1344_0033,STMMW_00331,99.825,572,1,0,1,572,1,572,0.0,1190.0,572,1.0,<=>
160,SL1344_0034,STMMW_00341,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
164,SL1344_0035,STMMW_00351,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
166,SL1344_0036,STMMW_00361,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
