locus_tag,start,stop,strand,gene_name,old_locus_tag,gene_product,COG,uniprot
STM14_0001,190,255,+,thrL,,thr operon leader peptide,No COG annotation,A0A0F6AWB7
STM14_0002,337,2799,+,thrA,,bifunctional aspartokinase I/homeserine dehydrogenase I,Amino acid transport and metabolism,A0A0F6AWB8
STM14_0003,2801,3730,+,thrB,,homoserine kinase,Nucleotide transport and metabolism,A0A0F6AWB9
STM14_0004,3734,5020,+,thrC,,threonine synthase,Amino acid transport and metabolism,A0A0F6AWC0
STM14_0005,5114,5887,-,yaaA,,hypothetical protein,Function unknown,A0A0F6AWC1
STM14_0006,5966,7396,-,yaaJ,,putative alanine/glycine transport protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6AWC2
STM14_0007,7665,8618,+,talB,,transaldolase B,Nucleotide transport and metabolism,A0A0F6AWC3
STM14_0008,8729,9319,+,mogA,,molybdenum cofactor biosynthesis protein,Coenzyme transport and metabolism,A0A0F6AWC4
STM14_0009,9376,9942,-,yaaH,,hypothetical protein,Function unknown,A0A0F6AWC5
STM14_0010,10092,10805,-,htgA,,hypothetical protein,Function unknown,A0A0F6AWC6
STM14_0011,10841,11245,-,yaaI,,hypothetical protein,Function unknown,A0A0F6AWC7
STM14_0012,11257,11424,+,STM14_0012,,hypothetical protein,No COG annotation,A0A0F6AWC8
STM14_0013,11593,13509,+,dnaK,,molecular chaperone DnaK,"Post-translational modification, protein turnover,and chaperones",A0A0F6AWC9
STM14_0014,13595,14734,+,dnaJ,,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",A0A0F6AWD0
STM14_0015,14845,14958,+,STM14_0015,,hypothetical protein,No COG annotation,A0A0F6AWD1
STM14_0016,15014,15961,+,STM14_0016,,putative transcriptional regulator,Transcription,A0A0F6AWD2
STM14_0017,16088,16432,+,STM14_0017,,putative bacteriophage protein,Function unknown,A0A0F6AWD3
STM14_0018,16493,17026,-,STM14_0018,,hypothetical protein,Function unknown,A0A0F6AWD4
STM14_0019,17043,17486,-,STM14_0019,,hypothetical protein,Transcription,A0A0F6AWD5
STM14_0020,17613,17741,-,STM14_0020,,hypothetical protein,No COG annotation,A0A0F6AWD6
STM14_0021,17665,17787,+,STM14_0021,,hypothetical protein,No COG annotation,A0A0F6AWD7
STM14_0022,17867,19966,+,STM14_0022,,putative exochitinase,Carbohydrate transport and metabolism,A0A0F6AWD8
STM14_0023,20058,23054,+,STM14_0023,,putative hydroxymethyltransferase,Function unknown,A0A0F6AWD9
STM14_0024,23091,23240,+,STM14_0024,,hypothetical protein,No COG annotation,A0A0F6AWE0
STM14_0025,23335,24039,+,STM14_0025,,putative cytoplasmic protein,Signal transduction mechanisms,A0A0F6AWE1
STM14_0026,24094,24198,-,STM14_0026,,hypothetical protein,No COG annotation,A0A0F6AWE2
STM14_0027,24316,24426,+,STM14_0027,,hypothetical protein,No COG annotation,A0A0F6AWE3
STM14_0028,24469,25011,+,bcfA,,fimbrial subunit,Cell motility,A0A0F6AWE4
STM14_0029,24971,25798,+,bcfB,,fimbrial chaparone,Cell wall/membrane/envelope biogenesis,A0A0F6AWE5
STM14_0030,25803,28424,+,bcfC,,fimbrial usher,Cell motility,A0A0F6AWE6
STM14_0031,28425,29432,+,bcfD,,fimbrial subunit,Cell motility,A0A0F6AWE7
STM14_0032,29433,29978,+,bcfE,,fimbrial subunit,Cell motility,A0A0F6AWE8
STM14_0033,29994,30512,+,bcfF,,fimbrial subunit,Cell motility,A0A0F6AWE9
STM14_0034,30478,31209,+,bcfG,,fimbrial chaparone,Cell motility,A0A0F6AWF0
STM14_0035,31274,32119,+,bcfH,,putative thiol-disulfide isomerase,"Post-translational modification, protein turnover,and chaperones",A0A0F6AWF1
STM14_0036,32116,32445,+,STM14_0036,,hypothetical protein,No COG annotation,A0A0F6AWF2
STM14_0037,32545,32994,-,STM14_0037,,putative transcriptional regulator,Transcription,A0A0F6AWF3
STM14_0038,33364,34368,+,STM14_0038,,putative transcriptional regulator,Transcription,A0A0F6AWF4
STM14_0039,34376,34816,-,STM14_0039,,putative transcriptional regulator,Transcription,A0A0F6AWF5
STM14_0040,34828,34974,+,STM14_0040,,hypothetical protein,No COG annotation,A0A0F6AWF6
STM14_0041,35339,37057,+,STM14_0041,,putative arylsulfatase,Cell wall/membrane/envelope biogenesis,A0A0F6AWF7
STM14_0042,37103,38674,-,STM14_0042,,putative 5'-nucleotidase,Nucleotide transport and metabolism,A0A0F6AWF8
STM14_0043,38773,39534,-,STM14_0043,,putative outer membrane/exported protein,Function unknown,A0A0F6AWF9
