,gene_id,database,kegg_id
2888,STMMW_00011,KEGG_pathway,map00260
2889,STMMW_00011,KEGG_pathway,map00261
2890,STMMW_00011,KEGG_pathway,map00270
2891,STMMW_00011,KEGG_pathway,map00300
2892,STMMW_00011,KEGG_pathway,map01100
2893,STMMW_00011,KEGG_pathway,map01110
2894,STMMW_00011,KEGG_pathway,map01120
2895,STMMW_00011,KEGG_pathway,map01130
2896,STMMW_00011,KEGG_pathway,map01230
2902,STMMW_00021,KEGG_pathway,map00260
2903,STMMW_00021,KEGG_pathway,map01100
2904,STMMW_00021,KEGG_pathway,map01110
2905,STMMW_00021,KEGG_pathway,map01120
2906,STMMW_00021,KEGG_pathway,map01230
2913,STMMW_00031,KEGG_pathway,map00260
2914,STMMW_00031,KEGG_pathway,map00750
2915,STMMW_00031,KEGG_pathway,map01100
2916,STMMW_00031,KEGG_pathway,map01110
2917,STMMW_00031,KEGG_pathway,map01120
2918,STMMW_00031,KEGG_pathway,map01230
2926,STMMW_00061,KEGG_pathway,map00030
2927,STMMW_00061,KEGG_pathway,map01100
2928,STMMW_00061,KEGG_pathway,map01110
2929,STMMW_00061,KEGG_pathway,map01120
2930,STMMW_00061,KEGG_pathway,map01130
2931,STMMW_00061,KEGG_pathway,map01200
2932,STMMW_00061,KEGG_pathway,map01230
2936,STMMW_00071,KEGG_pathway,map00790
2937,STMMW_00071,KEGG_pathway,map01100
2938,STMMW_00071,KEGG_pathway,map04122
2942,STMMW_00111,KEGG_pathway,map03018
2943,STMMW_00111,KEGG_pathway,map04212
2944,STMMW_00111,KEGG_pathway,map05152
2946,STMMW_00221,KEGG_pathway,map05133
2950,STMMW_00461,KEGG_pathway,map00740
2951,STMMW_00461,KEGG_pathway,map01100
2952,STMMW_00461,KEGG_pathway,map01110
2954,STMMW_00471,KEGG_pathway,map00970
2956,STMMW_00481,KEGG_pathway,map03060
2961,STMMW_00501,KEGG_pathway,map00900
2962,STMMW_00501,KEGG_pathway,map01100
2963,STMMW_00501,KEGG_pathway,map01110
2964,STMMW_00501,KEGG_pathway,map01130
2966,STMMW_00531,KEGG_pathway,map02020
2968,STMMW_00541,KEGG_pathway,map02020
2971,STMMW_00561,KEGG_pathway,map00620
2972,STMMW_00561,KEGG_pathway,map01100
2975,STMMW_00571,KEGG_pathway,map00620
2976,STMMW_00571,KEGG_pathway,map01100
2978,STMMW_00591,KEGG_pathway,map02020
2980,STMMW_00601,KEGG_pathway,map02020
2982,STMMW_00611,KEGG_pathway,map02020
2984,STMMW_00621,KEGG_pathway,map02020
2986,STMMW_00631,KEGG_pathway,map02020
2988,STMMW_00641,KEGG_pathway,map02020
2996,STMMW_00651,KEGG_pathway,map00261
2997,STMMW_00651,KEGG_pathway,map00300
2998,STMMW_00651,KEGG_pathway,map01100
2999,STMMW_00651,KEGG_pathway,map01110
3000,STMMW_00651,KEGG_pathway,map01120
3001,STMMW_00651,KEGG_pathway,map01130
3002,STMMW_00651,KEGG_pathway,map01230
3006,STMMW_00681,KEGG_pathway,map00240
3007,STMMW_00681,KEGG_pathway,map00250
