,gene_id,database,kegg_id
2898,SL1344_P1_0096,KEGG_pathway,map02020
2908,SL1344_0002,KEGG_pathway,map00260
2909,SL1344_0002,KEGG_pathway,map00261
2910,SL1344_0002,KEGG_pathway,map00270
2911,SL1344_0002,KEGG_pathway,map00300
2912,SL1344_0002,KEGG_pathway,map01100
2913,SL1344_0002,KEGG_pathway,map01110
2914,SL1344_0002,KEGG_pathway,map01120
2915,SL1344_0002,KEGG_pathway,map01130
2916,SL1344_0002,KEGG_pathway,map01230
2922,SL1344_0003,KEGG_pathway,map00260
2923,SL1344_0003,KEGG_pathway,map01100
2924,SL1344_0003,KEGG_pathway,map01110
2925,SL1344_0003,KEGG_pathway,map01120
2926,SL1344_0003,KEGG_pathway,map01230
2933,SL1344_0004,KEGG_pathway,map00260
2934,SL1344_0004,KEGG_pathway,map00750
2935,SL1344_0004,KEGG_pathway,map01100
2936,SL1344_0004,KEGG_pathway,map01110
2937,SL1344_0004,KEGG_pathway,map01120
2938,SL1344_0004,KEGG_pathway,map01230
2946,SL1344_0007,KEGG_pathway,map00030
2947,SL1344_0007,KEGG_pathway,map01100
2948,SL1344_0007,KEGG_pathway,map01110
2949,SL1344_0007,KEGG_pathway,map01120
2950,SL1344_0007,KEGG_pathway,map01130
2951,SL1344_0007,KEGG_pathway,map01200
2952,SL1344_0007,KEGG_pathway,map01230
2956,SL1344_0008,KEGG_pathway,map00790
2957,SL1344_0008,KEGG_pathway,map01100
2958,SL1344_0008,KEGG_pathway,map04122
2962,SL1344_0012,KEGG_pathway,map03018
2963,SL1344_0012,KEGG_pathway,map04212
2964,SL1344_0012,KEGG_pathway,map05152
2966,SL1344_0023,KEGG_pathway,map05133
2970,SL1344_0046,KEGG_pathway,map00740
2971,SL1344_0046,KEGG_pathway,map01100
2972,SL1344_0046,KEGG_pathway,map01110
2974,SL1344_0047,KEGG_pathway,map00970
2976,SL1344_0048,KEGG_pathway,map03060
2981,SL1344_0050,KEGG_pathway,map00900
2982,SL1344_0050,KEGG_pathway,map01100
2983,SL1344_0050,KEGG_pathway,map01110
2984,SL1344_0050,KEGG_pathway,map01130
2986,SL1344_0053,KEGG_pathway,map02020
2988,SL1344_0054,KEGG_pathway,map02020
2991,SL1344_0056,KEGG_pathway,map00620
2992,SL1344_0056,KEGG_pathway,map01100
2995,SL1344_0057,KEGG_pathway,map00620
2996,SL1344_0057,KEGG_pathway,map01100
2998,SL1344_0059,KEGG_pathway,map02020
3000,SL1344_0060,KEGG_pathway,map02020
3002,SL1344_0061,KEGG_pathway,map02020
3004,SL1344_0062,KEGG_pathway,map02020
3006,SL1344_0063,KEGG_pathway,map02020
3008,SL1344_0064,KEGG_pathway,map02020
3016,SL1344_0065,KEGG_pathway,map00261
3017,SL1344_0065,KEGG_pathway,map00300
3018,SL1344_0065,KEGG_pathway,map01100
3019,SL1344_0065,KEGG_pathway,map01110
3020,SL1344_0065,KEGG_pathway,map01120
3021,SL1344_0065,KEGG_pathway,map01130
3022,SL1344_0065,KEGG_pathway,map01230
3026,SL1344_0067,KEGG_pathway,map00240
3027,SL1344_0067,KEGG_pathway,map00250
3028,SL1344_0067,KEGG_pathway,map01100
3032,SL1344_0068,KEGG_pathway,map00240
3033,SL1344_0068,KEGG_pathway,map00250
3034,SL1344_0068,KEGG_pathway,map01100
3039,SL1344_0088,KEGG_pathway,map00670
3040,SL1344_0088,KEGG_pathway,map00790
3041,SL1344_0088,KEGG_pathway,map01100
3042,SL1344_0088,KEGG_pathway,map01523
3044,SL1344_0089,KEGG_pathway,map00230
3047,SL1344_0092,KEGG_pathway,map00750
3048,SL1344_0092,KEGG_pathway,map01100
3053,SL1344_0101,KEGG_pathway,map00040
3054,SL1344_0101,KEGG_pathway,map00053
3055,SL1344_0101,KEGG_pathway,map01100
3056,SL1344_0101,KEGG_pathway,map01120
3059,SL1344_0102,KEGG_pathway,map00040
3060,SL1344_0102,KEGG_pathway,map01100
3063,SL1344_0103,KEGG_pathway,map00040
3064,SL1344_0103,KEGG_pathway,map01100
3066,SL1344_0106,KEGG_pathway,map02010
3068,SL1344_0107,KEGG_pathway,map02010
3070,SL1344_0108,KEGG_pathway,map02010
3077,SL1344_0110,KEGG_pathway,map00290
3078,SL1344_0110,KEGG_pathway,map00660
3079,SL1344_0110,KEGG_pathway,map01100
3080,SL1344_0110,KEGG_pathway,map01110
3081,SL1344_0110,KEGG_pathway,map01210
3082,SL1344_0110,KEGG_pathway,map01230
3090,SL1344_0111,KEGG_pathway,map00290
3091,SL1344_0111,KEGG_pathway,map00660
3092,SL1344_0111,KEGG_pathway,map00966
3093,SL1344_0111,KEGG_pathway,map01100
3094,SL1344_0111,KEGG_pathway,map01110
3095,SL1344_0111,KEGG_pathway,map01210
3096,SL1344_0111,KEGG_pathway,map01230
3103,SL1344_0112,KEGG_pathway,map00290
3104,SL1344_0112,KEGG_pathway,map00660
3105,SL1344_0112,KEGG_pathway,map01100
