,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STM14_0001,STMUK_0001,100.0,21,0,0,1,21,1,21,1.58e-07,37.7,21,1.0,<=>
1,STM14_0002,STMUK_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STM14_0003,STMUK_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STM14_0004,STMUK_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STM14_0005,STMUK_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STM14_0006,STMUK_0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
10,STM14_0007,STMUK_0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
13,STM14_0008,STMUK_0008,100.0,196,0,0,1,196,1,196,1.4499999999999995e-144,397.0,196,1.0,<=>
15,STM14_0009,STMUK_0009,100.0,188,0,0,1,188,1,188,1.0699999999999999e-132,366.0,188,1.0,<=>
16,STM14_0010,STMUK_0010,100.0,237,0,0,1,237,1,237,9.859999999999997e-178,484.0,237,1.0,<=>
17,STM14_0011,STMUK_0011,100.0,134,0,0,1,134,1,134,1.35e-97,273.0,134,1.0,<=>
18,STM14_0013,STMUK_0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STM14_0014,STMUK_0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STM14_0016,STMUK_0014,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
34,STM14_0017,STMUK_0015,100.0,114,0,0,1,114,1,114,6.929999999999999e-80,227.0,114,1.0,<=>
35,STM14_0018,STMUK_0016,100.0,177,0,0,1,177,1,177,7.639999999999997e-134,369.0,177,1.0,<=>
36,STM14_0019,STMUK_0017,100.0,147,0,0,1,147,1,147,6.659999999999999e-108,300.0,147,1.0,<=>
40,STM14_0022,STMUK_0018,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
41,STM14_0023,STMUK_0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
42,STM14_0025,STMUK_0020,100.0,234,0,0,1,234,1,234,2.3599999999999994e-179,488.0,234,1.0,<=>
45,STM14_0028,STMUK_0021,100.0,180,0,0,1,180,1,180,1.3599999999999998e-128,355.0,180,1.0,<=>
58,STM14_0029,STMUK_0022,100.0,228,0,0,48,275,1,228,2.6999999999999993e-167,459.0,275,0.8290909090909091,<=>
71,STM14_0030,STMUK_0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
83,STM14_0031,STMUK_0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
87,STM14_0032,STMUK_0025,100.0,181,0,0,1,181,1,181,5.4599999999999986e-136,374.0,181,1.0,<=>
101,STM14_0033,STMUK_0026,100.0,172,0,0,1,172,1,172,1.0899999999999998e-125,347.0,172,1.0,<=>
114,STM14_0034,STMUK_0027,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
127,STM14_0035,STMUK_0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
130,STM14_0036,STMUK_0029,100.0,95,0,0,15,109,1,95,2.4899999999999993e-69,199.0,109,0.8715596330275229,<=>
132,STM14_0037,STMUK_0030,100.0,149,0,0,1,149,1,149,5.369999999999999e-110,306.0,149,1.0,<=>
138,STM14_0038,STMUK_0031,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
156,STM14_0039,STMUK_0032,100.0,146,0,0,1,146,1,146,9.909999999999998e-108,300.0,146,1.0,<=>
161,STM14_0041,STMUK_0033,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
166,STM14_0042,STMUK_0034,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
170,STM14_0043,STMUK_0035,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
172,STM14_0044,STMUK_0036,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
176,STM14_0045,STMUK_0037,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
181,STM14_0046,STMUK_0038,100.0,417,0,0,1,417,1,417,0.0,872.0,417,1.0,<=>
183,STM14_0047,STMUK_0039,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
188,STM14_0048,STMUK_0040,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
189,STM14_0049,STMUK_0041,100.0,299,0,0,1,299,1,299,0.0,622.0,299,1.0,<=>
207,STM14_0050,STMUK_0042,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
210,STM14_0051,STMUK_0043,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
217,STM14_0052,STMUK_0044,100.0,87,0,0,1,87,1,87,3.8499999999999995e-58,170.0,87,1.0,<=>
218,STM14_0053,STMUK_0045,100.0,71,0,0,1,71,1,71,9.7e-49,145.0,71,1.0,<=>
219,STM14_0054,STMUK_0046,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
220,STM14_0055,STMUK_0047,100.0,944,0,0,1,944,1,944,0.0,1966.0,944,1.0,<=>
225,STM14_0056,STMUK_0048,100.0,166,0,0,1,166,1,166,4.319999999999999e-121,335.0,166,1.0,<=>
226,STM14_0058,STMUK_0049,100.0,149,0,0,1,149,1,149,2.3199999999999992e-108,301.0,149,1.0,<=>
