locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot
SL1344_P3_0001,sulII,,27,842,-,dihydropteroate synthase type-2 (dihydropteroate synthase type ii) (dhps) (dihydropteroate pyrophosphorylase type ii),Coenzyme transport and metabolism,A0A0H3NXX3
SL1344_P3_0002,SL1344_P3_0002,,851,1075,-,conserved hypothetical protein,No COG annotation,A0A0H3P097
SL1344_P3_0003,repC,,1150,1998,-,replication protein c,"Replication, recombination and repair",A0A0H3NX92
SL1344_P3_0004,repA,,1988,2827,-,regulatory protein,"Replication, recombination and repair",A0A0H3P1B8
SL1344_P3_0005,SL1344_P3_0005,,2857,3063,-,repressor protein,No COG annotation,A0A0H3NYX3
SL1344_P3_0006,SL1344_P3_0006,,3065,3277,-,conserved hypothetical protein,No COG annotation,A0A0H3NXX9
SL1344_P3_0008,mobA,,3338,5467,-,mobilization protein,No COG annotation,A0A0H3P0A2
SL1344_P3_0009,mobB,,4306,4719,-,mobilization protein,No COG annotation,A0A0H3NX98
SL1344_P3_0011,mobC,,5666,5950,+,mobilization protein c,No COG annotation,A0A0H3P1B9
SL1344_P3_0012,SL1344_P3_0012,,6504,7043,+,putative transposase/recombinase,Cell wall/membrane/envelope biogenesis,A0A0H3NYX6
SL1344_P3_0013,strB,,7015,7860,-,streptomycin 3''-kinase,Defense mechanisms,A0A0H3NXY4
SL1344_P3_0014,aph(3'')-Ib,,7851,8654,-,aminoglycoside phosphotransferase,Nucleotide transport and metabolism,A0A0H3P0A4
SL1344_0001,thrL,,169,255,+,thr operon leader peptide,No COG annotation,A0A0H3N791
SL1344_0002,thrA,,337,2799,+,aspartokinase I/homoserine dehydrogenase I,Amino acid transport and metabolism,A0A0H3NCF4
SL1344_0003,thrB,,2801,3730,+,Homoserine kinase,Nucleotide transport and metabolism,A0A0H3N7G7
SL1344_0004,thrC,,3734,5020,+,threonine synthase,Amino acid transport and metabolism,A0A0H3NGW8
SL1344_0005,yaaA,,5114,5887,-,conserved hypothetical protein,Function unknown,A0A0H3N8Q7
SL1344_0006,yaaJ,,5966,7396,-,hypothetical amino-acid transport protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3N797
SL1344_0007,talB,,7665,8618,+,transaldolase B,Nucleotide transport and metabolism,A0A0H3NCF8
SL1344_0008,mog,,8729,9319,+,molybdopterin biosynthesis Mog protein,Coenzyme transport and metabolism,A0A0H3N7H3
SL1344_0009,yaaH,,9376,9942,-,conserved hypothetical protein,Function unknown,A0A0H3NGX4
SL1344_0010,htgA,,10092,10805,-,conserved hypothetical protein,Function unknown,A0A0H3N8R2
SL1344_0011,yaaI,,10841,11245,-,conserved hypothetical protein,Function unknown,A0A0H3N7A1
SL1344_0012,dnaK,,11593,13509,+,Chaperone protein dnaK,"Post-translational modification, protein turnover,and chaperones",A0A0H3NCG3
SL1344_0013,dnaJ,,13595,14734,+,DnaJ protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3N7I0
SL1344_0014,SL1344_0014,,15014,15961,+,hypothetical regulatory protein,Transcription,A0A0H3NGX9
SL1344_0015,SL1344_0015,,16088,16432,+,predicted bacteriophage protein,Function unknown,A0A0H3N8R6
SL1344_0016,SL1344_0016,,16493,17026,-,conserved hypothetical protein,Function unknown,A0A0H3N7A6
SL1344_0017,SL1344_0017,,17043,17486,-,hypothetical membrane protein,Transcription,A0A0H3NCG9
