locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot
STM0001,thrL,,190,255,+,thr operon leader peptide,No COG annotation,Q7CRA3
STM0002,thrA,,337,2799,+,aspartokinase I,Amino acid transport and metabolism,Q8ZS19
STM0003,thrB,,2801,3730,+,homoserine kinase,Nucleotide transport and metabolism,P65226
STM0004,thrC,,3734,5020,+,threonine synthase,Amino acid transport and metabolism,Q8ZS18
STM0005,yaaA,,5114,5887,-,putative cytoplasmic protein,Function unknown,Q8ZS17
STM0006,yaaJ,,5966,7396,-,putative alanine/glycine transport protein,"Intracellular trafficking, secretion, and vesicular transport",Q8ZS16
STM0007,talB,,7665,8618,+,transaldolase B,Nucleotide transport and metabolism,P66955
STM0008,mog,,8729,9319,+,putative molybdochetalase,Coenzyme transport and metabolism,Q8ZS15
STM0009,yaaH,,9376,9942,-,putative regulatory protein,Function unknown,Q7CRA2
STM0010,htgA,,10092,10805,-,positive sigma H regulator,Function unknown,Q7CRA1
STM0011,yaaI,,10841,11245,-,putative periplasmic protein,Function unknown,Q8ZS14
STM0012,dnaK,,11593,13509,+,chaperone Hsp70,"Post-translational modification, protein turnover,and chaperones",Q56073
STM0013,dnaJ,,13595,14734,+,heat shock protein DnaJ,"Post-translational modification, protein turnover,and chaperones",P0A1G7
STM0014,STM0014,,15014,15961,+,putative LysR family transcriptional regulator,Transcription,Q8ZS13
STM0015,STM0015,,16088,16432,+,putative bacteriophage protein,Function unknown,Q8ZS12
STM0016,STM0016,,16493,17026,-,hypothetical protein,Function unknown,Q8ZS11
STM0017,STM0017,,17043,17486,-,putative protein,Transcription,Q8ZS10
STM0018,STM0018,,17867,19966,+,putative exochitinase,Carbohydrate transport and metabolism,Q8ZS09
STM0019,STM0019,,20058,23054,+,putative hydroxymethyltransferase,Function unknown,Q8ZS08
STM0020,STM0020,,23335,24039,+,putative cytoplasmic protein,Signal transduction mechanisms,Q8ZS07
STM0021,bcfA,,24469,25011,+,fimbrial subunit,Cell motility,H9L412
STM0022,bcfB,,25112,25798,+,fimbrial chaparone,Cell wall/membrane/envelope biogenesis,H9L483
STM0023,bcfC,,25803,28424,+,fimbrial usher,Cell motility,Q8ZS06
STM0024,bcfD,,28425,29432,+,fimbrial subunit,Cell motility,Q8ZS05
STM0025,bcfE,,29433,29978,+,fimbrial subunit,Cell motility,H9L408
STM0026,bcfF,,29994,30512,+,fimbrial subunit,Cell motility,H9L4A8
STM0027,bcfG,,30478,31209,+,fimbrial chaparone,Cell motility,Q8ZS04
STM0028,bcfH,,31274,32119,+,putative thiol-disulfide isomerase,"Post-translational modification, protein turnover,and chaperones",Q8ZS03
STM0029,STM0029,,32545,32994,-,putative transcription regulator,Transcription,Q8ZS02
STM0030,STM0030,,33364,34368,+,putative LysR family transcriptional regulator,Transcription,Q8ZS01
STM0031,STM0031,,34376,34816,-,putative transcription regulator,Transcription,Q8ZS00
STM0032,STM0032,,35339,37057,+,putative arylsulfatase,Cell wall/membrane/envelope biogenesis,Q8ZRZ9
STM0033,STM0033,,37103,38674,-,putative 5'-nucleotidase,Nucleotide transport and metabolism,Q7CR96
STM0034,STM0034,,38773,39534,-,putative outer membrane or exported protein,Function unknown,Q8ZRZ8
STM0035,STM0035,,40131,41624,+,putative arylsulfatase,Inorganic ion transport and metabolism,Q8ZRZ7
STM0036,STM0036,,41723,42913,+,putative arylsulfatase regulatory protein,Energy production and conversion,Q8ZRZ6
STM0037,STM0037,,42932,44185,+,putative cytoplasmic protein,"Replication, recombination and repair",Q8ZRZ5
STM0038,STM0038,,44312,46027,+,putative arylsulfatase,Cell wall/membrane/envelope biogenesis,Q8ZRZ4
STM0039,nhaA,,46190,47356,+,NhaA family of transport protein%2C Na+/H antiporter%2C pH dependent,Inorganic ion transport and metabolism,Q8ZRZ3
STM0040,nhaR,,47418,48317,+,transcriptional activator of nhaA,Transcription,Q7CR95
STM0041,STM0041,,48372,50411,-,putative glycosyl hydrolase,Carbohydrate transport and metabolism,Q8ZRZ2
STM0042,STM0042,,50451,51824,-,putative sodium galactoside symporter,Inorganic ion transport and metabolism,Q8ZRZ1
STM0043,rpsT,,52280,52543,-,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis",P0A2B1
STM0044,yaaY,,52649,52864,+,putative cytoplasmic protein,Function unknown,Q7CR94
STM0045,ribF,,52872,53810,+,flavokinase and FAD synthetase,Coenzyme transport and metabolism,Q7CR93
STM0046,ileS,,53855,56689,+,isoleucine tRNA synthetase,"Translation, ribosomal structure and biogenesis",Q8ZRZ0
STM0047,lspA,,56689,57189,+,prolipoprotein signal peptidase (SPase II),Cell wall/membrane/envelope biogenesis,Q8ZRY9
STM0048,slpA,,57344,57793,+,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),Carbohydrate transport and metabolism,Q7CR92
STM0049,lytB,,57796,58746,+,regulates the activity of guanosine 3'%2C5'-bispyrophosphate synthetase I (RelA),Lipid transport and metabolism,P58679
STM0050,STM0050,,58946,60148,+,putative nitrite reductase,No COG annotation,Q8ZRY8
STM0051,rihC,,60164,61084,+,putative purine nucleoside hydrolase,Carbohydrate transport and metabolism,Q8ZRY7
STM0052,STM0052,,61106,61792,-,putative transcription regulator sensor for citrate,Transcription,Q8ZRY6
STM0053,STM0053,,61794,63413,-,putative transcription regulator,Signal transduction mechanisms,Q8ZRY5
STM0054,STM0054,,63548,64849,-,putative oxalacetate decarboxylase%2C subunit beta,Energy production and conversion,Q8ZRY4
STM0055,STM0055,,64862,66637,-,putative oxalacetate decarboxylase%2C subunit alpha,Energy production and conversion,Q03030
STM0056,STM0056,,66654,66893,-,putative oxalacetate decarboxylase%2C subunit gamma,Energy production and conversion,P58651
STM0057,STM0057,,67052,68392,-,putative citrate-sodium symport,"Intracellular trafficking, secretion, and vesicular transport",P0A2F8
STM0058,citC2,,68637,69680,+,putative citrate lyase synthetase,Coenzyme transport and metabolism,Q8ZRY3
STM0059,citD2,,69710,70003,+,putative citrate lyase acyl carrier protein%2C gamma chain,Energy production and conversion,Q7CR91
STM0060,citE2,,70000,70869,+,putative citrate lyase beta chain%2C acyl lyase subunit,Carbohydrate transport and metabolism,Q8ZRY2
STM0061,citF2,,70880,72400,+,putative citrate lyase alpha chain,Energy production and conversion,Q8ZRY1
STM0062,citX2,,72400,72951,+,putative cytoplasmic protein,Coenzyme transport and metabolism,Q8ZRY0
STM0063,citG2,,72929,73837,+,putative modifier of citrate lyase protein,Nucleotide transport and metabolism,Q8ZRX9
STM0064,dapB,,74017,74838,+,dihydrodipicolinate reductase,Amino acid transport and metabolism,Q8ZRX8
STM0065,STM0065,,75088,75435,+,putative viral protein,No COG annotation,Q8ZRX7
STM0066,carA,,75880,77028,+,carbamoyl-phosphate synthetase%2C glutamine-hydrolysing small subunit,Nucleotide transport and metabolism,P14845
STM0067,carB,,77047,80274,+,carbamoyl-phosphate synthase%2C large subunit,Nucleotide transport and metabolism,P14846
STM0068,caiF,,80548,80943,+,transcriptional regulator of cai and fix operon,Transcription,Q7CR90
STM0069,caiE,,81020,81616,-,stimulates carnitine racemase activity of CaiD and CaiB activity,Function unknown,Q8ZRX6
STM0070,caiD,,81725,82510,-,carnitine racemase,Coenzyme transport and metabolism,Q8ZRX5
STM0071,caiC,,82564,84117,-,crotonobetaine/carnitine-CoA ligase,Lipid transport and metabolism,Q8ZRX4
STM0072,caiB,,84180,85397,-,l-carnitine dehydratase,Energy production and conversion,Q8ZRX3
STM0073,caiA,,85509,86651,-,putative acyl-CoA dehydrogenase%2C carnitine metabolism,Lipid transport and metabolism,Q8ZRX2
STM0074,caiT,,86686,88203,-,putative BCCT family betaine/carnitine/choline transport protein,Cell wall/membrane/envelope biogenesis,Q8ZRX1
STM0075,fixA,,88684,89454,+,putative flavoprotein reductase%2C carnitine metabolism,Energy production and conversion,Q8ZRX0
STM0076,fixB,,89470,90411,+,putative electron transfer flavoprotein%2C carnitine metabolism,Energy production and conversion,P64095
STM0077,fixC,,90461,91747,+,related to carnitine metabolism protein,Energy production and conversion,Q8ZRW9
STM0078,fixX,,91744,92031,+,putative ferredoxin,Energy production and conversion,Q8ZRW8
STM0079,yaaU,,92178,93518,+,putative MFS family transport protein,Carbohydrate transport and metabolism,Q8ZRW7
STM0080,STM0080,,93607,93837,+,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,Q7CR89
STM0081,STM0081,,94131,94547,+,putative secreted protein,No COG annotation,Q8ZRW6
STM0082,STM0082,,94771,95061,-,putative secreted protein,Function unknown,Q7CR88
STM0083,STM0083,,95271,95465,+,putative inner membrane protein,No COG annotation,Q8ZRW5
STM0084,STM0084,,95959,97848,+,putative sulfatase,Inorganic ion transport and metabolism,Q8ZRW4
STM0085,yabF,,98255,98785,+,putative NAD(P)H oxidoreductase,Energy production and conversion,Q8ZRW3
STM0086,kefC,,98778,100640,+,CPA2 family K+ efflux antiporter%2C glutathione-regulated,Inorganic ion transport and metabolism,Q8ZRW2
STM0087,folA,,100839,101318,+,dihydrofolate reductase type I,Coenzyme transport and metabolism,Q8ZRW1
STM0088,apaH,,101424,102272,-,diadenosine tetraphosphatase,Signal transduction mechanisms,P0A1B1
STM0089,apaG,,102283,102660,-,putative cytoplasmic protein,Inorganic ion transport and metabolism,Q56017
STM0090,ksgA,,102663,103484,-,S-adenosylmethionine-6-N'%2CN'-adenosyl (rRNA) dimethyltransferase%3B kasugamycin resistance,"Translation, ribosomal structure and biogenesis",Q56016
