,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STMMW_00011,STM474_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
4,STMMW_00021,STM474_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
5,STMMW_00031,STM474_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
6,STMMW_00041,STM474_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
7,STMMW_00051,STM474_0006,100.0,476,0,0,1,476,10,485,0.0,955.0,476,1.0,<=>
9,STMMW_00061,STM474_0007,100.0,317,0,0,1,317,24,340,0.0,650.0,317,1.0,<=>
12,STMMW_00071,STM474_0008,100.0,196,0,0,1,196,1,196,1.5099999999999997e-144,397.0,196,1.0,<=>
14,STMMW_00081,STM474_0009,100.0,188,0,0,1,188,1,188,1.1099999999999999e-132,366.0,188,1.0,<=>
15,STMMW_00091,STM474_0010,100.0,237,0,0,1,237,1,237,1.0199999999999995e-177,484.0,237,1.0,<=>
16,STMMW_00101,STM474_0011,100.0,134,0,0,1,134,1,134,1.3999999999999998e-97,273.0,134,1.0,<=>
17,STMMW_00111,STM474_0013,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
22,STMMW_00121,STM474_0014,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
24,STMMW_00131,STM474_0015,99.68299999999999,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
33,STMMW_00141,STM474_0016,100.0,114,0,0,1,114,1,114,7.189999999999999e-80,227.0,114,1.0,<=>
34,STMMW_00151,STM474_0017,100.0,177,0,0,1,177,1,177,7.919999999999998e-134,369.0,177,1.0,<=>
35,STMMW_00161,STM474_0018,100.0,147,0,0,1,147,1,147,4.809999999999999e-108,301.0,147,1.0,<=>
39,STMMW_00171,STM474_0019,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
40,STMMW_00181,STM474_0020,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,STMMW_00191,STM474_0021,100.0,234,0,0,1,234,1,234,2.4499999999999993e-179,488.0,234,1.0,<=>
44,STMMW_00201,STM474_0022,100.0,180,0,0,1,180,1,180,1.4099999999999997e-128,355.0,180,1.0,<=>
