,gene_id,gene_ontology
0,UniProtKB:P06614|PTN002013529,"regulation of transcription, DNA-templated"
1,UniProtKB:P06614|PTN002013529,cysteine biosynthetic process
2,UniProtKB:P06614|PTN002013529,transcription regulatory region sequence-specific DNA binding
3,UniProtKB:Q7CPG4|PTN002091276,phosphoenolpyruvate-dependent sugar phosphotransferase system
4,UniProtKB:Q7CPG4|PTN002091276,integral component of plasma membrane
5,UniProtKB:Q7CPI2|PTN002169745,plasma membrane
6,UniProtKB:Q7CPI2|PTN002169745,transmembrane transporter activity
7,UniProtKB:Q7CPI2|PTN002169745,C4-dicarboxylate transport
8,UniProtKB:Q7CPI6|PTN002020127,dipeptide transmembrane transporter activity
9,UniProtKB:Q7CPJ2|PTN001670728,phosphate ion transmembrane transport
10,UniProtKB:Q7CPJ2|PTN001670728,inorganic phosphate transmembrane transporter activity
11,UniProtKB:Q7CPJ2|PTN001670728,integral component of plasma membrane
12,UniProtKB:Q7CPK7|PTN001723167,ADP-sugar diphosphatase activity
13,UniProtKB:Q7CPK7|PTN001723167,cytosol
14,UniProtKB:Q7CPK7|PTN001723167,ribose phosphate metabolic process
15,UniProtKB:Q7CPK7|PTN001723167,nucleoside phosphate metabolic process
16,UniProtKB:Q7CPL4|PTN001743912,structural constituent of ribosome
17,UniProtKB:Q7CPL4|PTN001743912,rRNA binding
18,UniProtKB:Q7CPL4|PTN001743912,cytosolic large ribosomal subunit
19,UniProtKB:Q7CPM4|PTN002010965,rRNA processing
20,UniProtKB:Q7CPM4|PTN002010965,ribonuclease activity
21,UniProtKB:Q7CPP0|PTN002206142,glycolipid transfer activity
22,UniProtKB:Q7CPP0|PTN002206142,outer membrane-bounded periplasmic space
23,UniProtKB:Q7CPP0|PTN002206142,integral component of plasma membrane
24,UniProtKB:Q7CPP0|PTN002206142,lipopolysaccharide transport
25,UniProtKB:Q7CPP1|PTN002014922,phospholipid transport
26,UniProtKB:Q7CPP1|PTN002014922,plasma membrane
27,UniProtKB:Q7CPP1|PTN002014922,phospholipid transporter activity
28,UniProtKB:Q7CQ12|PTN001601132,cytosol
29,UniProtKB:Q7CQ12|PTN001601132,iron-sulfur cluster assembly
30,UniProtKB:Q7CQ12|PTN001601132,protein maturation by iron-sulfur cluster transfer
31,UniProtKB:Q7CQ12|PTN001601132,"2 iron, 2 sulfur cluster binding"
32,UniProtKB:Q7CQ12|PTN001601132,cytoplasm
33,UniProtKB:Q7CQ14|PTN002206585,iron ion binding
34,UniProtKB:Q7CQ14|PTN002206585,ferrous iron binding
35,UniProtKB:Q7CQ14|PTN002206585,iron-sulfur cluster assembly
36,UniProtKB:Q7CQ14|PTN002206585,cytosol
37,UniProtKB:Q7CPQ1|PTN001893230,cell division
38,UniProtKB:Q7CPQ3|PTN001894737,"transferase activity, transferring acyl groups other than amino-acyl groups"
39,UniProtKB:Q7CQ27|PTN002021576,peroxidase activity
40,UniProtKB:Q7CQ27|PTN002021576,cytosol
41,UniProtKB:Q7CQ27|PTN002021576,heme binding
42,UniProtKB:Q7CPT0|PTN002173001,iron ion binding
43,UniProtKB:Q7CPT0|PTN002173001,carbon dioxide binding
44,UniProtKB:Q7CPT0|PTN002173001,protein maturation
45,UniProtKB:Q7CPT1|PTN002013075,glutathionylspermidine amidase activity
46,UniProtKB:Q7CPT1|PTN002013075,glutathionylspermidine synthase activity
