,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STMMW_00011,STM14_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
4,STMMW_00021,STM14_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
5,STMMW_00031,STM14_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
6,STMMW_00041,STM14_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
7,STMMW_00051,STM14_0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
9,STMMW_00061,STM14_0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
12,STMMW_00071,STM14_0008,100.0,196,0,0,1,196,1,196,1.5299999999999996e-144,397.0,196,1.0,<=>
14,STMMW_00081,STM14_0009,100.0,188,0,0,1,188,1,188,1.1199999999999998e-132,366.0,188,1.0,<=>
15,STMMW_00091,STM14_0010,100.0,237,0,0,1,237,1,237,1.0399999999999998e-177,484.0,237,1.0,<=>
16,STMMW_00101,STM14_0011,100.0,134,0,0,1,134,1,134,1.4099999999999994e-97,273.0,134,1.0,<=>
17,STMMW_00111,STM14_0013,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
22,STMMW_00121,STM14_0014,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
24,STMMW_00131,STM14_0016,99.68299999999999,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
33,STMMW_00141,STM14_0017,100.0,114,0,0,1,114,1,114,7.28e-80,227.0,114,1.0,<=>
34,STMMW_00151,STM14_0018,100.0,177,0,0,1,177,1,177,8.0199999999999975e-134,369.0,177,1.0,<=>
35,STMMW_00161,STM14_0019,99.32,147,1,0,1,147,1,147,3.0499999999999997e-107,299.0,147,1.0,<=>
39,STMMW_00171,STM14_0022,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
40,STMMW_00181,STM14_0023,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,STMMW_00191,STM14_0025,100.0,234,0,0,1,234,1,234,2.4799999999999992e-179,488.0,234,1.0,<=>
44,STMMW_00201,STM14_0028,100.0,180,0,0,1,180,1,180,1.4299999999999995e-128,355.0,180,1.0,<=>
57,STMMW_00211,STM14_0029,100.0,228,0,0,1,228,48,275,2.349999999999999e-167,459.0,228,1.0,<=>
70,STMMW_00221,STM14_0030,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
82,STMMW_00231,STM14_0031,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
86,STMMW_00241,STM14_0032,100.0,181,0,0,1,181,1,181,5.739999999999999e-136,374.0,181,1.0,<=>
100,STMMW_00251,STM14_0033,100.0,172,0,0,1,172,1,172,1.1499999999999998e-125,347.0,172,1.0,<=>
113,STMMW_00261,STM14_0034,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
126,STMMW_00271,STM14_0035,99.64399999999999,281,1,0,1,281,1,281,0.0,577.0,281,1.0,<=>
129,STMMW_00281,STM14_0036,100.0,109,0,0,1,109,1,109,1.4499999999999996e-80,228.0,109,1.0,<=>
131,STMMW_00291,STM14_0037,100.0,149,0,0,1,149,1,149,5.639999999999999e-110,306.0,149,1.0,<=>
137,STMMW_00301,STM14_0038,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
155,STMMW_00311,STM14_0039,100.0,146,0,0,1,146,1,146,1.04e-107,300.0,146,1.0,<=>
160,STMMW_00331,STM14_0041,99.825,572,1,0,1,572,1,572,0.0,1190.0,572,1.0,<=>
165,STMMW_00341,STM14_0042,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
169,STMMW_00351,STM14_0043,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
171,STMMW_00361,STM14_0044,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
175,STMMW_00371,STM14_0045,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
180,STMMW_00381,STM14_0046,100.0,417,0,0,1,417,1,417,0.0,872.0,417,1.0,<=>
182,STMMW_00391,STM14_0047,99.825,571,1,0,1,571,1,571,0.0,1185.0,571,1.0,<=>
187,STMMW_00401,STM14_0048,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
188,STMMW_00411,STM14_0049,99.666,299,1,0,1,299,1,299,0.0,620.0,299,1.0,<=>
205,STMMW_00421,STM14_0050,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
208,STMMW_00431,STM14_0051,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
215,STMMW_00441,STM14_0052,100.0,87,0,0,1,87,1,87,4.04e-58,170.0,87,1.0,<=>
216,STMMW_00451,STM14_0053,100.0,71,0,0,1,71,1,71,1.02e-48,145.0,71,1.0,<=>
217,STMMW_00461,STM14_0054,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
218,STMMW_00471,STM14_0055,100.0,944,0,0,1,944,1,944,0.0,1966.0,944,1.0,<=>
223,STMMW_00481,STM14_0056,100.0,166,0,0,1,166,1,166,4.539999999999999e-121,335.0,166,1.0,<=>
224,STMMW_00491,STM14_0058,100.0,149,0,0,1,149,1,149,2.4299999999999995e-108,301.0,149,1.0,<=>
226,STMMW_00501,STM14_0059,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
227,STMMW_00511,STM14_0060,100.0,400,0,0,1,400,1,400,0.0,830.0,400,1.0,<=>
228,STMMW_00521,STM14_0061,100.0,306,0,0,1,306,1,306,0.0,629.0,306,1.0,<=>
230,STMMW_00531,STM14_0062,100.0,228,0,0,1,228,1,228,1.3099999999999997e-171,468.0,228,1.0,<=>
250,STMMW_00541,STM14_0063,100.0,539,0,0,1,539,1,539,0.0,1108.0,539,1.0,<=>
260,STMMW_00551,STM14_0064,100.0,433,0,0,1,433,1,433,0.0,839.0,433,1.0,<=>
266,STMMW_00571,STM14_0066,100.0,79,0,0,1,79,1,79,2.7400000000000006e-52,154.0,79,1.0,<=>
269,STMMW_00581,STM14_0067,100.0,446,0,0,1,446,1,446,0.0,889.0,446,1.0,<=>
270,STMMW_00591,STM14_0069,100.0,347,0,0,1,347,1,347,0.0,717.0,347,1.0,<=>
272,STMMW_00601,STM14_0070,100.0,97,0,0,1,97,1,97,4.549999999999999e-65,188.0,97,1.0,<=>
274,STMMW_00611,STM14_0071,100.0,289,0,0,1,289,1,289,0.0,587.0,289,1.0,<=>
278,STMMW_00621,STM14_0072,99.802,506,1,0,1,506,1,506,0.0,1041.0,506,1.0,<=>
280,STMMW_00631,STM14_0073,100.0,183,0,0,1,183,1,183,7.379999999999998e-136,374.0,183,1.0,<=>
282,STMMW_00641,STM14_0074,100.0,302,0,0,1,302,1,302,0.0,619.0,302,1.0,<=>
286,STMMW_00651,STM14_0075,100.0,273,0,0,1,273,1,273,0.0,547.0,273,1.0,<=>
287,STMMW_00681,STM14_0077,100.0,382,0,0,1,382,1,382,0.0,793.0,382,1.0,<=>
291,STMMW_00691,STM14_0078,100.0,1075,0,0,1,1075,1,1075,0.0,2208.0,1075,1.0,<=>
295,STMMW_00701,STM14_0081,100.0,131,0,0,1,131,1,131,1.5399999999999998e-96,270.0,131,1.0,<=>
297,STMMW_00711,STM14_0082,100.0,198,0,0,1,198,1,198,1.37e-148,407.0,198,1.0,<=>
