locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot
STMUK_p001,STMUK_p001,,484,780,-,putative cytoplasmic protein,No COG annotation,A0A6C7AZN7
STMUK_p002,STMUK_p002,,1264,1785,-,putative periplasmic protein,No COG annotation,A0A6C7AVH4
STMUK_p003,ccdA,,2461,2679,+,toxin addiction system: antidote,Function unknown,A0A6C7ATE6
STMUK_p004,ccdB,,2681,2986,+,toxin addiction system: toxin,Function unknown,A0A6C7ATD1
STMUK_p005,STMUK_p005,,2988,3278,+,putative cytoplasmic protein,No COG annotation,A0A6C7ATR6
STMUK_p006,STMUK_p006,,3275,3796,+,putative cytoplasmic protein,No COG annotation,A0A6C7AVF4
STMUK_p007,rsdB,,3831,4613,+,resolvase,"Replication, recombination and repair",A0A6C7ATK8
STMUK_p008,STMUK_p008,,4622,5173,+,putative diguanylate cyclase/phosphodiesterase,Signal transduction mechanisms,A0A6C7AT78
STMUK_p009,STMUK_p009,,5842,6327,+,putative inner membrane protein,No COG annotation,A0A6C7ATC1
STMUK_p010,spvD,,7096,7446,-,Salmonella plasmid virulence: hydrophilic protein,"Replication, recombination and repair",A0A6C7B1Q7
STMUK_p011,STMUK_p011,,7664,7927,+,putative transposase%2C IS200-like protein,"Replication, recombination and repair",A0A6C7B4V5
STMUK_p012,spvD,,8054,8704,-,Salmonella plasmid virulence: hydrophilic protein,No COG annotation,A0A6C7AT32
STMUK_p013,spvC,,8965,9690,-,Salmonella plasmid virulence: hydrophilic protein,Function unknown,A0A6C7B4N1
STMUK_p014,spvB,,9971,11740,-,Salmonella plasmid virulence: hydrophilic protein,Cell wall/membrane/envelope biogenesis,A0A6C7BAK0
STMUK_p015,spvA,,11922,12689,-,Salmonella plasmid virulence: outer membrane protein,"Replication, recombination and repair",A0A6C7AT82
STMUK_p016,spvR,,13201,14094,-,Salmonella plasmid virulence: regulation of spv operon%2C lysR family,Transcription,A0A6C7B9Z8
STMUK_p017,STMUK_p017,,14702,15739,+,putative integrase protein,"Replication, recombination and repair",A0A6C7BAF5
STMUK_p018,STMUK_p018,,15928,16953,-,putative phosphoribulokinase / uridine kinase family,"Intracellular trafficking, secretion, and vesicular transport",A0A6C7B732
STMUK_p019,rlgA,,16886,18550,-,putative resolvase,"Replication, recombination and repair",A0A6C7AT50
STMUK_p020,rlgA,,18534,19094,-,putative resolvase,"Replication, recombination and repair",A0A6C7ATU9
STMUK_p021,STMUK_p021,,19301,20041,-,putative carbonic anhydrase,Inorganic ion transport and metabolism,A0A6C7B1L4
STMUK_p022,STMUK_p022,,20696,21184,-,putative cytoplasmic protein,No COG annotation,A0A6C7AZL5
STMUK_p023,tlpA,,21443,22558,+,alpha-helical coiled coil protein,"Cell cycle control, cell division, chromosome partitioning",A0A6C7AVT2
STMUK_p024,STMUK_p024,,22644,23060,+,putative DNA polymerase III epsilon subunit (3'-5' exonuclease),"Replication, recombination and repair",A0A6C7AZS8
STMUK_p025,STMUK_p025,,22754,23080,-,putative cytoplasmic protein,No COG annotation,A0A6C7ATB5
STMUK_p026,umuC,,24234,25175,-,DNA polymerase V subunit UmuC,Function unknown,A0A6C7B1E2
STMUK_p027,parA,,25590,26795,+,plasmid partition protein A,"Cell cycle control, cell division, chromosome partitioning",A0A6C7B6R5
STMUK_p028,parB,,26792,27769,+,plasmid partition protein B,Transcription,A0A6C7AVP4
STMUK_p029,umuC,,27851,29125,-,DNA polymerase V subunit UmuC,"Replication, recombination and repair",A0A6C7AVV0
STMUK_p030,samA,,29125,29547,-,mutagenesis by UV and mutagens,Transcription,A0A6C7B6W0
STMUK_p031,STMUK_p031,,30058,30528,+,putative cytoplasmic protein,No COG annotation,A0A6C7ATP6
STMUK_p032,STMUK_p032,,30521,30877,+,putative cytoplasmic protein,No COG annotation,A0A6C7B4T2
STMUK_p033,STMUK_p033,,31259,31939,+,putative adenine-specific DNA methylase,"Replication, recombination and repair",A0A6C7BAD1
STMUK_p034,STMUK_p034,,31939,32160,+,putative cytoplasmic protein,No COG annotation,A0A6C7AVZ3
STMUK_p035,STMUK_p035,,32701,33465,+,putative inner membrane protein,No COG annotation,A0A6C7B709
STMUK_p036,STMUK_p036,,33961,34395,+,putative cytoplasmic protein,Function unknown,A0A6C7AT63
STMUK_p037,STMUK_p037,,34462,34896,+,putative cytoplasmic protein,No COG annotation,A0A6C7ATB0
STMUK_p038,STMUK_p038,,35132,35455,+,putative inner membrane protein,"Replication, recombination and repair",A0A6C7AVD4
STMUK_p039,ssbB,,36186,36704,+,single-strand binding protein,"Replication, recombination and repair",A0A6C7B6T8
STMUK_p040,STMUK_p040,,36759,37001,+,putative cytoplasmic protein,Function unknown,A0A6C7B1G6
STMUK_p041,STMUK_p041,,37070,39067,+,putative ParB-like nuclease domain protein,Transcription,A0A6C7ATM9
STMUK_p042,psiB,,39107,39541,+,Plasmid SOS inhibition,Function unknown,A0A6C7AW34
STMUK_p043,psiA,,39538,40275,+,Plasmid SOS inhibition,Function unknown,A0A6C7BAH9
STMUK_p044,STMUK_p044,,41914,42384,-,putative transglycosylase,Cell wall/membrane/envelope biogenesis,A0A6C7B1J0
STMUK_p045,traM,,42799,43179,+,conjugative transfer: mating signal,Function unknown,A0A6C7AV53
STMUK_p046,traJ,,43372,44058,+,conjugative transfer: regulation,No COG annotation,A0A6C7BA43
STMUK_p047,traY,,44059,44379,+,conjugative transfer: oriT nicking,No COG annotation,A0A6C7ASY9
STMUK_p048,traA,,44421,44783,+,conjugative transfer: fimbrial subunit,Function unknown,A0A6C7B4L0
STMUK_p049,traL,,44798,45109,+,conjugative transfer: assembly,Function unknown,A0A6C7AT52
STMUK_p050,traE,,45131,45697,+,conjugative transfer: assembly,Function unknown,A0A6C7AV77
STMUK_p051,traK,,45684,46424,+,conjugative transfer: assembly,Inorganic ion transport and metabolism,A0A6C7B4I4
STMUK_p052,traB,,46424,47845,+,conjugative transfer: assembly,Cell motility,A0A6C7AT68
STMUK_p053,traP,,47835,48431,+,conjugative transfer,No COG annotation,A0A6C7B6P4
STMUK_p054,trbD,,48409,48654,+,conjugative transfer protein,No COG annotation,A0A6C7B6M4
STMUK_p055,traV,,48651,49166,+,conjugative transfer: assembly,Function unknown,A0A6C7B4G0
STMUK_p056,traR,,49301,49522,+,conjugative transfer,Signal transduction mechanisms,A0A6C7ATF9
STMUK_p057,STMUK_p057,,49515,49982,+,conjugative transfer protein,No COG annotation,A0A6C7AZI4
STMUK_p058,traC,,50378,53026,+,conjugative transfer: assembly,"Intracellular trafficking, secretion, and vesicular transport",A0A6C7AT18
STMUK_p059,trbI,,53001,53387,+,conjugative transfer,Function unknown,A0A6C7AVJ1
STMUK_p060,traW,,53384,54016,+,conjugative transfer: assembly,Function unknown,A0A6C7AT39
STMUK_p061,traU,,54013,55005,+,conjugative transfer: assembly,Function unknown,A0A6C7BA23
STMUK_p062,STMUK_p062,,55024,55332,+,conjugative transfer protein,No COG annotation,A0A6C7BAA7
STMUK_p063,trbC,,55317,55955,+,conjugative transfer: assembly,Function unknown,A0A6C7AVM6
STMUK_p064,traN,,56408,58234,+,conjugative transfer: aggregate stability,Function unknown,A0A6C7AT05
STMUK_p065,trbE,,58245,58460,+,conjugative transfer,No COG annotation,A0A6C7B146
STMUK_p066,traF,,58472,59221,+,conjugative transfer: assembly,Energy production and conversion,A0A6C7AZC1
STMUK_p067,traQ,,59435,59728,+,conjugative transfer: fimbrial synthesis,Function unknown,A0A6C7B174
STMUK_p068,trbB,,59715,60263,+,conjugative transfer,Energy production and conversion,A0A6C7AZ77
STMUK_p069,traH,,60253,61635,+,conjugative transfer: assembly,Function unknown,A0A6C7B196
STMUK_p070,traG,,61632,64454,+,conjugative transfer: assembly abd aggregate stability,Function unknown,A0A6C7ATH7
STMUK_p071,traS,,64470,64964,+,conjugative transfer: surface exclusion,No COG annotation,A0A6C7AZA1
STMUK_p072,traT,,65000,65731,+,conjugative transfer: surface exclusion,Function unknown,A0A6C7B4D7
STMUK_p073,traD,,66108,68270,+,conjugative transfer: DNA transport,"Intracellular trafficking, secretion, and vesicular transport",A0A6C7B777
STMUK_p074,trbH,,68270,68989,+,conjugative transfer,No COG annotation,A0A6C7ATA1
STMUK_p075,STMUK_p075,,68279,68677,-,MvpA-like protein,Function unknown,A0A6C7AVX3
STMUK_p076,STMUK_p076,,68677,68907,-,putative cytoplasmic protein,Function unknown,A0A6C7B6Y3
STMUK_p077,traI,,68986,74244,+,conjugative transfer: oriT nicking-unwinding,"Replication, recombination and repair",A0A6C7AVR3
STMUK_p078,traX,,74264,75004,+,conjugative transfer: fimbrial acetylation,Function unknown,A0A6C7AV36
STMUK_p079,finO,,75059,75622,+,conjugative transfer: regulation,Signal transduction mechanisms,A0A6C7AW09
STMUK_p080,STMUK_p080,,75737,76021,+,putative cytoplasmic protein,"Post-translational modification, protein turnover,and chaperones",A0A6C7B757
STMUK_p082,repC,,76976,77242,+,DNA replication,Function unknown,A0A6C7AVB8
STMUK_p083,repA3,,77365,77487,+,DNA replication,No COG annotation,A0A6C7AZG4
STMUK_p084,tap,,77492,77569,+,replication of plasmid,No COG annotation,A0A6C7BA65
STMUK_p085,repA,,77550,78431,+,DNA replication,Function unknown,A0A6C7AVL1
STMUK_p086,STMUK_p086,,79372,79512,+,putative outer membrane protein,Function unknown,A0A6C7AT91
STMUK_p087,srgC,,79609,80367,-,sdiA-regulated protein,Transcription,A0A6C7AZE2
STMUK_p088,rcK,,80634,81191,-,resistance to complement killing,Cell wall/membrane/envelope biogenesis,A0A6C7ATE8
STMUK_p089,srgB,,81281,82180,-,sdiA-regulated protein,Function unknown,A0A6C7ATJ3
STMUK_p090,srgA,,82313,82966,-,sdiA-regulated protein,Cell wall/membrane/envelope biogenesis,A0A6C7AV98
STMUK_p091,STMUK_p091,,83211,83561,-,putative bacterial regulatory protein%2C luxR family,Transcription,A0A6C7B1B9
STMUK_p092,pefI,,83546,83758,-,plasmid-encoded fimbriae%3B regulatory,No COG annotation,A0A6C7B4X6
STMUK_p093,STMUK_p093,,84190,85065,-,putative outer membrane protein,No COG annotation,A0A6C7BA85
STMUK_p094,STMUK_p094,,85318,85875,-,putative outer membrane protein,No COG annotation,A0A6C7B4Q7
STMUK_p095,pefD,,85890,86582,-,plasmid-encoded fimbriae%3Bchaperone,Cell wall/membrane/envelope biogenesis,A0A6C7B1N7
STMUK_p096,pefC,,86575,88983,-,plasmid-encoded fimbriae%3B usher protein,Cell motility,A0A6C7AZQ4
STMUK_p097,pefA,,89211,89729,-,plasmid-encoded fimbriae%3B major fimbrial subunit,Cell motility,A0A6C7B4Z1
STMUK_p098,pefB,,90004,90306,-,plasmid-encoded fimbriae%3Bregulation,Function unknown,A0A6C7ATT0
STMUK_p099,STMUK_p099,,91203,91406,+,hypothetical protein,Function unknown,A0A6C7ATF8
STMUK_p100,repA2,,92278,93267,-,DNA replication,Function unknown,A0A6C7AT92
STMUK_p101,STMUK_p101,,93011,93319,+,hypothetical protein,No COG annotation,A0A6C7AW52
STMUK_0001,thrL,,190,255,+,thr operon leader peptide,No COG annotation,A0A3Z6NVU1
STMUK_0002,thrA,,338,2800,+,bifunctional aspartokinase I/homoserine dehydrogenase I,Amino acid transport and metabolism,A0A3Z2F685
STMUK_0003,thrB,,2802,3731,+,homoserine kinase,Nucleotide transport and metabolism,A0A3Z2F692
STMUK_0004,thrC,,3735,5021,+,threonine synthase,Amino acid transport and metabolism,A0A6C7AG44
STMUK_0005,yaaA,,5115,5888,-,hypothetical protein,Function unknown,A0A3Z6NW00
STMUK_0006,yaaJ,,5967,7397,-,putative alanine/glycine transport protein,"Intracellular trafficking, secretion, and vesicular transport",A0A3Z2FAW5
STMUK_0007,talB,,7666,8619,+,transaldolase B,Nucleotide transport and metabolism,A0A3Z6NVQ9
STMUK_0008,mogA,,8730,9320,+,molybdenum cofactor biosynthesis protein MogA,Coenzyme transport and metabolism,A0A3Z2FB48
STMUK_0009,yaaH,,9377,9943,-,hypothetical protein,Function unknown,A0A3Z2FAX7
STMUK_0010,htgA,,10093,10806,-,hypothetical protein,Function unknown,A0A3Z6NVQ8
STMUK_0011,yaaI,,10842,11246,-,hypothetical protein,Function unknown,A0A3Z6NVT3
STMUK_0012,dnaK,,11594,13510,+,molecular chaperone DnaK,"Post-translational modification, protein turnover,and chaperones",A0A3Z2FB20
STMUK_0013,dnaJ,,13596,14735,+,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",A0A3Z2FAU5
STMUK_0014,STMUK_0014,,15015,15962,+,putative transcriptional regulator,Transcription,A0A3Z2FAQ2
STMUK_0015,STMUK_0015,,16089,16433,+,putative bacteriophage protein,Function unknown,A0A3Z6NVZ3
STMUK_0016,STMUK_0016,,16494,17027,-,hypothetical protein,Function unknown,A0A3Z2FAX5
STMUK_0017,STMUK_0017,,17044,17487,-,hypothetical protein,Transcription,A0A6C7ARV9
STMUK_0018,STMUK_0018,,17868,19967,+,putative exochitinase,Carbohydrate transport and metabolism,A0A6C7AIL0
STMUK_0019,STMUK_0019,,20059,23055,+,putative hydroxymethyltransferase,Function unknown,A0A3Z2F3L2
STMUK_0020,STMUK_0020,,23336,24040,+,putative cytoplasmic protein,Signal transduction mechanisms,A0A3Z2F3L4
STMUK_0021,bcfA,,24470,25012,+,fimbrial subunit,Cell motility,A0A3Z2F3K3
