,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
1,STMUK_0002,STMMW_00011,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STMUK_0003,STMMW_00021,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STMUK_0004,STMMW_00031,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STMUK_0005,STMMW_00041,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STMUK_0006,STMMW_00051,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
10,STMUK_0007,STMMW_00061,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
13,STMUK_0008,STMMW_00071,100.0,196,0,0,1,196,1,196,1.4599999999999996e-144,397.0,196,1.0,<=>
15,STMUK_0009,STMMW_00081,100.0,188,0,0,1,188,1,188,1.0699999999999999e-132,366.0,188,1.0,<=>
16,STMUK_0010,STMMW_00091,100.0,237,0,0,1,237,1,237,9.889999999999998e-178,484.0,237,1.0,<=>
17,STMUK_0011,STMMW_00101,100.0,134,0,0,1,134,1,134,1.35e-97,273.0,134,1.0,<=>
18,STMUK_0012,STMMW_00111,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STMUK_0013,STMMW_00121,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STMUK_0014,STMMW_00131,99.68299999999999,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
33,STMUK_0015,STMMW_00141,100.0,114,0,0,1,114,1,114,6.949999999999999e-80,227.0,114,1.0,<=>
34,STMUK_0016,STMMW_00151,100.0,177,0,0,1,177,1,177,7.659999999999997e-134,369.0,177,1.0,<=>
35,STMUK_0017,STMMW_00161,99.32,147,1,0,1,147,1,147,2.909999999999999e-107,299.0,147,1.0,<=>
39,STMUK_0018,STMMW_00171,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
40,STMUK_0019,STMMW_00181,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
41,STMUK_0020,STMMW_00191,100.0,234,0,0,1,234,1,234,2.3699999999999994e-179,488.0,234,1.0,<=>
44,STMUK_0021,STMMW_00201,100.0,180,0,0,1,180,1,180,1.3699999999999998e-128,355.0,180,1.0,<=>
57,STMUK_0022,STMMW_00211,100.0,228,0,0,1,228,1,228,3.199999999999999e-168,459.0,228,1.0,<=>
69,STMUK_0023,STMMW_00221,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
80,STMUK_0024,STMMW_00231,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
84,STMUK_0025,STMMW_00241,100.0,181,0,0,1,181,1,181,5.4799999999999985e-136,374.0,181,1.0,<=>
98,STMUK_0026,STMMW_00251,100.0,172,0,0,1,172,1,172,1.0999999999999997e-125,347.0,172,1.0,<=>
111,STMUK_0027,STMMW_00261,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
123,STMUK_0028,STMMW_00271,99.64399999999999,281,1,0,1,281,1,281,0.0,577.0,281,1.0,<=>
125,STMUK_0029,STMMW_00281,100.0,95,0,0,1,95,15,109,2.1799999999999998e-69,199.0,95,1.0,<=>
127,STMUK_0030,STMMW_00291,100.0,149,0,0,1,149,1,149,5.389999999999999e-110,306.0,149,1.0,<=>
133,STMUK_0031,STMMW_00301,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
150,STMUK_0032,STMMW_00311,100.0,146,0,0,1,146,1,146,9.939999999999995e-108,300.0,146,1.0,<=>
155,STMUK_0033,STMMW_00331,99.825,572,1,0,1,572,1,572,0.0,1190.0,572,1.0,<=>
160,STMUK_0034,STMMW_00341,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
164,STMUK_0035,STMMW_00351,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
166,STMUK_0036,STMMW_00361,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
170,STMUK_0037,STMMW_00371,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
175,STMUK_0038,STMMW_00381,100.0,417,0,0,1,417,1,417,0.0,872.0,417,1.0,<=>
177,STMUK_0039,STMMW_00391,99.825,571,1,0,1,571,1,571,0.0,1185.0,571,1.0,<=>
182,STMUK_0040,STMMW_00401,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
183,STMUK_0041,STMMW_00411,99.666,299,1,0,1,299,1,299,0.0,620.0,299,1.0,<=>
201,STMUK_0042,STMMW_00421,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
204,STMUK_0043,STMMW_00431,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
211,STMUK_0044,STMMW_00441,100.0,87,0,0,1,87,1,87,3.8599999999999994e-58,170.0,87,1.0,<=>
212,STMUK_0045,STMMW_00451,100.0,71,0,0,1,71,1,71,9.729999999999999e-49,145.0,71,1.0,<=>
213,STMUK_0046,STMMW_00461,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
214,STMUK_0047,STMMW_00471,100.0,944,0,0,1,944,1,944,0.0,1966.0,944,1.0,<=>
219,STMUK_0048,STMMW_00481,100.0,166,0,0,1,166,1,166,4.34e-121,335.0,166,1.0,<=>
220,STMUK_0049,STMMW_00491,100.0,149,0,0,1,149,1,149,2.3199999999999992e-108,301.0,149,1.0,<=>
222,STMUK_0050,STMMW_00501,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
223,STMUK_0051,STMMW_00511,100.0,400,0,0,1,400,1,400,0.0,830.0,400,1.0,<=>
224,STMUK_0052,STMMW_00521,100.0,306,0,0,1,306,1,306,0.0,629.0,306,1.0,<=>
226,STMUK_0053,STMMW_00531,100.0,228,0,0,1,228,1,228,1.2499999999999997e-171,468.0,228,1.0,<=>
246,STMUK_0054,STMMW_00541,100.0,539,0,0,1,539,1,539,0.0,1108.0,539,1.0,<=>
256,STMUK_0055,STMMW_00551,100.0,433,0,0,1,433,1,433,0.0,839.0,433,1.0,<=>
263,STMUK_0057,STMMW_00571,100.0,79,0,0,1,79,1,79,2.62e-52,154.0,79,1.0,<=>
265,STMUK_0058,STMMW_00581,100.0,446,0,0,1,446,1,446,0.0,889.0,446,1.0,<=>
266,STMUK_0059,STMMW_00591,100.0,347,0,0,1,347,1,347,0.0,717.0,347,1.0,<=>
268,STMUK_0060,STMMW_00601,100.0,97,0,0,1,97,1,97,4.3499999999999995e-65,188.0,97,1.0,<=>
270,STMUK_0061,STMMW_00611,100.0,289,0,0,1,289,1,289,0.0,587.0,289,1.0,<=>
274,STMUK_0062,STMMW_00621,99.802,506,1,0,1,506,1,506,0.0,1041.0,506,1.0,<=>
276,STMUK_0063,STMMW_00631,100.0,183,0,0,1,183,1,183,7.049999999999998e-136,374.0,183,1.0,<=>
278,STMUK_0064,STMMW_00641,100.0,302,0,0,1,302,1,302,0.0,619.0,302,1.0,<=>
282,STMUK_0065,STMMW_00651,100.0,273,0,0,1,273,1,273,0.0,547.0,273,1.0,<=>
283,STMUK_0067,STMMW_00681,100.0,382,0,0,1,382,1,382,0.0,793.0,382,1.0,<=>
287,STMUK_0068,STMMW_00691,100.0,1075,0,0,1,1075,1,1075,0.0,2208.0,1075,1.0,<=>
291,STMUK_0069,STMMW_00701,100.0,131,0,0,1,131,1,131,1.4699999999999997e-96,270.0,131,1.0,<=>
293,STMUK_0070,STMMW_00711,100.0,198,0,0,1,198,1,198,1.3099999999999999e-148,407.0,198,1.0,<=>
295,STMUK_0071,STMMW_00721,100.0,261,0,0,1,261,1,261,0.0,526.0,261,1.0,<=>
299,STMUK_0072,STMMW_00731,99.807,517,1,0,1,517,1,517,0.0,1082.0,517,1.0,<=>
308,STMUK_0073,STMMW_00741,100.0,405,0,0,1,405,1,405,0.0,846.0,405,1.0,<=>
309,STMUK_0074,STMMW_00751,100.0,380,0,0,1,380,1,380,0.0,791.0,380,1.0,<=>
314,STMUK_0075,STMMW_00761,100.0,505,0,0,1,505,1,505,0.0,1020.0,505,1.0,<=>
315,STMUK_0076,STMMW_00771,100.0,256,0,0,1,256,1,256,0.0,514.0,256,1.0,<=>
318,STMUK_0077,STMMW_00781,100.0,313,0,0,1,313,1,313,0.0,644.0,313,1.0,<=>
321,STMUK_0078,STMMW_00791,100.0,428,0,0,1,428,1,428,0.0,870.0,428,1.0,<=>
325,STMUK_0079,STMMW_00801,100.0,95,0,0,1,95,1,95,4.4699999999999995e-69,198.0,95,1.0,<=>
327,STMUK_0080,STMMW_00811,100.0,446,0,0,1,446,29,474,0.0,891.0,446,1.0,<=>
347,STMUK_0081,STMMW_00821,100.0,76,0,0,1,76,12,87,4.429999999999999e-53,157.0,76,1.0,<=>
352,STMUK_0082,STMMW_00841,100.0,138,0,0,1,138,1,138,1.5899999999999997e-104,291.0,138,1.0,<=>
353,STMUK_0083,STMMW_00851,100.0,96,0,0,1,96,1,96,1.4599999999999997e-67,194.0,96,1.0,<=>
357,STMUK_0084,STMMW_00871,100.0,64,0,0,1,64,1,64,9.449999999999999e-44,132.0,64,1.0,<=>
358,STMUK_0085,STMMW_00881,100.0,629,0,0,1,629,1,629,0.0,1318.0,629,1.0,<=>
363,STMUK_0086,STMMW_00901,100.0,176,0,0,1,176,1,176,2.6499999999999995e-133,367.0,176,1.0,<=>
366,STMUK_0087,STMMW_00911,100.0,620,0,0,1,620,1,620,0.0,1227.0,620,1.0,<=>
370,STMUK_0088,STMMW_00921,100.0,159,0,0,1,159,1,159,1.7999999999999994e-120,333.0,159,1.0,<=>
371,STMUK_0089,STMMW_00931,100.0,282,0,0,1,282,1,282,0.0,585.0,282,1.0,<=>
374,STMUK_0090,STMMW_00941,100.0,125,0,0,1,125,1,125,2.6399999999999994e-91,256.0,125,1.0,<=>
375,STMUK_0091,STMMW_00951,100.0,273,0,0,1,273,1,273,0.0,565.0,273,1.0,<=>
376,STMUK_0092,STMMW_00961,100.0,329,0,0,1,329,1,329,0.0,662.0,329,1.0,<=>
378,STMUK_0093,STMMW_00971,99.766,428,1,0,1,428,1,428,0.0,876.0,428,1.0,<=>
383,STMUK_0094,STMMW_00981,100.0,786,0,0,1,786,1,786,0.0,1637.0,786,1.0,<=>
384,STMUK_0095,STMMW_00991,100.0,270,0,0,1,270,1,270,0.0,560.0,270,1.0,<=>
